city,budget_scale,n_events,mean_proxy_leverage_vs_random,mean_proxy_leverage_per_budget_vs_random,mean_replay_gain_leverage_vs_random,mean_replay_gain_leverage_per_budget_vs_random,mean_law_fraction_of_oracle_proxy,mean_law_fraction_of_oracle_replay_gain
Austin,0.1,15,0.01833151919,0.1833151919,0.001657191363,0.01657191363,1,1
Austin,0.2,15,0.03212832533,0.1606416267,0.002660245398,0.01330122699,1,1
Austin,0.35,15,0.05112670182,0.1460762909,0.004378604046,0.01251029728,1,1
Austin,0.5,15,0.06781820478,0.1356364096,0.005917056895,0.01183411379,1,1
Austin,0.75,15,0.09261950349,0.1234926713,0.007847870616,0.01046382749,1,1
Austin,1,15,0.114478666,0.114478666,0.009783370181,0.009783370181,1,1
Austin,1.25,15,0.1347099971,0.1077679977,0.01128779045,0.009030232357,1,1
Austin,1.5,15,0.1532160729,0.1021440486,0.01255379718,0.008369198117,1,1
Austin,2,15,0.1882033837,0.09410169183,0.01482860479,0.007414302394,1,1
Austin,3,15,0.2488417328,0.08294724426,0.01843238659,0.006144128865,1,1
Chicago,0.1,13,0.02412654395,0.2412654395,0.002376855597,0.02376855597,1,1
Chicago,0.2,13,0.0428787798,0.214393899,0.004103266115,0.02051633057,1,1
Chicago,0.35,13,0.06746719818,0.1927634234,0.005871225625,0.01677493036,1,1
Chicago,0.5,13,0.0889407871,0.1778815742,0.007449722977,0.01489944595,1,1
Chicago,0.75,13,0.1214422087,0.1619229449,0.009559145469,0.01274552729,1,1
Chicago,1,13,0.1503532866,0.1503532866,0.01144556933,0.01144556933,1,1
Chicago,1.25,13,0.1768423935,0.1414739148,0.01295972432,0.01036777946,1,1
Chicago,1.5,13,0.2013798456,0.1342532304,0.0143537678,0.009569178536,1,1
Chicago,2,13,0.2459615257,0.1229807628,0.01667232328,0.008336161639,1,1
Chicago,3,13,0.3217323588,0.1072441196,0.02024235259,0.006747450865,1,1
Dallas,0.1,10,0.00799734715,0.0799734715,0.003948008346,0.03948008346,1,1
Dallas,0.2,10,0.01514522892,0.0757261446,0.007474537301,0.0373726865,1,1
Dallas,0.35,10,0.02438374716,0.06966784904,0.01203519993,0.03438628552,1,1
Dallas,0.5,10,0.03293096307,0.06586192615,0.01622545907,0.03245091814,1,1
Dallas,0.75,10,0.04591515234,0.06122020312,0.02263006637,0.03017342183,1,1
Dallas,1,10,0.05775226375,0.05775226375,0.02842385805,0.02842385805,1,1
Dallas,1.25,10,0.06873654117,0.05498923294,0.03377284393,0.02701827514,1,1
Dallas,1.5,10,0.07873881465,0.0524925431,0.03859307058,0.02572871372,1,1
Dallas,2,10,0.09716463551,0.04858231776,0.04755265312,0.02377632656,1,1
Dallas,3,10,0.1292113281,0.04307044271,0.0629355239,0.02097850797,1,1
Houston,0.1,4,0.01500355105,0.1500355105,0.004815655897,0.04815655897,1,1
Houston,0.2,4,0.02697048988,0.1348524494,0.008557350971,0.04278675485,1,1
Houston,0.35,4,0.04189683069,0.1197052305,0.01304195096,0.03726271702,1,1
Houston,0.5,4,0.05584240002,0.1116848,0.01702263631,0.03404527263,1,1
Houston,0.75,4,0.0761978286,0.1015971048,0.02244005251,0.02992007002,1,1
Houston,1,4,0.09467792109,0.09467792109,0.02739645152,0.02739645152,1,1
Houston,1.25,4,0.1109611332,0.08876890658,0.03180556862,0.0254444549,1,1
Houston,1.5,4,0.1265716722,0.08438111478,0.03607062977,0.02404708651,1,1
Houston,2,4,0.1546426384,0.07732131919,0.04330943592,0.02165471796,1,1
Houston,3,4,0.2023249365,0.06744164549,0.05501546197,0.01833848732,1,1
New York,0.1,24,0.0216036709,0.216036709,0.00442582771,0.0442582771,1,1
New York,0.2,24,0.03838560685,0.1919280342,0.007584629053,0.03792314527,1,1
New York,0.35,24,0.05997427284,0.1713550653,0.01152402632,0.03292578947,1,1
New York,0.5,24,0.07919112115,0.1583822423,0.01488168846,0.02976337691,1,1
New York,0.75,24,0.107639199,0.143518932,0.01970757318,0.02627676424,1,1
New York,1,24,0.1331486367,0.1331486367,0.02375906715,0.02375906715,1,1
New York,1.25,24,0.1563301301,0.1250641041,0.0273563371,0.02188506968,1,1
New York,1.5,24,0.1778022601,0.1185348401,0.03055275073,0.02036850049,1,1
New York,2,24,0.2167888143,0.1083944072,0.03617362865,0.01808681432,1,1
New York,3,24,0.2831840947,0.09439469824,0.04446453242,0.01482151081,1,1
Philadelphia,0.1,20,0.02506103019,0.2506103019,0.001192907207,0.01192907207,1,1
Philadelphia,0.2,20,0.04475727429,0.2237863715,0.002001864391,0.01000932196,1,1
Philadelphia,0.35,20,0.07007388873,0.2002111107,0.002883343485,0.008238124243,1,1
Philadelphia,0.5,20,0.09265290126,0.1853058025,0.00359465316,0.007189306321,1,1
Philadelphia,0.75,20,0.1264186448,0.1685581931,0.00457847236,0.006104629814,1,1
Philadelphia,1,20,0.1565986721,0.1565986721,0.005434090745,0.005434090745,1,1
Philadelphia,1.25,20,0.1843097656,0.1474478125,0.006220202005,0.004976161604,1,1
Philadelphia,1.5,20,0.2108410178,0.1405606786,0.006933487436,0.004622324957,1,1
Philadelphia,2,20,0.259124541,0.1295622705,0.008171636859,0.00408581843,1,1
Philadelphia,3,20,0.3430702448,0.1143567483,0.01003168678,0.003343895592,1,1
San Antonio,0.1,19,0.02008101479,0.2008101479,0.001436786183,0.01436786183,1,1
San Antonio,0.2,19,0.0357110321,0.1785551605,0.002481049643,0.01240524821,1,1
San Antonio,0.35,19,0.05593276618,0.1598079034,0.003722323007,0.01063520859,1,1
San Antonio,0.5,19,0.073908495,0.14781699,0.004686869672,0.009373739345,1,1
San Antonio,0.75,19,0.100761257,0.1343483427,0.006116322501,0.008155096668,1,1
San Antonio,1,19,0.1258863473,0.1258863473,0.007469062505,0.007469062505,1,1
San Antonio,1.25,19,0.1483315013,0.118665201,0.008649933366,0.006919946693,1,1
San Antonio,1.5,19,0.1699023013,0.1132682008,0.009805755266,0.006537170177,1,1
San Antonio,2,19,0.2092646303,0.1046323151,0.01138299778,0.005691498892,1,1
San Antonio,3,19,0.2767903289,0.09226344296,0.01401614723,0.004672049076,1,1
