city,event_id,event_start,budget_scale,activated_bottleneck_law,deficit_only,exposure_only,greedy_oracle,random_positive,structure_only,replay_gain_activated_bottleneck_law,replay_gain_deficit_only,replay_gain_exposure_only,replay_gain_greedy_oracle,replay_gain_random_positive,replay_gain_structure_only,proxy_leverage_vs_random_positive,proxy_ratio_vs_random_positive,replay_gain_leverage_vs_random_positive,replay_gain_ratio_vs_random_positive,proxy_leverage_vs_exposure_only,proxy_ratio_vs_exposure_only,replay_gain_leverage_vs_exposure_only,replay_gain_ratio_vs_exposure_only,proxy_leverage_vs_deficit_only,proxy_ratio_vs_deficit_only,replay_gain_leverage_vs_deficit_only,replay_gain_ratio_vs_deficit_only,proxy_leverage_vs_structure_only,proxy_ratio_vs_structure_only,replay_gain_leverage_vs_structure_only,replay_gain_ratio_vs_structure_only,law_fraction_of_oracle_proxy,law_fraction_of_oracle_replay_gain,baseline_objective,recoverable_fraction,top_5pct_value_share,marginal_value_gini,decision_criticality_score,event_peak_positive_abnormal_deficit,event_total_precip
Austin,478,2024-07-06 17:00:00,0.1,0.01689245557,0.01242971942,0.01338857262,0.01689245557,0.002982056499,0.005382358679,0.002101685086,0.001212277047,0.001471345962,0.002101685086,0.0003992337065,0.0004440654478,0.01391039907,5.664700041,0.001702451379,5.264297708,0.003503882956,1.261706984,0.0006303391241,1.428409864,0.00446273615,1.359037561,0.0008894080392,1.733667309,0.01151009689,3.138485668,0.001657619638,4.732827326,1,1,0.1342685328,0.1077933755,0.1493988108,0.4289106436,0.006907263692,0.02623511767,1.27165423
Austin,479,2024-07-12 13:00:00,0.1,0.0202001858,0.01396764488,0.01601020369,0.0202001858,0.002851319813,0.006436284226,0.002946627356,0.002161707522,0.002355624759,0.002946627356,0.0004446415461,0.0007511346879,0.01734886599,7.084503713,0.00250198581,6.62697263,0.004189982115,1.261706984,0.0005910025973,1.250889958,0.006232540917,1.446212727,0.0007849198338,1.363101773,0.01376390157,3.138485668,0.002195492668,3.92290145,1,1,0.1559423619,0.1295473124,0.1493988108,0.4289106436,0.008301228557,0.02521753832,0.01574804
Austin,480,2024-07-12 15:00:00,0.1,0.01928416457,0.01333425174,0.01528418628,0.01928416457,0.001693612723,0.006144416961,0.002144591162,0.001561622053,0.001789985882,0.002144591162,0.0001983450613,0.0006558929618,0.01759055185,11.38640748,0.001946246101,10.81242532,0.00399997829,1.261706984,0.0003546052797,1.198105071,0.005949912834,1.446212727,0.0005829691088,1.373309987,0.01313974761,3.138485668,0.0014886982,3.269727359,1,1,0.1171135872,0.1248134854,0.1493988108,0.4289106436,0.007997890891,0.0164342092,0.05118113
Austin,481,2024-07-13 14:00:00,0.1,0.02100185938,0.0146773001,0.01742060674,0.02100185938,0.003267202373,0.006388297791,0.0009582789705,0.0006773012344,0.0007407200204,0.0009582789705,0.000153410137,0.0002178898749,0.01773465701,6.428086473,0.0008048688335,6.24651662,0.003581252643,1.205575655,0.0002175589501,1.293712799,0.006324559287,1.430907541,0.0002809777361,1.414848994,0.01461356159,3.287551719,0.0007403890956,4.397996791,1,1,0.04695458667,0.1386977466,0.1493988108,0.4289106436,0.008887576856,0.005791424598,0.02755907
Austin,482,2024-07-18 08:00:00,0.1,0.01733650019,0.01163224259,0.01374051219,0.01733650019,0.002470367764,0.005523842396,0.003076184913,0.001662492865,0.002171826888,0.003076184913,0.0004689994849,0.0006536554517,0.01486613243,7.017781096,0.002607185428,6.559036869,0.003595988001,1.261706984,0.0009043580255,1.416404286,0.005704257606,1.490383309,0.001413692048,1.850344731,0.0118126578,3.138485668,0.002422529462,4.706125996,1,1,0.1898500668,0.110259057,0.1493988108,0.4289106436,0.007065261453,0.04297045833,0.513779805
Austin,483,2024-07-21 17:00:00,0.1,0.01716505285,0.0106908024,0.01360462696,0.01716505285,0.002189828227,0.005469214987,0.001457551044,0.0007476488045,0.001013526509,0.001457551044,0.0002040670321,0.0003009701231,0.01497522462,7.838538494,0.001253484011,7.142511108,0.003560425887,1.261706984,0.000444024535,1.438098591,0.006474250456,1.605590695,0.0007099022391,1.949512973,0.01169583786,3.138485668,0.00115658092,4.842842966,1,1,0.09318860247,0.108858347,0.1493988108,0.4289106436,0.006975505725,0.02164519741,0.29133874
Austin,484,2024-07-22 14:00:00,0.1,0.0204912153,0.01492956039,0.01624086699,0.0204912153,0.001948732387,0.006529013501,0.001928845602,0.001581610078,0.001713820383,0.001928845602,0.0002113363183,0.0005548537768,0.01854248291,10.515151,0.001717509284,9.126900748,0.004250348312,1.261706984,0.0002150252186,1.125465434,0.005561654907,1.372526368,0.0003472355236,1.219545594,0.0139622018,3.138485668,0.001373991825,3.476313368,1,1,0.1084480967,0.1310122947,0.1493988108,0.4289106436,0.008395102776,0.01704210899,0.005905515
Austin,485,2024-07-22 23:00:00,0.1,0.03140811961,0.02441968866,0.02489335481,0.03140811961,0.003706268484,0.01000741215,0.001990023147,0.001671991315,0.001564104414,0.001990023147,0.0003807389213,0.0004047525494,0.02770185113,8.474323905,0.001609284225,5.226739467,0.006514764802,1.261706984,0.0004259187327,1.272308376,0.006988430947,1.286180182,0.0003180318316,1.190211414,0.02140070746,3.138485668,0.001585270597,4.916641414,1,1,0.1053035213,0.1831544337,0.1493988108,0.4289106436,0.01173630535,0.03052262292,0.3543309
Austin,486,2024-07-23 03:00:00,0.1,0.0248080736,0.01749872721,0.01966230981,0.0248080736,0.003747010064,0.007904472484,0.00251510082,0.002238877795,0.002147520836,0.00251510082,0.0006347392353,0.000690773711,0.02106106354,6.620765139,0.001880361585,3.962415871,0.005145763793,1.261706984,0.0003675799842,1.171164805,0.007309346397,1.417707317,0.0002762230247,1.12337566,0.01690360112,3.138485668,0.001824327109,3.640990935,1,1,0.1806597614,0.1435936695,0.1493988108,0.4289106436,0.009201301427,0.03052262292,0.005905515
Austin,487,2024-07-23 11:00:00,0.1,0.01709786891,0.01064895864,0.01355137852,0.01709786891,0.002368953976,0.005447808504,0.003781767936,0.001899136515,0.002764519543,0.003781767936,0.0005331609686,0.0008752832448,0.01472891494,7.217476189,0.003248606968,7.093107258,0.003546490397,1.261706984,0.001017248394,1.367965709,0.006448910269,1.605590695,0.001882631421,1.991309159,0.01165006041,3.138485668,0.002906484692,4.320621878,1,1,0.2254069291,0.1104156935,0.1493988108,0.4289106436,0.007075298524,0.03052262292,0.490157745
Austin,488,2024-07-23 15:00:00,0.1,0.01840873387,0.01235167024,0.01459033151,0.01840873387,0.001441333661,0.005865479442,0.001307981285,0.0007399669493,0.0009747050468,0.001307981285,0.0001159545392,0.0002889061372,0.01696740021,12.77201412,0.001192026746,11.28012145,0.003818402359,1.261707718,0.000333276238,1.34192522,0.006057063629,1.490384176,0.0005680143355,1.767621224,0.01254325443,3.138487494,0.001019075148,4.527357215,1,1,0.08044947701,0.1159705655,0.1493988108,0.4289106436,0.007431247723,0.01805766215,0.084645715
Austin,489,2024-07-23 19:00:00,0.1,0.01942860547,0.01598848486,0.01459091638,0.01942860547,0.002519082442,0.005249098371,0.0007382123585,0.0006158852563,0.0005622146478,0.0007382123585,9.742846485e-05,0.0001675100256,0.01690952303,7.712572303,0.0006407838937,7.57696798,0.004837689085,1.331554849,0.0001759977108,1.313043624,0.003440120611,1.21516239,0.0001223271023,1.198619956,0.0141795071,3.701322416,0.0005707023329,4.406974185,1,1,0.03867617163,0.1273058319,0.1493988108,0.4289106436,0.008157597314,0.002355466562,0.12598432
Austin,490,2024-07-25 21:00:00,0.1,0.02774950746,0.01957350937,0.02199362278,0.02774950746,0.002994543975,0.008841686849,0.001454811421,0.001244773252,0.001370938018,0.001454811421,0.0002005877327,0.0004849386501,0.02475496348,9.266688915,0.001254223689,7.252743735,0.005755884678,1.261706984,8.387340305e-05,1.061179573,0.008175998088,1.417707317,0.0002100381695,1.168736088,0.01890782061,3.138485668,0.0009698727712,2.999990661,1,1,0.06749221661,0.172772258,0.1493988108,0.4289106436,0.01107102862,0.01358562402,0.005905515
Austin,491,2024-07-27 07:00:00,0.1,0.02326676918,0.0150344277,0.01818477117,0.02326676918,0.001782934395,0.005296921176,0.0004549641049,0.0003361654502,0.0003406167327,0.0004549641049,4.006598456e-05,0.0001090992464,0.02148383479,13.04970573,0.0004148981204,11.35537064,0.005081998011,1.279464501,0.0001143473722,1.335706855,0.008232341481,1.547566003,0.0001187986547,1.35339341,0.01796984801,4.392508103,0.0003458648586,4.170185588,1,1,0.02247193429,0.143484268,0.1493988108,0.4289106436,0.009194291116,0.002076205508,0.005905515
Austin,492,2024-07-28 09:00:00,0.1,0.01815139438,0.01424442401,0.01438637862,0.01815139438,0.001754471535,0.005783488057,0.002311881305,0.001850521849,0.001855576974,0.002311881305,0.0002279269353,0.0006839970342,0.01639692284,10.34579018,0.00208395437,10.14308073,0.003765015756,1.261706984,0.0004563043316,1.245909676,0.003906970373,1.274280685,0.0004613594559,1.249313163,0.01236790632,3.138485668,0.001627884271,3.379958084,1,1,0.1299120167,0.1185037345,0.1493988108,0.4289106436,0.007593569999,0.01758517343,0.076771695
Chicago,145,2019-07-02 20:00:00,0.1,0.019511703,0.01422606299,0.01493215642,0.019511703,0.001545201051,0.004918564207,0.002450116988,0.001201642725,0.001290281918,0.002450116988,0.0001944241802,0.0003622514537,0.01796650195,12.62729079,0.002255692808,12.60191498,0.004579546579,1.306690236,0.001159835071,1.898900508,0.005285640014,1.371546226,0.001248474263,2.03897293,0.0145931388,3.96695096,0.002087865535,6.763580831,1,1,0.1258245198,0.1181618565,0.1722164847,0.4584960653,0.0093301288,0.02501185643,1.16141795
