budget_scale,n_events,mean_law_value_proxy,mean_oracle_value_proxy,mean_law_fraction_of_oracle_proxy,mean_law_replay_gain,mean_oracle_replay_gain,mean_law_fraction_of_oracle_replay_gain,mean_proxy_leverage_vs_random_positive,mean_proxy_ratio_vs_random_positive,mean_replay_gain_leverage_vs_random_positive,mean_replay_gain_ratio_vs_random_positive,mean_proxy_leverage_vs_exposure_only,mean_proxy_ratio_vs_exposure_only,mean_replay_gain_leverage_vs_exposure_only,mean_replay_gain_ratio_vs_exposure_only,mean_proxy_leverage_vs_deficit_only,mean_proxy_ratio_vs_deficit_only,mean_replay_gain_leverage_vs_deficit_only,mean_replay_gain_ratio_vs_deficit_only,mean_proxy_leverage_vs_structure_only,mean_proxy_ratio_vs_structure_only,mean_replay_gain_leverage_vs_structure_only,mean_replay_gain_ratio_vs_structure_only,mean_proxy_leverage_per_budget_vs_random_positive,mean_replay_gain_leverage_per_budget_vs_random_positive,mean_proxy_leverage_per_budget_vs_exposure_only,mean_replay_gain_leverage_per_budget_vs_exposure_only,mean_proxy_leverage_per_budget_vs_deficit_only,mean_replay_gain_leverage_per_budget_vs_deficit_only,mean_proxy_leverage_per_budget_vs_structure_only,mean_replay_gain_leverage_per_budget_vs_structure_only,incremental_mean_proxy_leverage_vs_random_positive,incremental_mean_replay_gain_leverage_vs_random_positive,incremental_mean_law_replay_gain,incremental_mean_law_value_proxy
0.1,105,0.02251551721,0.02251551721,1,0.002912160289,0.002912160289,1,0.02028431925,10.48517741,0.002589301399,10.02417341,0.006472560594,1.417239602,0.0008875073064,1.865622392,0.007314550016,1.49726447,0.001027782495,1.960705573,0.01617443434,3.642154575,0.002124048211,5.764592086,0.2028431925,0.02589301399,0.06472560594,0.008875073064,0.07314550016,0.01027782495,0.1617443434,0.02124048211,,,,
0.2,105,0.04052525075,0.04052525075,1,0.005130265124,0.005130265124,1,0.03612945644,9.551632483,0.00448980234,8.664759196,0.01000939538,1.343419086,0.001482090708,1.813447263,0.01114570294,1.392484699,0.00166709405,1.913132741,0.02782329565,3.29274106,0.003612301278,5.347671024,0.1806472822,0.0224490117,0.05004697691,0.007410453538,0.05572851472,0.00833547025,0.1391164783,0.01806150639,0.1584513719,0.0190050094,0.02218104835,0.1800973354
0.35,105,0.06444469443,0.06444469443,1,0.007988516508,0.007988516508,1,0.05675220741,8.555130994,0.006852308908,7.467237812,0.01487401059,1.306707969,0.002164095366,1.73986453,0.01684496234,1.359880946,0.002428623424,1.880574459,0.04332543945,3.102422798,0.005492242275,5.056848632,0.162149164,0.01957802545,0.04249717311,0.006183129617,0.04812846384,0.006938924068,0.1237869699,0.01569212079,0.1374850065,0.01575004379,0.01905500923,0.1594629579
0.5,105,0.0861661533,0.0861661533,1,0.01050861922,0.01050861922,1,0.07508656069,7.930517887,0.008895728553,6.722807177,0.01924369504,1.293426755,0.002722644837,1.709941792,0.02188102029,1.344793056,0.003049648931,1.839073229,0.05667799057,2.953803981,0.007082363779,4.848364714,0.1501731214,0.01779145711,0.03848739008,0.005445289674,0.04376204058,0.006099297862,0.1133559811,0.01416472756,0.1222290219,0.01362279763,0.01680068475,0.1448097258
0.75,105,0.119171959,0.119171959,1,0.01421920982,0.01421920982,1,0.1024586825,7.244842179,0.01179818243,5.970373142,0.02527798164,1.273178319,0.003395057613,1.623157143,0.02925067576,1.328502375,0.003857632539,1.755812537,0.07748676573,2.871980632,0.009400502868,4.431555153,0.1366115766,0.01573090991,0.03370397552,0.004526743483,0.03900090102,0.005143510052,0.1033156876,0.01253400382,0.109488487,0.01160981551,0.01484236242,0.1320232228
1,105,0.1493707672,0.1493707672,1,0.01759348983,0.01759348983,1,0.1271179844,6.814979094,0.01438265671,5.560653542,0.03111746525,1.265815708,0.004020836363,1.62103061,0.03597449666,1.318999604,0.004577913599,1.755950293,0.09560645554,2.775528181,0.01135292104,4.271422051,0.1271179844,0.01438265671,0.03111746525,0.004020836363,0.03597449666,0.004577913599,0.09560645554,0.01135292104,0.09863720766,0.01033789712,0.01349712003,0.120795233
1.25,105,0.1774956151,0.1774956151,1,0.02065723848,0.02065723848,1,0.1495926474,6.449897828,0.0166480843,5.191908818,0.03609428839,1.257178779,0.004511812817,1.593702771,0.04174776313,1.308264505,0.005168997482,1.718513357,0.1109070626,2.662396511,0.01292569178,3.997768144,0.1196741179,0.01331846744,0.02887543071,0.003609450254,0.03339821051,0.004135197985,0.08872565007,0.01034055342,0.08989865208,0.009061710345,0.01225499458,0.1124993913
1.5,105,0.2040851794,0.2040851794,1,0.02350500321,0.02350500321,1,0.1706864023,6.19736892,0.01869870743,4.93180106,0.04098150359,1.252626289,0.004999805581,1.561469374,0.04750509676,1.303013975,0.005732680888,1.691560626,0.1262788416,2.616409228,0.01444965727,3.902854925,0.1137909349,0.01246580495,0.0273210024,0.003333203721,0.03167006451,0.003821787258,0.08418589443,0.009633104846,0.08437501979,0.008202492537,0.01139105892,0.1063582572
2,105,0.253710797,0.253710797,1,0.0286450501,0.0286450501,1,0.2092592175,5.785608768,0.02224581268,4.492745222,0.05029010359,1.24748259,0.005696814118,1.523082022,0.05816294173,1.296137402,0.00659235483,1.644268478,0.1538626899,2.52752307,0.01700500941,3.736537913,0.1046296087,0.01112290634,0.0251450518,0.002848407059,0.02908147087,0.003296177415,0.07693134497,0.008502504703,0.07714563028,0.007094210508,0.01028009379,0.09925123524
3,105,0.342601062,0.342601062,1,0.03742393949,0.03742393949,1,0.2755561819,5.17814931,0.02783945505,3.899146544,0.06648117637,1.240183464,0.006657321374,1.46782831,0.07704740836,1.288067811,0.007836012517,1.581390983,0.2015975699,2.410925853,0.02154380305,3.445230423,0.09185206064,0.009279818351,0.02216039212,0.002219107125,0.02568246945,0.002612004172,0.06719918996,0.007181267682,0.06629696444,0.005593642367,0.008778889389,0.08889026496
