city,budget_scale,budget_label,n_events,mean_proxy_leverage_vs_random,mean_proxy_ratio_vs_random,mean_proxy_leverage_vs_exposure,mean_residual_minus_static_fraction_of_base_lp_gain,mean_residual_minus_static_recoverable_fraction,absolute_proxy_random_peak_budget,relative_proxy_random_peak_budget,residual_static_peak_budget
Austin,0.5,low,15,0.06747863694,6.396888806,0.01842601234,0.0730968145,0.01002242355,high,low,high
Austin,1,base,15,0.1140770766,5.50348164,0.03261533936,0.111972235,0.01519889591,high,low,high
Austin,2,high,15,0.1879528729,4.769529238,0.04897850149,0.2157927826,0.02946104205,high,low,high
Chicago,0.5,low,13,0.08903115717,8.376610506,0.01719132742,0.1036653131,0.018719519,high,low,high
Chicago,1,base,13,0.1509025727,7.392207833,0.02776406653,0.206841948,0.03519401195,high,low,high
Chicago,2,high,13,0.2464152384,6.198650909,0.04679064658,0.3625778908,0.05892279423,high,low,high
Dallas,0.5,low,10,0.03307602117,5.806825516,0.01013655851,0.000142802254,1.33299655e-05,high,low,high
Dallas,1,base,10,0.0581174472,5.157564926,0.01576066743,0.001583617903,0.0001468196826,high,low,high
Dallas,2,high,10,0.09763251416,4.429993171,0.0248205709,0.00588455044,0.0005487831624,high,low,high
Houston,0.5,low,4,0.0558753698,6.844497263,0.0101826324,0.02197732529,0.002496292447,high,low,high
Houston,1,base,4,0.09411983953,5.88203847,0.01791924689,0.06221977865,0.00698160968,high,low,high
Houston,2,high,4,0.1531579322,4.878233432,0.03019029315,0.1160841699,0.01295646115,high,low,high
New York,0.5,low,24,0.07920683647,9.544313918,0.01618661291,0.06564801108,0.01053678394,high,low,high
New York,1,base,24,0.1329136702,8.161349561,0.02679346972,0.1233133133,0.01923987559,high,low,high
New York,2,high,24,0.216620096,6.891183136,0.04480362691,0.2188910072,0.03342936975,high,low,high
Philadelphia,0.5,low,20,0.09259816872,8.825066858,0.02889836537,0.09656209194,0.01623656206,high,low,high
Philadelphia,1,base,20,0.1564059162,7.405909431,0.0435091169,0.1971477771,0.03288702382,high,low,high
Philadelphia,2,high,20,0.2591022508,6.346485152,0.06958723119,0.3630064166,0.06058862959,high,low,high
San Antonio,0.5,low,19,0.07378097442,6.882033747,0.02169307396,0.09770175846,0.01367296668,high,low,high
San Antonio,1,base,19,0.1267233071,6.181501232,0.03550850646,0.1842650466,0.02561844659,high,low,high
San Antonio,2,high,19,0.2100029722,5.254954403,0.05797402096,0.3449868856,0.04775855655,high,low,high
