budget_scale,target,feature,spearman
1,proxy_leverage_vs_exposure_only,recoverable_fraction,0.8057847813
1,proxy_leverage_vs_exposure_only,decision_criticality_score,0.4547480821
1,proxy_leverage_vs_exposure_only,marginal_value_gini,0.1077718659
1,proxy_leverage_vs_exposure_only,top_5pct_value_share,-0.04821538448
1,proxy_leverage_vs_exposure_only,event_total_precip,-0.2142473994
1,proxy_leverage_vs_exposure_only,event_peak_positive_abnormal_deficit,-0.585414028
1,proxy_leverage_vs_exposure_only,baseline_objective,-0.7579722165
1,proxy_leverage_vs_random_positive,recoverable_fraction,0.9535247771
1,proxy_leverage_vs_random_positive,decision_criticality_score,0.7794526228
1,proxy_leverage_vs_random_positive,marginal_value_gini,0.4574906275
1,proxy_leverage_vs_random_positive,top_5pct_value_share,0.3210306078
1,proxy_leverage_vs_random_positive,event_total_precip,-0.17671145
1,proxy_leverage_vs_random_positive,event_peak_positive_abnormal_deficit,-0.5753727899
1,proxy_leverage_vs_random_positive,baseline_objective,-0.6809454696
1,proxy_ratio_vs_random_positive,marginal_value_gini,0.8317887536
1,proxy_ratio_vs_random_positive,decision_criticality_score,0.7946817334
1,proxy_ratio_vs_random_positive,top_5pct_value_share,0.7516149545
1,proxy_ratio_vs_random_positive,recoverable_fraction,0.4232635289
1,proxy_ratio_vs_random_positive,event_total_precip,-0.1201897158
1,proxy_ratio_vs_random_positive,baseline_objective,-0.5055359735
1,proxy_ratio_vs_random_positive,event_peak_positive_abnormal_deficit,-0.5089720578
1,residual_minus_static_fraction_of_base_lp_gain,recoverable_fraction,0.6452104499
1,residual_minus_static_fraction_of_base_lp_gain,decision_criticality_score,0.4175202156
1,residual_minus_static_fraction_of_base_lp_gain,marginal_value_gini,0.2538068321
1,residual_minus_static_fraction_of_base_lp_gain,top_5pct_value_share,0.1411715013
1,residual_minus_static_fraction_of_base_lp_gain,event_total_precip,-0.04222405358
1,residual_minus_static_fraction_of_base_lp_gain,event_peak_positive_abnormal_deficit,-0.5443989142
1,residual_minus_static_fraction_of_base_lp_gain,baseline_objective,-0.6785299606
1,residual_minus_static_recoverable_fraction,recoverable_fraction,0.7240617873
1,residual_minus_static_recoverable_fraction,decision_criticality_score,0.4787476674
1,residual_minus_static_recoverable_fraction,marginal_value_gini,0.2715155043
1,residual_minus_static_recoverable_fraction,top_5pct_value_share,0.1535869628
1,residual_minus_static_recoverable_fraction,event_total_precip,-0.06139134688
1,residual_minus_static_recoverable_fraction,event_peak_positive_abnormal_deficit,-0.5578459826
1,residual_minus_static_recoverable_fraction,baseline_objective,-0.6896848435
