city,intervention,high_cost_units_not_top10_origin_exposure_share,active_units_not_top25_origin_exposure_share,cost_share_outside_top10_origin_exposure,cost_share_outside_top10_initial_deficit,cost_share_outside_top10_destination_importance
Austin,C,1.0,0.36363636363636365,0.7635159687675224,0.0,0.0
Austin,R,1.0,0.3333333333333333,0.776429443243324,0.0,0.0
Austin,S,0.0,0.0,-2.220446049250313e-16,0.7543098461266029,0.7543098461266029
Chicago,C,0.25,0.2,0.49353560031504096,0.0,0.0
Chicago,R,0.4,0.2608695652173913,0.5044053787642506,-2.220446049250313e-16,-2.220446049250313e-16
Chicago,S,0.0,0.0,-2.220446049250313e-16,0.0759160775994655,0.0759160775994655
Dallas,C,0.0,0.25,0.42368054518907183,0.0,0.0
Dallas,R,0.0,0.28,0.4134145418724905,-2.220446049250313e-16,-2.220446049250313e-16
Dallas,S,0.0,0.0,0.0,0.41595129776045625,0.41595129776045625
Houston,C,0.0,0.13043478260869565,0.2643940929555886,0.0,0.0
Houston,R,0.0,0.11764705882352941,0.1509423822996233,0.0,0.0
Houston,S,0.0,0.0,0.0,0.11052377452328266,0.11052377452328266
New York,C,0.4,0.20618556701030927,0.4057101377513881,0.0,0.0
New York,R,0.4,0.2,0.39061485472791846,2.220446049250313e-16,2.220446049250313e-16
New York,S,0.0,0.0,0.0,0.3564536748083802,0.3564536748083802
Philadelphia,C,0.0,0.36,0.541730850743987,0.0,0.0
Philadelphia,R,0.0,0.36363636363636365,0.542630487919827,-2.220446049250313e-16,-2.220446049250313e-16
Philadelphia,S,0.0,0.0,1.1102230246251565e-16,0.2946003209236886,0.2946003209236886
San Antonio,C,0.0,0.13333333333333333,0.5874969152771174,0.0,0.0
San Antonio,R,0.3333333333333333,0.23809523809523808,0.5777146622169853,-2.220446049250313e-16,-2.220446049250313e-16
San Antonio,S,0.0,0.0,0.0,0.3049236346030306,0.3049236346030306
