city,intervention,total_cost,active_unit_count,active_unit_share,cost_gini_across_units,top_10pct_cost_share,cost_weighted_mean_origin_exposure_p_rank_pct,cost_share_in_top10_origin_exposure_p,cost_share_in_top25_origin_exposure_p,cost_weighted_mean_initial_deficit_b0_rank_pct,cost_share_in_top10_initial_deficit_b0,cost_share_in_top25_initial_deficit_b0,cost_weighted_mean_destination_importance_rank_pct,cost_share_in_top10_destination_importance,cost_share_in_top25_destination_importance,cost_weighted_mean_local_disturbance_h_rank_pct,cost_share_in_top10_local_disturbance_h,cost_share_in_top25_local_disturbance_h,cost_weighted_mean_out_degree_rank_pct,cost_share_in_top10_out_degree,cost_share_in_top25_out_degree,cost_weighted_mean_in_degree_rank_pct,cost_share_in_top10_in_degree,cost_share_in_top25_in_degree
Austin,C,1.4294647931113569,11,0.05314009661835749,0.9581503911192801,1.0,0.7727729382022072,0.23648403123247763,0.6969284499574765,0.9814906544968379,1.0,1.0,0.9814906544968379,1.0,1.0,0.9814906544968379,1.0,1.0,0.7783922576498222,0.4127876724834334,0.6615930634892807,0.92324958734949,0.904506583253778,1.0
Austin,R,2.476365289472766,15,0.07246376811594203,0.9549350335846836,1.0,0.7827666885654831,0.22357055675667606,0.7110797631956559,0.97988297572954,1.0,1.0000000000000002,0.97988297572954,1.0,1.0000000000000002,0.97988297572954,1.0,1.0000000000000002,0.7690023962809149,0.36843810256283993,0.6324016900668191,0.9137717627492318,0.8381355514692869,0.9804752324102455
Austin,S,0.40765526313846756,11,0.05314009661835749,0.9554772789813275,1.0000000000000002,0.9800267067653737,1.0000000000000002,1.0000000000000002,0.703527897432894,0.24569015387339715,0.44546060161217776,0.703527897432894,0.24569015387339715,0.44546060161217776,0.703527897432894,0.24569015387339715,0.44546060161217776,0.8840954126774049,0.47813580302133324,0.8967240693356127,0.6096179918884392,0.1350620862276332,0.4136745896230131
Chicago,C,16.315804447764368,35,0.03968253968253968,0.9711139715129882,1.0,0.8718456860335416,0.506464399684959,0.8815870639284473,0.9861238791805305,1.0,1.0,0.986123874878418,1.0,1.0,0.9861238791805305,1.0,1.0,0.9135223374976601,0.7731432274598712,0.8951123953395365,0.9566120819832219,0.8573676681154111,1.0
Chicago,R,36.052617964462854,46,0.05215419501133787,0.9694252190516752,1.0000000000000002,0.8560432859480259,0.4955946212357493,0.856100675516241,0.9852795029498741,1.0000000000000002,1.0000000000000002,0.985279494304528,1.0000000000000002,1.0000000000000002,0.9852795029498741,1.0000000000000002,1.0000000000000002,0.8989372951397442,0.7655913053629722,0.8769159387466112,0.9567169504802382,0.8531387764428463,1.0
Chicago,S,1.9952206639433845,13,0.01473922902494331,0.9885494122194962,1.0,0.9948013000629636,1.0000000000000002,1.0,0.9734369440436915,0.9240839224005345,1.0000000000000002,0.9734872524721876,0.9240839224005345,1.0000000000000002,0.9734369440436915,0.9240839224005345,1.0000000000000002,0.9828660357523645,0.9662373979632428,1.0000000000000002,0.9376915352356892,0.8056907479419472,0.9240839224005346
Dallas,C,2.148598040044466,20,0.0546448087431694,0.954336937666874,1.0000000000000002,0.8387213388857111,0.5763194548109282,0.7819294890450805,0.9785345890520163,1.0,1.0000000000000002,0.9785345890520163,1.0,1.0000000000000002,0.9785345890520163,1.0,1.0000000000000002,0.7953455624639759,0.5765794382246707,0.6851103143861395,0.8656598649438981,0.45875826252751756,0.8513576843188092
Dallas,R,3.8984082059574297,25,0.06830601092896176,0.9562816472740101,1.0000000000000002,0.8439187402106513,0.5865854581275095,0.7814620182363522,0.979506943855584,1.0000000000000002,1.0000000000000002,0.979506943855584,1.0000000000000002,1.0000000000000002,0.979506943855584,1.0000000000000002,1.0000000000000002,0.8260671334517923,0.6425778406114862,0.7271923671681909,0.8758123488707892,0.4957617286266061,0.8605636059853571
Dallas,S,0.41939610366288504,12,0.03278688524590164,0.9720533127645898,1.0000000000000002,0.9872610326693112,1.0,1.0000000000000002,0.8247369040300472,0.5840487022395437,0.7464247668832119,0.8247369040300472,0.5840487022395437,0.746424766883212,0.8247369040300472,0.5840487022395437,0.7464247668832119,0.839473253034311,0.6625971583069388,0.8143365611562746,0.6424222672609412,0.32933701612016847,0.4799682516016212
Houston,C,2.824476743398133,23,0.058524173027989825,0.956387012944907,1.0,0.8954252736709319,0.7356059070444114,0.8969047724509895,0.9794657711034969,1.0,0.9999999999999999,0.9794657711034969,1.0,0.9999999999999999,0.9794657711034969,1.0,0.9999999999999999,0.7861541055123136,0.47238143409533645,0.7517058162852025,0.9393729013087847,0.8974115164794514,0.9827579605477716
