feature_family,feature,target,n,pearson,spearman,abs_spearman
rainfall,max_peak_extra_deficit,decision_leverage_fraction,7,0.5581209668860392,0.9285714285714288,0.9285714285714288
scale,n_units,decision_leverage_fraction,7,0.8858471334776122,0.8571428571428573,0.8571428571428573
scale,q_nnz,decision_leverage_fraction,7,0.8922534047470237,0.8571428571428573,0.8571428571428573
scale,od_rows,decision_leverage_fraction,7,0.8922540452292259,0.8571428571428573,0.8571428571428573
scale,origin_zone_count,decision_leverage_fraction,7,0.8861134629348136,0.8571428571428573,0.8571428571428573
scale,log_n_units,decision_leverage_fraction,7,0.9068640455211252,0.8571428571428573,0.8571428571428573
scale,log_od_rows,decision_leverage_fraction,7,0.9101595851918378,0.8571428571428573,0.8571428571428573
dependence,q_density,decision_leverage_fraction,7,-0.8255888468805465,-0.7857142857142859,0.7857142857142859
dependence,od_density_observed,decision_leverage_fraction,7,-0.8256854394260272,-0.7857142857142859,0.7857142857142859
dependence,od_sparsity,decision_leverage_fraction,7,0.8255888468805462,0.7857142857142859,0.7857142857142859
dependence,destination_volume_hhi,decision_leverage_fraction,7,-0.7920819805291626,-0.7142857142857144,0.7142857142857144
dependence,top10_destination_volume_share,decision_leverage_fraction,7,-0.771755821021572,-0.7142857142857144,0.7142857142857144
disruption,p90_deficit,decision_leverage_fraction,7,0.6025034242670819,0.7142857142857144,0.7142857142857144
disruption,mean_deficit,decision_leverage_fraction,7,0.5131526332379462,0.642857142857143,0.642857142857143
disruption,severe_deficit_share_20pct,decision_leverage_fraction,7,0.5030469342156688,0.642857142857143,0.642857142857143
concentration,tmc_deficit_gini,decision_leverage_fraction,7,-0.5253770426864799,-0.642857142857143,0.642857142857143
concentration,top_10pct_tmc_deficit_share,decision_leverage_fraction,7,-0.501298916151657,-0.642857142857143,0.642857142857143
rainfall,mean_peak_extra_deficit,decision_leverage_fraction,7,0.48092235745924905,0.6071428571428572,0.6071428571428572
traffic,doc_over_1_volume_share,decision_leverage_fraction,7,0.7663314263220358,0.5714285714285715,0.5714285714285715
rainfall,mean_affected_hours,decision_leverage_fraction,7,0.6566358121821473,0.5357142857142858,0.5357142857142858
concentration,high_deficit_tmc_share_mean_gt_0_2,decision_leverage_fraction,7,0.42505758599514365,0.5,0.5
traffic,congested_volume_share_speed_ratio_lt_0_8,decision_leverage_fraction,7,0.7128982422761557,0.42857142857142866,0.42857142857142866
rainfall,positive_rain_event_count,decision_leverage_fraction,7,0.6577517108227464,0.3571428571428572,0.3571428571428572
traffic,volume_weighted_speed_kmph,decision_leverage_fraction,7,-0.697567104756608,-0.25,0.25
rainfall,max_peak_extra_deficit,recoverable_fraction,7,0.5130669776649215,0.9285714285714288,0.9285714285714288
scale,n_units,recoverable_fraction,7,0.8811199385304366,0.8571428571428573,0.8571428571428573
scale,q_nnz,recoverable_fraction,7,0.8907795753497358,0.8571428571428573,0.8571428571428573
scale,od_rows,recoverable_fraction,7,0.8907800588321193,0.8571428571428573,0.8571428571428573
scale,origin_zone_count,recoverable_fraction,7,0.8813362371903939,0.8571428571428573,0.8571428571428573
scale,log_n_units,recoverable_fraction,7,0.8777548082907667,0.8571428571428573,0.8571428571428573
scale,log_od_rows,recoverable_fraction,7,0.8823138605642273,0.8571428571428573,0.8571428571428573
dependence,q_density,recoverable_fraction,7,-0.784928846882384,-0.7857142857142859,0.7857142857142859
dependence,od_density_observed,recoverable_fraction,7,-0.7850623972638671,-0.7857142857142859,0.7857142857142859
dependence,od_sparsity,recoverable_fraction,7,0.784928846882384,0.7857142857142859,0.7857142857142859
dependence,destination_volume_hhi,recoverable_fraction,7,-0.7492697929784995,-0.7142857142857144,0.7142857142857144
dependence,top10_destination_volume_share,recoverable_fraction,7,-0.7339715923277873,-0.7142857142857144,0.7142857142857144
disruption,p90_deficit,recoverable_fraction,7,0.5494729650902271,0.7142857142857144,0.7142857142857144
disruption,mean_deficit,recoverable_fraction,7,0.4490006329282995,0.642857142857143,0.642857142857143
disruption,severe_deficit_share_20pct,recoverable_fraction,7,0.4399757576017129,0.642857142857143,0.642857142857143
concentration,tmc_deficit_gini,recoverable_fraction,7,-0.5437519039209342,-0.642857142857143,0.642857142857143
concentration,top_10pct_tmc_deficit_share,recoverable_fraction,7,-0.5240510589595148,-0.642857142857143,0.642857142857143
rainfall,mean_peak_extra_deficit,recoverable_fraction,7,0.4193984917171307,0.6071428571428572,0.6071428571428572
traffic,doc_over_1_volume_share,recoverable_fraction,7,0.7929518265695401,0.5714285714285715,0.5714285714285715
rainfall,mean_affected_hours,recoverable_fraction,7,0.5502637979874635,0.5357142857142858,0.5357142857142858
concentration,high_deficit_tmc_share_mean_gt_0_2,recoverable_fraction,7,0.357143546852689,0.5,0.5
traffic,congested_volume_share_speed_ratio_lt_0_8,recoverable_fraction,7,0.7156389951542845,0.42857142857142866,0.42857142857142866
rainfall,positive_rain_event_count,recoverable_fraction,7,0.5435896877207119,0.3571428571428572,0.3571428571428572
traffic,volume_weighted_speed_kmph,recoverable_fraction,7,-0.7171195103138283,-0.25,0.25
