feature_family,feature,target,n,pearson,spearman,abs_spearman
scale,n_units,decision_leverage_fraction,7,0.8858471334776122,0.8571428571428573,0.8571428571428573
scale,q_nnz,decision_leverage_fraction,7,0.8922534047470237,0.8571428571428573,0.8571428571428573
scale,od_rows,decision_leverage_fraction,7,0.8922540452292259,0.8571428571428573,0.8571428571428573
scale,origin_zone_count,decision_leverage_fraction,7,0.8861134629348136,0.8571428571428573,0.8571428571428573
scale,log_n_units,decision_leverage_fraction,7,0.9068640455211252,0.8571428571428573,0.8571428571428573
scale,log_od_rows,decision_leverage_fraction,7,0.9101595851918378,0.8571428571428573,0.8571428571428573
traffic_network,link_volume_hhi,decision_leverage_fraction,7,-0.6823121206633401,-0.8214285714285715,0.8214285714285715
dependence,q_density,decision_leverage_fraction,7,-0.8255888468805465,-0.7857142857142859,0.7857142857142859
dependence,od_density_observed,decision_leverage_fraction,7,-0.8256854394260272,-0.7857142857142859,0.7857142857142859
dependence,od_sparsity,decision_leverage_fraction,7,0.8255888468805462,0.7857142857142859,0.7857142857142859
dependence,destination_volume_hhi,decision_leverage_fraction,7,-0.7920819805291626,-0.7142857142857144,0.7142857142857144
dependence,top10_destination_volume_share,decision_leverage_fraction,7,-0.771755821021572,-0.7142857142857144,0.7142857142857144
dependence,within_zone_volume_share,decision_leverage_fraction,7,-0.564250031619526,-0.5714285714285715,0.5714285714285715
traffic_network,doc_over_1_volume_share,decision_leverage_fraction,7,0.7663314263220358,0.5714285714285715,0.5714285714285715
traffic_network,congested_volume_share_speed_ratio_lt_0_8,decision_leverage_fraction,7,0.7128982422761557,0.42857142857142866,0.42857142857142866
traffic_network,volume_weighted_speed_kmph,decision_leverage_fraction,7,-0.697567104756608,-0.25,0.25
traffic_network,top10_link_volume_share,decision_leverage_fraction,7,-0.26682451280207653,-0.14285714285714288,0.14285714285714288
scale,n_units,recoverable_fraction,7,0.8811199385304366,0.8571428571428573,0.8571428571428573
scale,q_nnz,recoverable_fraction,7,0.8907795753497358,0.8571428571428573,0.8571428571428573
scale,od_rows,recoverable_fraction,7,0.8907800588321193,0.8571428571428573,0.8571428571428573
scale,origin_zone_count,recoverable_fraction,7,0.8813362371903939,0.8571428571428573,0.8571428571428573
scale,log_n_units,recoverable_fraction,7,0.8777548082907667,0.8571428571428573,0.8571428571428573
scale,log_od_rows,recoverable_fraction,7,0.8823138605642273,0.8571428571428573,0.8571428571428573
traffic_network,link_volume_hhi,recoverable_fraction,7,-0.6319815679314515,-0.8214285714285715,0.8214285714285715
dependence,q_density,recoverable_fraction,7,-0.784928846882384,-0.7857142857142859,0.7857142857142859
dependence,od_density_observed,recoverable_fraction,7,-0.7850623972638671,-0.7857142857142859,0.7857142857142859
dependence,od_sparsity,recoverable_fraction,7,0.784928846882384,0.7857142857142859,0.7857142857142859
dependence,destination_volume_hhi,recoverable_fraction,7,-0.7492697929784995,-0.7142857142857144,0.7142857142857144
dependence,top10_destination_volume_share,recoverable_fraction,7,-0.7339715923277873,-0.7142857142857144,0.7142857142857144
dependence,within_zone_volume_share,recoverable_fraction,7,-0.536554109502134,-0.5714285714285715,0.5714285714285715
traffic_network,doc_over_1_volume_share,recoverable_fraction,7,0.7929518265695401,0.5714285714285715,0.5714285714285715
traffic_network,congested_volume_share_speed_ratio_lt_0_8,recoverable_fraction,7,0.7156389951542845,0.42857142857142866,0.42857142857142866
traffic_network,volume_weighted_speed_kmph,recoverable_fraction,7,-0.7171195103138283,-0.25,0.25
traffic_network,top10_link_volume_share,recoverable_fraction,7,-0.19060928488545062,-0.14285714285714288,0.14285714285714288
