city,demand_available,od_available,od_rows,od_total_volume,origin_zone_count,destination_zone_count,od_density_observed,within_zone_volume_share,top10_destination_volume_share,destination_volume_hhi,origin_volume_hhi,destination_volume_gini,link_performance_available,link_performance_rows,link_count_observed,link_total_vehicle_volume,volume_weighted_speed_kmph,congested_volume_share_speed_ratio_lt_0_8,doc_over_1_volume_share,top10_link_volume_share,link_volume_hhi,total_vmt,total_vht
New York,True,True,707640,1987319.2219475128,1935,1940,0.1885079517302006,0.09016156999083302,0.03370816227873354,0.0009493119432091891,0.0007194622619785416,0.4286855768671356,True,182044,182044,114272913.412,29.878563705656674,0.7677892359554258,0.6078111613605387,0.002141030815569524,2.2777788340549482e-05,8024462.267999999,12349866.631
Los Angeles,True,True,135993,606969.3229797897,532,532,0.4804998869353836,0.09562959300691365,0.06638651099599653,0.00287973001896117,0.002324742921307508,0.375384234173503,True,127036,127036,27897876.561,47.691153369587425,0.33141373146388986,0.12172351585880974,0.0017055077613510846,3.2202459438814034e-05,2305129.172,67837.42199999999
Chicago,True,True,337138,1339432.4399383035,882,882,0.43338166710372733,0.06990868579348498,0.057782433942841355,0.001884625774940169,0.0015526473189266853,0.38738348267561884,True,170723,170723,77318250.03899999,45.7336399155774,0.38255275608385403,0.32753851595484895,0.0010427764720403233,1.640631195298091e-05,6441402.144000001,275046.91000000003
Houston,True,True,99541,522168.4900897707,393,393,0.6444910617744368,0.10230389862830051,0.09432141699550355,0.003893671965915477,0.003245630926403584,0.3649698202777625,True,214644,214644,33082814.577000003,44.744837090833144,0.40697170065936134,0.1704244057553604,0.001865181720145999,3.104851631194287e-05,2933449.281,93975.494
Phoenix,True,True,86133,422425.82210549165,357,357,0.6758232704846645,0.10950978498196093,0.09348547543763355,0.003986981511561367,0.003351411374771419,0.3328657867338858,True,211675,211675,24935754.634,46.826361365205315,0.36165963558622655,0.10601410171062241,0.0017514167363698644,3.184970686920293e-05,2256707.068,65524.437
Philadelphia,True,True,152418,590661.65693236,641,642,0.37037631037951796,0.10958065269662573,0.06551353840812707,0.002327713426562304,0.0019277006057955137,0.3470596199207594,True,221435,221435,32009338.666,42.63853041586273,0.5076143450054745,0.10603868225510436,0.0014345215775661661,2.520220195021973e-05,2285424.234,65521.965
San Antonio,True,True,78928,501541.1655390027,304,304,0.8540512465373962,0.09657769083850357,0.10524880573985491,0.004795188620865995,0.003970550303384732,0.3503716728374222,True,180594,180594,32575905.839999996,43.527826366975724,0.4358540163928716,0.21020571405237096,0.0019502161294311995,3.4857716725080024e-05,3176398.8789999997,108287.05900000001
San Diego,True,True,57911,372239.3994132132,295,295,0.6654524561907498,0.1195556724892791,0.14617037848042608,0.006203651355303026,0.004113220583513084,0.40978787561931185,True,122406,122406,17835189.978,44.21366053716252,0.42818495448717225,0.26957654176550316,0.0033176149552086366,6.908355267959632e-05,2206617.5549999997,79852.919
Dallas,True,True,87499,449446.797421685,366,366,0.6531920929260354,0.10705259093406588,0.0806253959370078,0.0037802310127929293,0.0033996707071879476,0.33259202197734705,True,196461,196461,27550472.781999998,45.22166085301324,0.37686952496813964,0.14526893598772797,0.0016899826499681592,3.423446116602279e-05,2472061.152,73539.304
San Jose,True,True,62046,472086.14716520853,289,289,0.7428790364100046,0.0988000699741585,0.11168776829474042,0.005244782517536938,0.004023684909789684,0.37618777392800684,True,135955,135955,27131000.336999997,41.72461069235838,0.49900125755912345,0.2625802675725351,0.002174247660140745,4.5460858899183494e-05,2346896.1289999997,82873.648
Austin,True,True,38249,337604.4468425681,207,207,0.8926462694578636,0.09823788734984805,0.1352355324039429,0.0068816044317246885,0.006151086768206294,0.3443805799328945,True,121592,121588,20690011.694,44.37411923008718,0.41855455352455545,0.25554739094387674,0.0028776781067091856,5.842385158843952e-05,2267252.357,79704.514
