city,rainfall_available,rainfall_hours,rainy_hour_count,rainy_hour_share,positive_rain_event_count,positive_precip_p75,positive_precip_p90,max_hourly_precip,speed_overlap_start,speed_overlap_end,rain_events_in_speed_overlap,events_with_impact_window,events_with_positive_speed_impact,mean_peak_positive_abnormal_deficit,median_peak_positive_abnormal_deficit,max_peak_positive_abnormal_deficit,mean_affected_hours,median_recovery_hours_after_peak,worst_event_start,worst_event_total_precip,worst_event_peak_positive_abnormal_deficit
Austin,True,35055,1363,0.03888175723862502,534,0.05511814,0.159448905,1.753937955,2024-07-01 00:00:00,2024-07-31 23:00:00,15,15,15,0.020037603664637353,0.01805766215459105,0.0429704583315743,4.6,2.0,2024-07-18 08:00:00,0.5137798050000001,0.0429704583315743
Chicago,True,35055,1904,0.054314648409641994,849,0.07086618,0.14173236,1.30708732,2019-07-01 00:00:00,2019-07-31 23:00:00,15,15,13,0.017077443935744178,0.014417900213212653,0.04130670754831206,4.615384615384615,2.0,2019-07-18 08:00:00,1.42913463,0.04130670754831206
Dallas,True,35055,1528,0.043588646412779916,555,0.0787402,0.16929143,1.6043315750000002,2019-04-01 00:00:00,2019-04-30 23:00:00,17,17,10,0.044730615030254176,0.0447415270064557,0.062155554933190305,12.8,6.0,2019-04-23 19:00:00,2.2106311149999995,0.062155554933190305
Houston,True,35055,1164,0.033204963628583654,462,0.09842525,0.27952771,2.11811138,2019-04-01 00:00:00,2019-04-30 23:00:00,11,11,4,0.033659905640641696,0.03397643941206227,0.0527549075025259,8.5,1.5,2019-04-18 05:00:00,0.8622051900000001,0.0527549075025259
Los Angeles,True,35057,1058,0.030179422084034572,284,0.05905515,0.11417329,0.5157483100000001,,,0,0,0,,,,,,,,
New York,True,35056,3554,0.10138064810588772,868,0.0603674866666666,0.13385834,0.96063044,2019-06-01 00:00:00,2019-07-01 23:00:00,26,26,24,0.024533372597561363,0.018751610606702995,0.0681389739369214,6.375,1.5,2019-06-18 13:00:00,0.8070870499999999,0.0681389739369214
Philadelphia,True,35056,2839,0.08098471017800091,946,0.049212625,0.11023628,1.1692919700000002,2023-07-01 00:00:00,2023-07-31 23:00:00,20,20,20,0.010292985545531975,0.009525130287114048,0.02881938330885965,4.05,1.5,2023-07-25 15:00:00,0.5000002699999999,0.02881938330885965
Phoenix,True,35058,477,0.013606024302584289,219,0.05118113,0.09842525,1.06692971,,,0,0,0,,,,,,,,
San Antonio,True,35055,1444,0.041192411924119245,553,0.0341207533333333,0.0997375866666666,1.20078805,2024-07-01 00:00:00,2024-07-31 23:00:00,19,19,19,0.01955499669968181,0.0160701046007444,0.0397023364821037,4.0,2.0,2024-07-23 00:00:00,0.0170603766666666,0.0397023364821037
San Diego,True,35053,1413,0.040310387128063216,458,0.029527575,0.06771657199999996,0.478346715,,,0,0,0,,,,,,,,
San Jose,True,35057,1173,0.0334597940496905,439,0.0393701,0.0787402,0.24015761,,,0,0,0,,,,,,,,
