city,speed_available,speed_file,speed_file_size_gb,scanned_valid_rows,sampled_distribution_rows,sampled_unique_tmc,sample_start,sample_end,mean_speed_ratio,median_speed_ratio,mean_deficit,median_deficit,p90_deficit,p95_deficit,severe_deficit_share_20pct,severe_deficit_share_40pct,hourly_observations
New York,True,NYC_201906.csv,4.944,85653904.0,500000.0,19202.0,2019-06-01 00:00:00,2019-07-01 23:50:00,1.007670561031804,1.0,0.08191051196433362,0.0,0.3014285714285714,0.43793448275861985,0.15589186687859552,0.06011345378956691,744.0
Los Angeles,True,LA_201912.csv,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
Chicago,True,Chicago_201907.csv,2.775,56311871.0,500000.0,12700.0,2019-07-01 00:00:00,2019-07-31 23:50:00,0.779946177806,0.7815122927387078,0.226559687006538,0.2186842105263157,0.5333333333333333,0.6284010526315787,0.4829293453950411,0.1949256489808339,744.0
Houston,True,Houston_201904.csv,2.644,44887580.0,500000.0,10483.0,2019-04-01 00:00:00,2019-04-30 23:50:00,1.0080547384235576,1.0,0.03823889182421584,0.0,0.19235294117647062,0.33772832630945193,0.06711190489663288,0.025904091955948616,717.0
Phoenix,False,,,,,,,,,,,,,,,,
Philadelphia,True,PA_2023.csv,3.443,57303484.0,500000.0,12867.0,2023-07-01 00:00:00,2023-07-31 23:50:00,1.0048843078179461,1.0,0.05451292551386259,0.0,0.2016129032258065,0.3076923076923077,0.09764584296480124,0.02589757020707502,744.0
San Antonio,True,SanAnto_2024.csv,1.994,33396264.0,500000.0,7490.0,2024-07-01 00:00:00,2024-07-31 23:50:00,1.0108935768397855,1.0,0.04440084804889474,0.0,0.18822675521821666,0.2967754838709674,0.07780879322309825,0.019489215919481294,744.0
San Diego,False,,,,,,,,,,,,,,,,
Dallas,True,Dallas_2019.csv,4.396,74758020.0,500000.0,17446.0,2019-04-01 00:00:00,2019-04-30 23:50:00,1.0010855633500095,1.0,0.037551899948454155,0.0,0.18000000000000005,0.32885714285714285,0.06601996682095111,0.026265971196133872,717.0
San Jose,False,,,,,,,,,,,,,,,,
Austin,True,Austin_2024.csv,1.133,18734381.0,500000.0,4200.0,2024-07-01 00:00:00,2024-07-31 23:50:00,1.0163181194433077,1.0,0.05673189290784117,0.0,0.2070982078853052,0.31999999999999995,0.10216996227417388,0.02845260806855588,744.0
