window_hours,target,feature,spearman
1,decision_criticality_score,n_units,0.6885083578
1,decision_criticality_score,early_p90_deficit_max,0.1259485797
1,decision_criticality_score,early_mean_deficit_mean,0.1241654572
1,decision_criticality_score,dynamic_rain_kernel_sum,0.08083160029
1,decision_criticality_score,early_last_precip,-0.06532852579
1,decision_criticality_score,early_precip_max,-0.06532852579
1,decision_criticality_score,early_precip_mean,-0.06532852579
1,decision_criticality_score,early_precip_sum,-0.06532852579
1,decision_criticality_score,event_peak_precip_observed_so_far,-0.06532852579
1,decision_criticality_score,mean_a_retention,-0.07381970244
1,decision_criticality_score,city_signal_b0,-0.5238722643
1,decision_criticality_score,weighted_b0,-0.5238722643
1,decision_criticality_score,early_positive_deficit_last,-0.5277481874
1,decision_criticality_score,early_positive_deficit_max,-0.5277481874
1,decision_criticality_score,early_positive_deficit_mean,-0.5277481874
1,decision_criticality_score,early_positive_deficit_start,-0.5277481874
1,decision_criticality_score,early_positive_deficit_sum,-0.5277481874
1,decision_criticality_score,early_abnormal_deficit_mean,-0.5370723616
1,decision_criticality_score,q_density,-0.686971215
1,decision_criticality_score,delay_C,
1,decision_criticality_score,delay_R,
1,decision_criticality_score,delay_S,
1,decision_criticality_score,early_positive_deficit_slope,
1,decision_criticality_score,early_rainy_hour_share,
2,decision_criticality_score,n_units,0.6885083578
2,decision_criticality_score,early_positive_deficit_slope,0.1646063247
2,decision_criticality_score,early_p90_deficit_max,0.1613000207
2,decision_criticality_score,early_mean_deficit_mean,0.1441011818
2,decision_criticality_score,dynamic_rain_kernel_sum,0.08083160029
2,decision_criticality_score,mean_a_retention,-0.07381970244
2,decision_criticality_score,early_precip_max,-0.07399916902
2,decision_criticality_score,event_peak_precip_observed_so_far,-0.07399916902
2,decision_criticality_score,early_precip_mean,-0.08867915709
2,decision_criticality_score,early_precip_sum,-0.08867915709
2,decision_criticality_score,early_last_precip,-0.1452651577
2,decision_criticality_score,early_rainy_hour_share,-0.1512841879
2,decision_criticality_score,early_positive_deficit_last,-0.5221312588
2,decision_criticality_score,city_signal_b0,-0.5238722643
2,decision_criticality_score,weighted_b0,-0.5238722643
2,decision_criticality_score,early_positive_deficit_start,-0.5277481874
2,decision_criticality_score,early_positive_deficit_mean,-0.5370959495
2,decision_criticality_score,early_positive_deficit_sum,-0.5370959495
2,decision_criticality_score,early_positive_deficit_max,-0.5403074253
2,decision_criticality_score,early_abnormal_deficit_mean,-0.5571013892
2,decision_criticality_score,q_density,-0.686971215
2,decision_criticality_score,delay_C,
2,decision_criticality_score,delay_R,
2,decision_criticality_score,delay_S,
3,decision_criticality_score,n_units,0.6885083578
3,decision_criticality_score,early_positive_deficit_slope,0.2406424323
3,decision_criticality_score,early_p90_deficit_max,0.1628343355
3,decision_criticality_score,early_mean_deficit_mean,0.1553286336
3,decision_criticality_score,dynamic_rain_kernel_sum,0.08083160029
3,decision_criticality_score,early_precip_max,-0.07262308649
3,decision_criticality_score,event_peak_precip_observed_so_far,-0.07262308649
3,decision_criticality_score,mean_a_retention,-0.07381970244
3,decision_criticality_score,early_precip_mean,-0.09579839243
3,decision_criticality_score,early_precip_sum,-0.09579839243
3,decision_criticality_score,early_last_precip,-0.2380078857
3,decision_criticality_score,early_rainy_hour_share,-0.2431329975
3,decision_criticality_score,early_positive_deficit_last,-0.4834413822
3,decision_criticality_score,city_signal_b0,-0.5238722643
3,decision_criticality_score,weighted_b0,-0.5238722643
3,decision_criticality_score,early_positive_deficit_start,-0.5277481874
3,decision_criticality_score,early_positive_deficit_max,-0.5517486627
3,decision_criticality_score,early_positive_deficit_mean,-0.5536290691
3,decision_criticality_score,early_positive_deficit_sum,-0.5536290691
3,decision_criticality_score,early_abnormal_deficit_mean,-0.5713663695
3,decision_criticality_score,q_density,-0.686971215
3,decision_criticality_score,delay_C,
3,decision_criticality_score,delay_R,
3,decision_criticality_score,delay_S,
6,decision_criticality_score,n_units,0.6885083578
6,decision_criticality_score,early_positive_deficit_slope,0.3134633787
6,decision_criticality_score,early_p90_deficit_max,0.2199017199
6,decision_criticality_score,early_mean_deficit_mean,0.1907733776
6,decision_criticality_score,dynamic_rain_kernel_sum,0.08083160029
6,decision_criticality_score,early_precip_max,-0.06376419892
6,decision_criticality_score,event_peak_precip_observed_so_far,-0.06376419892
6,decision_criticality_score,early_last_precip,-0.06862332268
6,decision_criticality_score,mean_a_retention,-0.07381970244
6,decision_criticality_score,early_precip_mean,-0.09349163028
6,decision_criticality_score,early_precip_sum,-0.09349163028
6,decision_criticality_score,early_positive_deficit_last,-0.1375057825
6,decision_criticality_score,early_rainy_hour_share,-0.1603862947
6,decision_criticality_score,early_positive_deficit_mean,-0.4972700512
6,decision_criticality_score,early_positive_deficit_sum,-0.4972700512
6,decision_criticality_score,early_positive_deficit_max,-0.4999650263
6,decision_criticality_score,early_abnormal_deficit_mean,-0.5021563342
6,decision_criticality_score,city_signal_b0,-0.5238722643
6,decision_criticality_score,weighted_b0,-0.5238722643
6,decision_criticality_score,early_positive_deficit_start,-0.5277481874
6,decision_criticality_score,q_density,-0.686971215
6,decision_criticality_score,delay_C,
6,decision_criticality_score,delay_R,
6,decision_criticality_score,delay_S,
12,decision_criticality_score,n_units,0.6885083578
12,decision_criticality_score,early_positive_deficit_slope,0.4843132192
12,decision_criticality_score,early_mean_deficit_mean,0.3556707443
12,decision_criticality_score,early_p90_deficit_max,0.3000969362
12,decision_criticality_score,early_last_precip,0.0986177119
12,decision_criticality_score,dynamic_rain_kernel_sum,0.08083160029
12,decision_criticality_score,early_precip_max,-0.02427573424
