window_hours,target,feature_group,n_features,n_events,pearson,spearman,mae,top20_recall,top20_precision
1,recoverable_fraction,early_rain,5,105,-0.2469080026,-0.3167198334,0.02441548046,0.1904761905,0.1904761905
1,recoverable_fraction,early_speed,9,105,0.4115892769,0.3986937591,0.02741606525,0.1904761905,0.1904761905
1,recoverable_fraction,static_city,7,105,0.4771725006,0.5664423762,0.02810307645,0.5238095238,0.5238095238
1,recoverable_fraction,start_state,3,105,0.4733057899,0.4884006023,0.02204512906,0.3333333333,0.3333333333
1,recoverable_fraction,rain_plus_speed,14,105,0.4747958545,0.4375077752,0.02535117433,0.2380952381,0.2380952381
1,recoverable_fraction,speed_plus_static,19,105,0.6896339674,0.6957495335,0.01782873292,0.5714285714,0.5714285714
1,recoverable_fraction,all_early,24,105,0.6894560529,0.6955836616,0.01783972522,0.5714285714,0.5714285714
1,decision_criticality_score,early_rain,5,105,-0.5879435,-0.7865650806,0.003152381862,0,0
1,decision_criticality_score,early_speed,9,105,0.3553252434,0.5271615177,0.003057031579,0.2857142857,0.2857142857
1,decision_criticality_score,static_city,7,105,0.5593403572,0.7675027566,0.003072823414,0.4761904762,0.4761904762
1,decision_criticality_score,start_state,3,105,0.2167673396,0.2245910859,0.002983316037,0.1428571429,0.1428571429
1,decision_criticality_score,rain_plus_speed,14,105,0.3556451603,0.5159962679,0.003045351821,0.2857142857,0.2857142857
1,decision_criticality_score,speed_plus_static,19,105,0.6572624559,0.8352996061,0.00229919327,0.5714285714,0.5714285714
1,decision_criticality_score,all_early,24,105,0.6571387983,0.8350300643,0.002299895617,0.5714285714,0.5714285714
1,top_5pct_value_share,early_rain,5,105,-0.6095458995,-0.7569274015,0.02371696536,0,0
1,top_5pct_value_share,early_speed,9,105,0.02815080777,-0.04284880256,0.02370198722,0,0
1,top_5pct_value_share,static_city,7,105,0.7073357008,0.7148071641,0.01637041051,0.9047619048,0.9047619048
1,top_5pct_value_share,start_state,3,105,-0.442570855,-0.5561056321,0.02407518886,0.04761904762,0.04761904762
1,top_5pct_value_share,rain_plus_speed,14,105,0.04288144063,-0.06831386269,0.02452599717,0,0
1,top_5pct_value_share,speed_plus_static,19,105,0.6388142488,0.7193630549,0.01355911464,0.5714285714,0.5714285714
1,top_5pct_value_share,all_early,24,105,0.638559222,0.7193630549,0.01356205703,0.5714285714,0.5714285714
1,marginal_value_gini,early_rain,5,105,-0.5105159292,-0.7114848106,0.03159785512,0,0
1,marginal_value_gini,early_speed,9,105,0.1015918749,0.2333939057,0.03078419495,0,0
1,marginal_value_gini,static_city,7,105,0.6198282187,0.917462356,0.02127134009,0.8095238095,0.8095238095
1,marginal_value_gini,start_state,3,105,-0.216532466,-0.3355091947,0.0320022635,0.04761904762,0.04761904762
1,marginal_value_gini,rain_plus_speed,14,105,0.10119784,0.1938048824,0.03180733631,0,0
1,marginal_value_gini,speed_plus_static,19,105,0.5426832663,0.8193732921,0.0194647712,0.4285714286,0.4285714286
1,marginal_value_gini,all_early,24,105,0.5423205754,0.8190483623,0.01947315728,0.4285714286,0.4285714286
2,recoverable_fraction,early_rain,5,105,0.001894051966,-0.04612609262,0.02523635406,0.380952381,0.380952381
2,recoverable_fraction,early_speed,9,105,0.4407058787,0.3986522911,0.02613300656,0.1904761905,0.1904761905
2,recoverable_fraction,static_city,7,105,0.4771725006,0.5664423762,0.02810307645,0.5238095238,0.5238095238
2,recoverable_fraction,start_state,3,105,0.4413527785,0.4287373004,0.02274333742,0.2857142857,0.2857142857
2,recoverable_fraction,rain_plus_speed,14,105,0.4331087302,0.3946817334,0.02516524725,0.2380952381,0.2380952381
2,recoverable_fraction,speed_plus_static,19,105,0.5156189604,0.6002902758,0.02217298174,0.5238095238,0.5238095238
2,recoverable_fraction,all_early,24,105,0.5255421682,0.5989840348,0.02297160813,0.5238095238,0.5238095238
2,decision_criticality_score,early_rain,5,105,-0.5231027076,-0.6484712779,0.003274243187,0,0
2,decision_criticality_score,early_speed,9,105,0.5265556586,0.5716566452,0.002389321534,0.380952381,0.380952381
2,decision_criticality_score,static_city,7,105,0.5593403572,0.7675027566,0.003072823414,0.4761904762,0.4761904762
2,decision_criticality_score,start_state,3,105,0.2360720208,0.2507153224,0.002919237716,0.1904761905,0.1904761905
2,decision_criticality_score,rain_plus_speed,14,105,0.4489621781,0.4876840141,0.002493375772,0.380952381,0.380952381
2,decision_criticality_score,speed_plus_static,19,105,0.6668937099,0.8092058885,0.002153786515,0.5714285714,0.5714285714
2,decision_criticality_score,all_early,24,105,0.6144764965,0.7964130209,0.002251242358,0.619047619,0.619047619
2,top_5pct_value_share,early_rain,5,105,-0.608033358,-0.7711457404,0.02436852787,0,0
2,top_5pct_value_share,early_speed,9,105,-0.04688287056,-0.0124049799,0.01997100331,0,0
2,top_5pct_value_share,static_city,7,105,0.7073357008,0.7148071641,0.01637041051,0.9047619048,0.9047619048
2,top_5pct_value_share,start_state,3,105,-0.5048179441,-0.532554644,0.02408141463,0.04761904762,0.04761904762
2,top_5pct_value_share,rain_plus_speed,14,105,-0.1193028241,-0.09841703318,0.02040769037,0,0
2,top_5pct_value_share,speed_plus_static,19,105,0.6151868974,0.7092011385,0.0135685045,0.4761904762,0.4761904762
2,top_5pct_value_share,all_early,24,105,0.5975350423,0.7052286101,0.01344792355,0.4761904762,0.4761904762
2,marginal_value_gini,early_rain,5,105,-0.52814301,-0.7314542614,0.03252987469,0,0
2,marginal_value_gini,early_speed,9,105,0.0740648367,0.2094224743,0.02698224621,0,0
2,marginal_value_gini,static_city,7,105,0.6198282187,0.917462356,0.02127134009,0.8095238095,0.8095238095
2,marginal_value_gini,start_state,3,105,-0.2458118966,-0.3367582566,0.03191074845,0.04761904762,0.04761904762
2,marginal_value_gini,rain_plus_speed,14,105,0.02979071705,0.1580888123,0.0269253333,0,0
2,marginal_value_gini,speed_plus_static,19,105,0.491130327,0.8181102586,0.01966761218,0.4285714286,0.4285714286
2,marginal_value_gini,all_early,24,105,0.4624996438,0.8082942353,0.01959515982,0.4285714286,0.4285714286
3,recoverable_fraction,early_rain,5,105,-0.04916088248,-0.04665448476,0.02620786017,0.09523809524,0.09523809524
3,recoverable_fraction,early_speed,9,105,0.443873611,0.4223927016,0.02460988682,0.2857142857,0.2857142857
3,recoverable_fraction,static_city,7,105,0.4771725006,0.5664423762,0.02810307645,0.5238095238,0.5238095238
3,recoverable_fraction,start_state,3,105,0.4418316609,0.4399647522,0.02282176369,0.2857142857,0.2857142857
3,recoverable_fraction,rain_plus_speed,14,105,0.3881099724,0.3689508605,0.02592992157,0.2380952381,0.2380952381
3,recoverable_fraction,speed_plus_static,19,105,0.4639793473,0.5958532034,0.02266473403,0.619047619,0.619047619
3,recoverable_fraction,all_early,24,105,0.4509427076,0.5857039187,0.02279315158,0.619047619,0.619047619
3,decision_criticality_score,early_rain,5,105,-0.2866065499,-0.2860386461,0.003108744318,0.09523809524,0.09523809524
3,decision_criticality_score,early_speed,9,105,0.5233304689,0.5466721957,0.002349019607,0.5238095238,0.5238095238
3,decision_criticality_score,static_city,7,105,0.5593403572,0.7675027566,0.003072823414,0.4761904762,0.4761904762
3,decision_criticality_score,start_state,3,105,0.2314685066,0.2508086253,0.002931711964,0.1904761905,0.1904761905
3,decision_criticality_score,rain_plus_speed,14,105,0.4707767568,0.4859630935,0.002470078493,0.5238095238,0.5238095238
3,decision_criticality_score,speed_plus_static,19,105,0.6036983613,0.7039705577,0.002327061676,0.5714285714,0.5714285714
3,decision_criticality_score,all_early,24,105,0.5759129051,0.6896330085,0.00234886043,0.5238095238,0.5238095238
3,top_5pct_value_share,early_rain,5,105,-0.6646419436,-0.8346519057,0.02431316825,0,0
3,top_5pct_value_share,early_speed,9,105,0.01438243957,0.01762481935,0.01996713708,0.04761904762,0.04761904762
3,top_5pct_value_share,static_city,7,105,0.7073357008,0.7148071641,0.01637041051,0.9047619048,0.9047619048
3,top_5pct_value_share,start_state,3,105,-0.5013671805,-0.5274134166,0.02412767063,0.04761904762,0.04761904762
3,top_5pct_value_share,rain_plus_speed,14,105,-0.06273268546,-0.04780660188,0.02065357678,0,0
3,top_5pct_value_share,speed_plus_static,19,105,0.6173585979,0.7160037004,0.01342449457,0.5238095238,0.5238095238
3,top_5pct_value_share,all_early,24,105,0.5853727146,0.7032109011,0.01400029809,0.4761904762,0.4761904762
3,marginal_value_gini,early_rain,5,105,-0.5338427797,-0.7362704243,0.03212038601,0,0
3,marginal_value_gini,early_speed,9,105,0.1104772093,0.2279277485,0.02721287911,0.04761904762,0.04761904762
3,marginal_value_gini,static_city,7,105,0.6198282187,0.917462356,0.02127134009,0.8095238095,0.8095238095
3,marginal_value_gini,start_state,3,105,-0.244379194,-0.3364123636,0.03199088496,0.04761904762,0.04761904762
3,marginal_value_gini,rain_plus_speed,14,105,0.06429253407,0.1838473574,0.02763489415,0.04761904762,0.04761904762
3,marginal_value_gini,speed_plus_static,19,105,0.5111779413,0.7812674159,0.01986413913,0.380952381,0.380952381
3,marginal_value_gini,all_early,24,105,0.4689441025,0.7571282789,0.02069823746,0.380952381,0.380952381
6,recoverable_fraction,early_rain,5,105,-0.1229687189,-0.1900580327,0.02683238047,0.09523809524,0.09523809524
6,recoverable_fraction,early_speed,9,105,0.4109893674,0.3551212938,0.02584698285,0.2380952381,0.2380952381
6,recoverable_fraction,static_city,7,105,0.4771725006,0.5664423762,0.02810307645,0.5238095238,0.5238095238
6,recoverable_fraction,start_state,3,105,0.4333349384,0.4333102667,0.02319818239,0.2857142857,0.2857142857
6,recoverable_fraction,rain_plus_speed,14,105,0.358760312,0.3009226622,0.02789005417,0.2380952381,0.2380952381
6,recoverable_fraction,speed_plus_static,19,105,0.4953221068,0.620733983,0.02199517269,0.5714285714,0.5714285714
