city,top_k_units,event_id_a,event_id_b,jaccard,intersection_count,union_count
Austin,5,478,479,1,5,5
Austin,5,478,480,1,5,5
Austin,5,478,481,1,5,5
Austin,5,478,482,1,5,5
Austin,5,478,483,1,5,5
Austin,5,478,484,1,5,5
Austin,5,478,485,1,5,5
Austin,5,478,486,1,5,5
Austin,5,478,487,1,5,5
Austin,5,478,488,1,5,5
Austin,5,478,489,1,5,5
Austin,5,478,490,1,5,5
Austin,5,478,491,1,5,5
Austin,5,478,492,1,5,5
Austin,5,479,480,1,5,5
Austin,5,479,481,1,5,5
Austin,5,479,482,1,5,5
Austin,5,479,483,1,5,5
Austin,5,479,484,1,5,5
Austin,5,479,485,1,5,5
Austin,5,479,486,1,5,5
Austin,5,479,487,1,5,5
Austin,5,479,488,1,5,5
Austin,5,479,489,1,5,5
Austin,5,479,490,1,5,5
Austin,5,479,491,1,5,5
Austin,5,479,492,1,5,5
Austin,5,480,481,1,5,5
Austin,5,480,482,1,5,5
Austin,5,480,483,1,5,5
Austin,5,480,484,1,5,5
Austin,5,480,485,1,5,5
Austin,5,480,486,1,5,5
Austin,5,480,487,1,5,5
Austin,5,480,488,1,5,5
Austin,5,480,489,1,5,5
Austin,5,480,490,1,5,5
Austin,5,480,491,1,5,5
Austin,5,480,492,1,5,5
Austin,5,481,482,1,5,5
Austin,5,481,483,1,5,5
Austin,5,481,484,1,5,5
Austin,5,481,485,1,5,5
Austin,5,481,486,1,5,5
Austin,5,481,487,1,5,5
Austin,5,481,488,1,5,5
Austin,5,481,489,1,5,5
Austin,5,481,490,1,5,5
Austin,5,481,491,1,5,5
Austin,5,481,492,1,5,5
Austin,5,482,483,1,5,5
Austin,5,482,484,1,5,5
Austin,5,482,485,1,5,5
Austin,5,482,486,1,5,5
Austin,5,482,487,1,5,5
Austin,5,482,488,1,5,5
Austin,5,482,489,1,5,5
Austin,5,482,490,1,5,5
Austin,5,482,491,1,5,5
Austin,5,482,492,1,5,5
Austin,5,483,484,1,5,5
Austin,5,483,485,1,5,5
Austin,5,483,486,1,5,5
Austin,5,483,487,1,5,5
Austin,5,483,488,1,5,5
Austin,5,483,489,1,5,5
Austin,5,483,490,1,5,5
Austin,5,483,491,1,5,5
Austin,5,483,492,1,5,5
Austin,5,484,485,1,5,5
Austin,5,484,486,1,5,5
Austin,5,484,487,1,5,5
Austin,5,484,488,1,5,5
Austin,5,484,489,1,5,5
Austin,5,484,490,1,5,5
Austin,5,484,491,1,5,5
Austin,5,484,492,1,5,5
Austin,5,485,486,1,5,5
Austin,5,485,487,1,5,5
Austin,5,485,488,1,5,5
Austin,5,485,489,1,5,5
Austin,5,485,490,1,5,5
Austin,5,485,491,1,5,5
Austin,5,485,492,1,5,5
Austin,5,486,487,1,5,5
Austin,5,486,488,1,5,5
Austin,5,486,489,1,5,5
Austin,5,486,490,1,5,5
Austin,5,486,491,1,5,5
Austin,5,486,492,1,5,5
Austin,5,487,488,1,5,5
Austin,5,487,489,1,5,5
Austin,5,487,490,1,5,5
Austin,5,487,491,1,5,5
Austin,5,487,492,1,5,5
Austin,5,488,489,1,5,5
Austin,5,488,490,1,5,5
Austin,5,488,491,1,5,5
Austin,5,488,492,1,5,5
Austin,5,489,490,1,5,5
Austin,5,489,491,1,5,5
Austin,5,489,492,1,5,5
Austin,5,490,491,1,5,5
Austin,5,490,492,1,5,5
Austin,5,491,492,1,5,5
Austin,10,478,479,1,10,10
Austin,10,478,480,1,10,10
Austin,10,478,481,1,10,10
Austin,10,478,482,1,10,10
Austin,10,478,483,1,10,10
Austin,10,478,484,1,10,10
Austin,10,478,485,1,10,10
Austin,10,478,486,1,10,10
Austin,10,478,487,1,10,10
Austin,10,478,488,1,10,10
Austin,10,478,489,0.8181818182,9,11
Austin,10,478,490,1,10,10
Austin,10,478,491,0.6666666667,8,12
Austin,10,478,492,1,10,10
