split_family,heldout_regime,model_id,family,description,n_features,n_test_cities,city,event_id,n_tokens,spearman,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Austin,482,1200,0.5229913088,0.7790140024,0.7802514782,0.4333333333
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Austin,486,1200,0.525485058,0.7835667052,0.7827191508,0.4333333333
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Austin,487,1200,0.5121128428,0.8141379135,0.8358790948,0.4333333333
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Chicago,153,1793,0.7533398521,0.8573742478,0.8525640851,0.5222222222
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Chicago,157,1615,0.7787687144,0.8602754477,0.8320328915,0.5061728395
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Chicago,158,1723,0.7655716134,0.8648899153,0.8553643449,0.5287356322
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Dallas,55,1200,0.7797888113,0.8207337216,0.7905789757,0.3333333333
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Dallas,56,1200,0.7936522223,0.8370719132,0.8024048471,0.35
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Dallas,57,1200,0.7753688988,0.8279958338,0.7962222219,0.35
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Dallas,58,1200,0.7764442765,0.8370719133,0.8024048472,0.35
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Dallas,59,1200,0.7564226032,0.822755687,0.7907849446,0.35
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Dallas,60,1200,0.7871189623,0.8370719133,0.8024048472,0.35
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Dallas,61,1200,0.7860422672,0.8313916169,0.7977728817,0.35
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Dallas,62,1200,0.781502706,0.8370719133,0.8024048472,0.35
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Dallas,63,1200,0.7829621675,0.8370719133,0.8024048472,0.35
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Dallas,64,1200,0.7857881651,0.8370719133,0.8024048472,0.35
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Houston,60,1200,0.7968362237,0.8132537897,0.8151099219,0.5666666667
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Houston,61,1200,0.8080653487,0.8225818229,0.8230787965,0.5833333333
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Houston,62,1200,0.7986646735,0.8077939337,0.8129650031,0.5666666667
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,New York,102,1960,0.7697384607,0.93745317,0.9237666847,0.7346938776
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,New York,103,2050,0.758984603,0.9269367295,0.9154672346,0.7184466019
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,New York,104,2311,0.7402450378,0.929729231,0.9181927523,0.7327586207
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,New York,105,2026,0.7672779458,0.9367880421,0.9249518634,0.7352941176
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,New York,107,2148,0.7406209398,0.9221611338,0.910881525,0.7222222222
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,New York,108,2346,0.7276035955,0.9227621463,0.9126092284,0.7203389831
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,New York,109,2181,0.7378311024,0.9266546082,0.9157196671,0.7272727273
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,New York,110,1947,0.7648845712,0.9439099463,0.9305057968,0.7448979592
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,New York,111,2098,0.7632269271,0.9443988984,0.9313877175,0.7333333333
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,New York,121,2076,0.7535773908,0.9193332332,0.909412539,0.7115384615
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,New York,122,1959,0.7716346602,0.9439099463,0.9305057968,0.7448979592
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,New York,123,1945,0.7710957533,0.9439099463,0.9305057968,0.7448979592
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,Philadelphia,656,1966,0.6435050519,0.8221334332,0.8232764105,0.5050505051
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,San Antonio,502,1242,0.7140331502,0.8826749872,0.8794611629,0.5555555556
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,San Antonio,507,1200,0.6933941178,0.8679678643,0.8669014617,0.55
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,San Antonio,508,1200,0.727637606,0.8800726231,0.8750089937,0.5666666667
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Austin,482,1200,0.9040446809,0.9115074442,0.9161895792,0.6833333333
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Austin,486,1200,0.8901117135,0.8967310804,0.8735921105,0.6666666667
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Austin,487,1200,0.8847932775,0.8941786498,0.9041909817,0.65
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Chicago,153,1793,0.9019128062,0.8902151247,0.8934158838,0.5333333333
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Chicago,157,1615,0.89759247,0.8957363398,0.898983119,0.5185185185
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Chicago,158,1723,0.8986969493,0.8902720395,0.8934343516,0.5287356322
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Dallas,55,1200,0.8729452298,0.8602611516,0.8312784836,0.3166666667
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Dallas,56,1200,0.8795434837,0.8730022698,0.8398275421,0.3333333333
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Dallas,57,1200,0.8733701128,0.8586964838,0.8302712474,0.3166666667
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Dallas,58,1200,0.8750832902,0.8730022698,0.8398275421,0.3333333333
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Dallas,59,1200,0.857124772,0.853456337,0.824863139,0.3166666667
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Dallas,60,1200,0.8735178771,0.8730022698,0.8398275421,0.3333333333
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Dallas,61,1200,0.8678791927,0.8730022698,0.8398275422,0.3333333333
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Dallas,62,1200,0.8766433561,0.8730022698,0.8398275421,0.3333333333
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Dallas,63,1200,0.8742789937,0.8730022698,0.8398275422,0.3333333333
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Dallas,64,1200,0.8726326538,0.8612543882,0.8311073323,0.3166666667
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Houston,60,1200,0.9160666463,0.9152002806,0.9121477537,0.6333333333
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Houston,61,1200,0.9244202932,0.9251545434,0.9198535005,0.65
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Houston,62,1200,0.9119414987,0.9097404246,0.9097956424,0.6333333333
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,New York,102,1960,0.873709693,0.8964977972,0.8905377062,0.5816326531
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,New York,103,2050,0.8688460454,0.8894943236,0.8841736468,0.572815534
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,New York,104,2311,0.8731405677,0.8867371918,0.8822028826,0.5603448276
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,New York,105,2026,0.8740914269,0.891417713,0.8869455105,0.5784313725
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,New York,107,2148,0.8705445741,0.8934207415,0.8870585552,0.5740740741
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,New York,108,2346,0.869143916,0.8794285522,0.8563423703,0.5508474576
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,New York,109,2181,0.8683099458,0.8916156691,0.8858715418,0.5727272727
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,New York,110,1947,0.8713827284,0.8964977972,0.8905377062,0.5816326531
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,New York,111,2098,0.8827119345,0.9017214446,0.8944257492,0.580952381
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,New York,121,2076,0.8665988948,0.8821979607,0.8789460514,0.5673076923
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,New York,122,1959,0.8769145201,0.8964977972,0.8905377062,0.5816326531
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,New York,123,1945,0.8752511682,0.8964977972,0.8905377062,0.5816326531
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,Philadelphia,656,1966,0.9382042989,0.8274047977,0.8225375997,0.3737373737
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,San Antonio,502,1242,0.9160697971,0.8970454444,0.8919174924,0.5714285714
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,San Antonio,507,1200,0.8924075377,0.8868316971,0.8840818849,0.5666666667
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,San Antonio,508,1200,0.9089693164,0.8926646397,0.8888198328,0.5666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Austin,482,1200,0.01876211995,0.4921957473,0.4805186934,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Austin,486,1200,0.00425969181,0.4883866151,0.4772296813,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Austin,487,1200,-0.01826294878,0.504936284,0.4864685688,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Chicago,153,1793,-0.4037944786,0.4568570501,0.4484485908,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Chicago,157,1615,-0.4263582314,0.4425311392,0.4394947959,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Chicago,158,1723,-0.3952272252,0.4374265004,0.4180273904,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,55,1200,-0.07952871002,0.6088250178,0.5572825297,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,56,1200,-0.08103732939,0.606952345,0.5923745129,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,57,1200,-0.06650167858,0.6203451247,0.6009573474,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,58,1200,-0.06266929465,0.6291374539,0.6074362741,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,59,1200,-0.08088912113,0.6273763148,0.6068753552,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,60,1200,-0.07290203445,0.6065086672,0.5921803643,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,61,1200,-0.04485667792,0.6101214719,0.5719460302,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,62,1200,-0.06999048896,0.6002813707,0.587490486,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,63,1200,-0.08062616458,0.6231686575,0.603076615,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,64,1200,-0.05968332904,0.6261909938,0.6017112272,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Houston,60,1200,-0.1059577637,0.4337956252,0.4190266525,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Houston,61,1200,-0.06419062027,0.4599229862,0.4412286967,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Houston,62,1200,-0.100995915,0.448185269,0.4283904594,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,102,1960,-0.08890910317,0.5323073042,0.5079945979,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,103,2050,-0.08437432977,0.5286460371,0.4994778322,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,104,2311,-0.07145472996,0.5448131785,0.5123538671,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,105,2026,-0.08089158022,0.5449331226,0.5162872414,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,107,2148,-0.08991579512,0.5378274508,0.5096963869,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,108,2346,-0.0840032598,0.5426283855,0.5153996147,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,109,2181,-0.09541129431,0.5355984724,0.5080994713,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,110,1947,-0.09925842239,0.5390386107,0.5127646565,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,111,2098,-0.09656541115,0.5166335748,0.4896242794,0
