split_family,heldout_regime,model_id,family,description,n_features,n_test_cities,n_tokens,n_events,pearson,spearman,mae,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret
baseline_loss_regime,loss_high,H1_deficit_only,heuristic,deficit-only one-factor score,0,7,54986,35,0.1871864797,0.3033898528,0.7515547691,0.8679712016,0.8536659287,0.5429998927,0.1320287984
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,54986,35,0.2926730071,0.3348828204,0.8015406785,0.8858968363,0.8738160663,0.5064700377,0.1141031637
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,54986,35,-0.004688450944,-0.01315930039,0.2081192787,0.5416735879,0.5221557388,0.008027210884,0.4583264121
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,54986,35,0.832173292,0.9037091994,0.006871592333,1,1,1,0
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,54986,35,0.8021726384,0.8841429232,0.04228431838,0.9624873485,0.9544957347,0.70687128,0.03751265153
baseline_loss_regime,loss_high,R2_full_additive,trained_surrogate,full additive action-value surrogate,30,7,54986,35,0.7966888871,0.8647091911,0.004475314911,0.9586315636,0.9389560532,0.7618577842,0.04136843635
baseline_loss_regime,loss_high,R3_full_interaction,trained_surrogate,full additive surrogate plus explicit interaction terms,39,7,54986,35,0.797468898,0.8590521549,0.004537973026,0.9126428534,0.8963721402,0.618442579,0.0873571466
baseline_loss_regime,loss_high,R4_factorized_interaction,trained_surrogate,factorized law plus compact interaction terms,12,7,54986,35,0.8026565848,0.8831916417,0.04176520095,0.9480057333,0.9315056427,0.665065591,0.05199426672
baseline_loss_regime,loss_low,H1_deficit_only,heuristic,deficit-only one-factor score,0,5,54040,35,0.2228390624,0.3903607989,0.6001071311,0.845960926,0.8407590512,0.5233536579,0.154039074
baseline_loss_regime,loss_low,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,5,54040,35,0.2883054262,0.5248103904,0.6716319062,0.854838484,0.8469373589,0.4952800323,0.145161516
