split_family,heldout_regime,n_test_events,n_train_events,n_test_tokens,n_train_tokens,n_test_cities,mean_total_rain,mean_peak_speed_impact,mean_baseline_loss,mean_recoverable_fraction
baseline_loss_regime,loss_high,35,70,54986,115151,7,0.3231535303,0.03928606096,0.3871103719,0.1107999599
baseline_loss_regime,loss_low,35,70,54040,116097,5,0.1112299063,0.006298370958,0.03282781041,0.1544481857
baseline_loss_regime,loss_medium,35,70,61111,109026,6,0.254837033,0.01929334493,0.09911043813,0.1389567469
duration_regime,duration_high,23,82,37911,132226,7,0.6145159087,0.03453734934,0.2864428355,0.119857483
duration_regime,duration_low,37,68,58880,111257,7,0.03681636378,0.01432698065,0.1239604568,0.1446970279
duration_regime,duration_medium,45,60,73346,96791,6,0.191703224,0.02102810823,0.1553773244,0.1341479799
peak_rain_regime,peak_high,35,70,60456,109681,7,0.5780280587,0.0283186009,0.2001634212,0.1328307762
peak_rain_regime,peak_low,35,70,52581,117556,7,0.01081740367,0.01731785582,0.1541081165,0.1392613798
peak_rain_regime,peak_medium,35,70,57100,113037,6,0.1003750073,0.01924132012,0.1647770827,0.1321127365
recoverable_fraction_regime,recoverable_high,35,70,67415,102722,5,0.1952944437,0.01474319391,0.1005699726,0.1680124596
recoverable_fraction_regime,recoverable_low,35,70,49944,120193,6,0.335095794,0.03365446604,0.3137192731,0.1028268462
recoverable_fraction_regime,recoverable_medium,35,70,52778,117359,5,0.158830232,0.01648011689,0.1047593747,0.1333655867
speed_impact_regime,speed_high,35,70,54370,115767,7,0.370922585,0.04129808325,0.3651776414,0.1151494472
speed_impact_regime,speed_low,35,70,50119,120018,5,0.1040870453,0.005324394921,0.04451899713,0.1492193233
speed_impact_regime,speed_medium,35,70,65648,104489,7,0.2142108393,0.01825529867,0.1093519819,0.1398361219
time_of_day_regime,evening_peak,21,84,37163,132974,6,0.3072117644,0.01896261017,0.1422788495,0.1476234581
time_of_day_regime,midday,31,74,45345,124792,6,0.2161968825,0.02472269463,0.2056683848,0.1241879908
time_of_day_regime,morning_peak,14,91,20608,149529,6,0.2628891558,0.02413518743,0.2073586346,0.1284895074
time_of_day_regime,offpeak_night,39,66,67021,103116,7,0.1868902012,0.01969772355,0.1512847452,0.1384204564
total_rain_regime,rain_high,35,70,63305,106832,7,0.5895578737,0.0286420837,0.2051297255,0.1314614782
total_rain_regime,rain_low,35,70,51717,118420,7,0.010517441,0.01663327038,0.1442322605,0.1389512577
total_rain_regime,rain_medium,35,70,55115,115022,6,0.089145155,0.01960242276,0.1696866345,0.1337921567
weekend_regime,weekday,73,32,118291,51846,7,0.2245174333,0.02437296004,0.1988802505,0.1320285103
weekend_regime,weekend,32,73,51846,118291,6,0.241654494,0.01535925334,0.1140138571,0.1409090621
