city,top_k_zones,n_event_pairs,mean_jaccard,median_jaccard,min_jaccard,max_jaccard
Austin,10,105,0.6533878819593105,0.6666666666666666,0.42857142857142855,1.0
Chicago,10,78,0.7180084872392565,0.6666666666666666,0.5384615384615384,1.0
Dallas,10,45,0.8606060606060606,0.8181818181818182,0.6666666666666666,1.0
Houston,10,6,0.6491841491841491,0.6666666666666666,0.5384615384615384,0.8181818181818182
New York,10,276,0.811906692341475,0.8181818181818182,0.5384615384615384,1.0
Philadelphia,10,190,0.6914208598419124,0.6666666666666666,0.42857142857142855,1.0
San Antonio,10,171,0.6292362608152081,0.6666666666666666,0.3333333333333333,1.0
Austin,20,105,0.7161305774970371,0.7391304347826086,0.5384615384615384,1.0
Chicago,20,78,0.756842414367498,0.7391304347826086,0.5384615384615384,0.9047619047619048
Dallas,20,45,0.8480707698099003,0.8181818181818182,0.7391304347826086,1.0
Houston,20,6,0.8641696467783424,0.8614718614718615,0.7391304347826086,1.0
New York,20,276,0.8211598840143264,0.8181818181818182,0.6,1.0
Philadelphia,20,190,0.8467066876677861,0.8181818181818182,0.6666666666666666,1.0
San Antonio,20,171,0.6016807932393998,0.6,0.42857142857142855,0.9047619047619048
