city,model_id,n_events,mean_event_spearman,mean_top5_capture,mean_top5_ndcg,mean_top5_precision
New York,M1_deficit_only,24,0.7112434821,0.8211068485,0.8124311975,0.5426474078
Austin,M1_deficit_only,15,0.6116643756,0.779001879,0.7861092367,0.3828233151
Dallas,M1_deficit_only,10,0.7708489415,0.7763038126,0.7553552996,0.2233333333
San Antonio,M1_deficit_only,19,0.6283796376,0.7046700289,0.6781612466,0.2720001748
Chicago,M1_deficit_only,13,0.7061386985,0.672691742,0.6579504795,0.2087769867
Philadelphia,M1_deficit_only,20,0.6807481312,0.6545747624,0.6148725804,0.2150533641
Houston,M1_deficit_only,4,0.719949726,0.5595845697,0.5223085861,0
New York,M2_deficit_plus_exposure,24,0.8230647626,0.8582245325,0.8387635538,0.5667183834
Chicago,M2_deficit_plus_exposure,13,0.8202788942,0.8538220548,0.8315970625,0.5256874016
Austin,M2_deficit_plus_exposure,15,0.8160241265,0.8471957502,0.8164776068,0.5105282332
Houston,M2_deficit_plus_exposure,4,0.8165848117,0.8419608955,0.8428463701,0.5666666667
Philadelphia,M2_deficit_plus_exposure,20,0.8157786431,0.8377002773,0.8250791553,0.5080786079
San Antonio,M2_deficit_plus_exposure,19,0.7791464447,0.802191513,0.7899939374,0.3965128185
Dallas,M2_deficit_plus_exposure,10,0.8467276815,0.7904253729,0.7412096293,0.2833333333
Austin,M3_add_structure,15,0.8172862681,0.8568189432,0.816008687,0.5227504554
Chicago,M3_add_structure,13,0.8211101665,0.8533599777,0.829455087,0.525149478
New York,M3_add_structure,24,0.8041877113,0.8472337713,0.8251940835,0.5543250778
Houston,M3_add_structure,4,0.807092703,0.8403431065,0.8417084515,0.5708333333
Philadelphia,M3_add_structure,20,0.8189241269,0.83681724,0.823192893,0.5060586705
Dallas,M3_add_structure,10,0.8347296837,0.8052303475,0.7510139176,0.3
San Antonio,M3_add_structure,19,0.7736755447,0.7905993582,0.7824189437,0.3557455999
Austin,M4_add_substitution,15,0.8154698622,0.8542674038,0.8139427286,0.539417122
Chicago,M4_add_substitution,13,0.8199190169,0.8533599777,0.829345854,0.525149478
New York,M4_add_substitution,24,0.8177728838,0.8483026746,0.824096994,0.5449548537
Houston,M4_add_substitution,4,0.8015830745,0.8447863936,0.8451359961,0.5708333333
Philadelphia,M4_add_substitution,20,0.8112280148,0.8370942406,0.8225425575,0.5055520352
Dallas,M4_add_substitution,10,0.8338718712,0.7782619147,0.7320847533,0.215
San Antonio,M4_add_substitution,19,0.7641424392,0.7708354164,0.763513952,0.316765294
Philadelphia,M5_full_additive,20,0.9357177293,0.9800898907,0.9807623023,0.8726690537
New York,M5_full_additive,24,0.9363375318,0.9793023721,0.9477620172,0.8658923574
Houston,M5_full_additive,4,0.9357842331,0.9777751026,0.9828764209,0.8875
Chicago,M5_full_additive,13,0.9341909183,0.9666523899,0.9589747358,0.82082947
Austin,M5_full_additive,15,0.9545460362,0.9574277515,0.9611777472,0.7613479053
San Antonio,M5_full_additive,19,0.9277492232,0.9427684974,0.948968794,0.7089940779
Dallas,M5_full_additive,10,0.9599615659,0.919817513,0.8700164385,0.5333333333
Philadelphia,M6_full_interaction,20,0.9459847611,0.984631049,0.9837127849,0.8986429492
New York,M6_full_interaction,24,0.9149860202,0.9761622667,0.9734614745,0.8355703979
Chicago,M6_full_interaction,13,0.9333655004,0.9688456076,0.9611716728,0.836473304
Austin,M6_full_interaction,15,0.9518866678,0.9592995713,0.9613372711,0.7491803279
Houston,M6_full_interaction,4,0.9141787919,0.9514379318,0.9634106271,0.7875
San Antonio,M6_full_interaction,19,0.9312115613,0.9460353335,0.9503378962,0.7348119374
Dallas,M6_full_interaction,10,0.8887633727,0.7978493043,0.7597740893,0.1666666667
Chicago,M7_factorized_low_dim,13,0.9077357057,0.9714301274,0.9764912175,0.8182275985
Philadelphia,M7_factorized_low_dim,20,0.9161507408,0.9653020332,0.9693936739,0.7900779874
Austin,M7_factorized_low_dim,15,0.9546939853,0.9596167716,0.9634528048,0.8157741348
San Antonio,M7_factorized_low_dim,19,0.9500243801,0.957190289,0.9648412308,0.7343595045
Houston,M7_factorized_low_dim,4,0.9215910077,0.9497992813,0.9605456983,0.8
New York,M7_factorized_low_dim,24,0.7538707893,0.9093976681,0.9113010676,0.6565494171
Dallas,M7_factorized_low_dim,10,0.846432123,0.8292498315,0.7825687089,0.1666666667
Chicago,M8_factorized_interaction,13,0.8884012862,0.9792651514,0.9779111496,0.8669099726
San Antonio,M8_factorized_interaction,19,0.9617377588,0.9731607666,0.9725364599,0.8135386481
Philadelphia,M8_factorized_interaction,20,0.9212555779,0.9711273969,0.975707849,0.8183948227
Austin,M8_factorized_interaction,15,0.9562506911,0.965097869,0.949775003,0.8490710383
Houston,M8_factorized_interaction,4,0.8737548996,0.9558341701,0.9671979321,0.8
New York,M8_factorized_interaction,24,0.6924537242,0.9004296248,0.8956828891,0.6428058909
Dallas,M8_factorized_interaction,10,0.7732905593,0.8421889865,0.7969098312,0.1666666667
