model_id,family,description,heldout_city,city,event_id,n_tokens,total_value,spearman,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Austin,Austin,478,1200,55.56917233,0.6084419064,0.867413411,0.8902533329,0.5,0.132586589,0.8043188264,0.8339023871,0.3333333333,0.1956811736,0.8278337269,0.840792827,0.4833333333,0.1721662731
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Austin,Austin,479,1200,48.13355655,0.6272530362,0.8675175361,0.8680739897,0.5,0.1324824639,0.8043206327,0.8250275047,0.3833333333,0.1956793673,0.8191313629,0.8291144134,0.4833333333,0.1808686371
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Austin,Austin,480,1200,63.25149798,0.5940151363,0.9253617777,0.9263040895,0.5833333333,0.07463822229,0.7990178255,0.8323971833,0.4,0.2009821745,0.8006133375,0.8227632015,0.4833333333,0.1993866625
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Austin,Austin,481,1200,157.3737752,0.6123688957,0.9253617778,0.9263040895,0.5833333333,0.07463822225,0.8247544484,0.8508100283,0.4333333333,0.1752455516,0.8046999842,0.8271528474,0.475,0.1953000158
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Austin,Austin,482,1200,39.06594003,0.6251384954,0.8157540832,0.7915718146,0.5,0.1842459168,0.795706738,0.7934967445,0.35,0.204293262,0.8020780249,0.7976811274,0.4666666667,0.1979219751
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Austin,Austin,483,1200,80.78335385,0.6133762605,0.9253617777,0.9263040895,0.5833333333,0.07463822225,0.8048591379,0.8360375204,0.35,0.1951408621,0.8225474907,0.8380799226,0.4833333333,0.1774525093
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Austin,Austin,484,1200,68.15282727,0.6260426434,0.8915736522,0.8496482514,0.5,0.1084263478,0.8155337393,0.819056393,0.4,0.1844662607,0.8175160763,0.8185719901,0.5,0.1824839237
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Austin,Austin,485,1207,71.22528468,0.6123212732,0.6979711287,0.6012066964,0.2307692308,0.3020288713,0.8093165632,0.7466014715,0.4590163934,0.1906834368,0.8193016637,0.7733081113,0.4876033058,0.1806983363
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Austin,Austin,486,1200,41.3002649,0.622999681,0.6202680969,0.5624539858,0.1666666667,0.3797319031,0.7860296566,0.730458527,0.4333333333,0.2139703434,0.7994047025,0.7576250834,0.4916666667,0.2005952975
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Austin,Austin,487,1200,33.35570323,0.6137146503,0.8675120943,0.8795723666,0.5,0.1324879057,0.7811808141,0.8121514554,0.35,0.2188191859,0.8039593398,0.8182224376,0.4666666667,0.1960406602
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Austin,Austin,488,1200,92.44450934,0.5591116901,0.5973392266,0.5936322188,0,0.4026607734,0.433489488,0.4656938851,0.1833333333,0.566510512,0.6257431153,0.5916894273,0.3,0.3742568847
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Austin,Austin,489,1200,194.6619118,0.6166607965,0.9253617777,0.9263040895,0.5833333333,0.07463822227,0.8054049197,0.8358879567,0.4333333333,0.1945950803,0.8064967759,0.8265429159,0.475,0.1935032241
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Austin,Austin,490,1200,109.8799449,0.6371065877,0.8384649392,0.7289142051,0.5,0.1615350608,0.8215571527,0.7795858542,0.4166666667,0.1784428473,0.8086490396,0.7834372954,0.4916666667,0.1913509604
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Austin,Austin,491,1200,331.8516794,0.5977296728,0.9253617778,0.9263040895,0.5833333333,0.07463822224,0.8042320066,0.8358227118,0.4333333333,0.1957679934,0.8001342785,0.8222407708,0.4666666667,0.1998657215
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Austin,Austin,492,1200,57.0638107,0.6086849082,0.8384649392,0.8073211714,0.5,0.1615350608,0.7953062359,0.7947089281,0.3833333333,0.2046937641,0.8147185958,0.808191096,0.5,0.1852814042
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,Chicago,145,1896,34.63140364,0.7694722145,0.627955501,0.6393357476,0,0.372044499,0.6113753626,0.6168790756,0.1263157895,0.3886246374,0.6746714673,0.6625606438,0.2105263158,0.3253285327
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,Chicago,146,1331,74.8414896,0.87587992,0.6268391598,0.6402764769,0,0.3731608402,0.8162049646,0.7735026711,0.3880597015,0.1837950354,0.9000403831,0.8494226043,0.5746268657,0.09995961687
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,Chicago,147,1332,79.09330939,0.8742512391,0.6268391599,0.640055698,0,0.3731608401,0.809636485,0.7685334829,0.3880597015,0.190363515,0.8963420196,0.8460687522,0.5746268657,0.1036579804
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,Chicago,149,1200,169.7199764,0.8852276536,0.614983181,0.6326590667,0,0.385016819,0.796362709,0.7575898173,0.3166666667,0.203637291,0.8809780476,0.8326882954,0.5416666667,0.1190219524
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,Chicago,150,1593,44.48471871,0.1467578262,0.4137690375,0.4053575896,0,0.5862309625,0.5221111725,0.4914592088,0,0.4778888275,0.5575738218,0.5278505005,0.0375,0.4424261782
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,Chicago,152,5711,462.115457,0.50428883,0.5518740424,0.5626118319,0,0.4481259576,0.7142302728,0.6854497803,0.3706293706,0.2857697272,0.7687328077,0.7374847673,0.5332167832,0.2312671923
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,Chicago,153,1793,11.56714516,0.7670079039,0.636073427,0.6488995983,0,0.363926573,0.6062744406,0.6143143546,0.1111111111,0.3937255594,0.6736074479,0.6620345769,0.2055555556,0.3263925521
