model_id,family,description,heldout_city,n_features,n_tokens,n_events,pearson,spearman,mae,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Austin,7,18007,15,0.6717285223,0.5744145548,0.06337857936,0.8352725331,0.813611232,0.4542735043,0.1647274669,0.779001879,0.7861092367,0.3828233151,0.220998121,0.798188501,0.7970275645,0.4702846648,0.201811499
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Chicago,7,26081,13,0.674904661,0.7173041759,0.02362582715,0.60473619,0.6127739309,0.02341137124,0.39526381,0.672691742,0.6579504795,0.2087769867,0.327308258,0.7372088036,0.7110056933,0.332266131,0.2627911964
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Dallas,7,12000,10,0.5062111566,0.6719824737,0.009650510336,0.7350949807,0.7256746104,0.1666666667,0.2649050193,0.7763038126,0.7553552996,0.2233333333,0.2236961874,0.8413503786,0.8104084932,0.4191666667,0.1586496214
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Houston,7,4800,4,0.5144120313,0.7409103716,0.01235070866,0.4136524496,0.4073714176,0,0.5863475504,0.5595845697,0.5223085861,0,0.4404154303,0.7356580313,0.6607538523,0.2916666667,0.2643419687
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,New York,7,50454,24,0.7223603042,0.6748354042,0.02982080373,0.7727684224,0.7748619307,0.2644055162,0.2272315776,0.8211068485,0.8124311975,0.5426474078,0.1788931515,0.856801545,0.8422508967,0.5726982777,0.143198455
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,Philadelphia,7,33719,20,0.5429815798,0.6787514424,0.07182863831,0.4991453465,0.4958846978,0.007142857143,0.5008546535,0.6545747624,0.6148725804,0.2150533641,0.3454252376,0.7445150756,0.6933313486,0.2928712246,0.2554849244
M1_deficit_only,additive_ladder,deficit and passive remaining-loss features only,San Antonio,7,25076,19,0.4777922871,0.6187506935,0.07605049603,0.6144037673,0.6044888426,0.1649636913,0.3855962327,0.7046700289,0.6781612466,0.2720001748,0.2953299711,0.7754618366,0.7379986338,0.3601607413,0.2245381634
M2_deficit_plus_exposure,additive_ladder,deficit plus OD exposure,Austin,10,18007,15,0.7132155065,0.7241839765,0.03766789689,0.7211292944,0.6999672006,0.1602564103,0.2788707056,0.8471957502,0.8164776068,0.5105282332,0.1528042498,0.8462985666,0.8249811905,0.4075711662,0.1537014334
M2_deficit_plus_exposure,additive_ladder,deficit plus OD exposure,Chicago,10,26081,13,0.7145321483,0.7398579555,0.02640103581,0.7528479841,0.7499791526,0.2255049059,0.2471520159,0.8538220548,0.8315970625,0.5256874016,0.1461779452,0.8791823305,0.8581409345,0.5853926888,0.1208176695
M2_deficit_plus_exposure,additive_ladder,deficit plus OD exposure,Dallas,10,12000,10,0.5216665923,0.7253651969,0.02270661268,0.6207382143,0.6221105724,0,0.3792617857,0.7904253729,0.7412096293,0.2833333333,0.2095746271,0.8779235679,0.822441746,0.5591666667,0.1220764321
M2_deficit_plus_exposure,additive_ladder,deficit plus OD exposure,Houston,10,4800,4,0.6693423209,0.7780244253,0.02302391942,0.8348703154,0.8428688185,0.625,0.1651296846,0.8419608955,0.8428463701,0.5666666667,0.1580391045,0.8679185558,0.8613201077,0.55625,0.1320814442
M2_deficit_plus_exposure,additive_ladder,deficit plus OD exposure,New York,10,50454,24,0.7747508798,0.6735589676,0.01198241678,0.780141193,0.7731864658,0.2276121543,0.219858807,0.8582245325,0.8387635538,0.5667183834,0.1417754675,0.9013661168,0.8781434372,0.6264271204,0.09863388323
M2_deficit_plus_exposure,additive_ladder,deficit plus OD exposure,Philadelphia,10,33719,20,0.5415278216,0.7418583214,0.07048261909,0.7773500888,0.7825923464,0.4184489901,0.2226499112,0.8377002773,0.8250791553,0.5080786079,0.1622997227,0.8936395608,0.8704254808,0.59622535,0.1063604392
M2_deficit_plus_exposure,additive_ladder,deficit plus OD exposure,San Antonio,10,25076,19,0.570330201,0.7445280028,0.05648880199,0.7554467157,0.7584595248,0.3872341109,0.2445532843,0.802191513,0.7899939374,0.3965128185,0.197808487,0.8440312761,0.8240993374,0.4640771742,0.1559687239
M3_add_structure,additive_ladder,add static structural leverage,Austin,12,18007,15,0.7197668611,0.7233511929,0.03701742719,0.70587673,0.6905652508,0.1166666667,0.29412327,0.8568189432,0.816008687,0.5227504554,0.1431810568,0.8780409617,0.8443900705,0.481969697,0.1219590383
M3_add_structure,additive_ladder,add static structural leverage,Chicago,12,26081,13,0.713698394,0.7360510825,0.02626892208,0.7321990443,0.7339958246,0.1852118657,0.2678009557,0.8533599777,0.829455087,0.525149478,0.1466400223,0.8778012662,0.8558827788,0.5795856652,0.1221987338
M3_add_structure,additive_ladder,add static structural leverage,Dallas,12,12000,10,0.495357766,0.7157951181,0.02365830912,0.6207382143,0.6221105724,0,0.3792617857,0.8052303475,0.7510139176,0.3,0.1947696525,0.8695085507,0.8164799717,0.5083333333,0.1304914493
M3_add_structure,additive_ladder,add static structural leverage,Houston,12,4800,4,0.6657898566,0.7747747833,0.02238672003,0.8348703154,0.8428688185,0.625,0.1651296846,0.8403431065,0.8417084515,0.5708333333,0.1596568935,0.8657271193,0.8595882813,0.55625,0.1342728807
M3_add_structure,additive_ladder,add static structural leverage,New York,12,50454,24,0.7715834645,0.6727043639,0.01189136915,0.7761378729,0.7574742956,0.2179402145,0.2238621271,0.8472337713,0.8251940835,0.5543250778,0.1527662287,0.8980222976,0.8706644344,0.617446782,0.1019777024
M3_add_structure,additive_ladder,add static structural leverage,Philadelphia,12,33719,20,0.5411711231,0.7417948493,0.07027294468,0.7776473733,0.77972987,0.4184489901,0.2223526267,0.83681724,0.823192893,0.5060586705,0.16318276,0.897761903,0.8726097187,0.6061733123,0.102238097
M3_add_structure,additive_ladder,add static structural leverage,San Antonio,12,25076,19,0.5698220311,0.7423088661,0.05648431394,0.7553879361,0.7588809022,0.3872341109,0.2446120639,0.7905993582,0.7824189437,0.3557455999,0.2094006418,0.840619441,0.8213149505,0.447705738,0.159380559
M4_add_substitution,additive_ladder,add substitution scarcity proxies,Austin,14,18007,15,0.7198473066,0.7244935414,0.03714223504,0.70587673,0.6905652508,0.1166666667,0.29412327,0.8542674038,0.8139427286,0.539417122,0.1457325962,0.84695489,0.8204520398,0.4031313131,0.15304511
M4_add_substitution,additive_ladder,add substitution scarcity proxies,Chicago,14,26081,13,0.7168638765,0.7403186415,0.02625943405,0.7321990443,0.7339958246,0.1852118657,0.2678009557,0.8533599777,0.829345854,0.525149478,0.1466400223,0.874839186,0.8535330526,0.5752615017,0.125160814
M4_add_substitution,additive_ladder,add substitution scarcity proxies,Dallas,14,12000,10,0.4858502815,0.7140364129,0.02359975036,0.6207382143,0.6221105724,0,0.3792617857,0.7782619147,0.7320847533,0.215,0.2217380853,0.8693743689,0.814360496,0.5083333333,0.1306256311
M4_add_substitution,additive_ladder,add substitution scarcity proxies,Houston,14,4800,4,0.6630412652,0.7719788906,0.02220947394,0.8348703154,0.8428688185,0.625,0.1651296846,0.8447863936,0.8451359961,0.5708333333,0.1552136064,0.8455142414,0.8458468566,0.5020833333,0.1544857586
M4_add_substitution,additive_ladder,add substitution scarcity proxies,New York,14,50454,24,0.7761848605,0.6798015307,0.01203464315,0.7766766089,0.7575191616,0.2216292484,0.2233233911,0.8483026746,0.824096994,0.5449548537,0.1516973254,0.8848611802,0.860068575,0.5925350027,0.1151388198
M4_add_substitution,additive_ladder,add substitution scarcity proxies,Philadelphia,14,33719,20,0.5441355329,0.7420203547,0.07030208063,0.7758477757,0.7785903612,0.4160680377,0.2241522243,0.8370942406,0.8225425575,0.5055520352,0.1629057594,0.8914926747,0.8672744907,0.5910235364,0.1085073253
M4_add_substitution,additive_ladder,add substitution scarcity proxies,San Antonio,14,25076,19,0.5718586246,0.7390321256,0.0566119737,0.7436578618,0.7508793804,0.3665574192,0.2563421382,0.7708354164,0.763513952,0.316765294,0.2291645836,0.8298969118,0.8084786663,0.4220199636,0.1701030882
M5_full_additive,additive_ladder,"add time window, feasibility, intervention, and event context",Austin,30,18007,15,0.8987099464,0.9442061028,0.03579237022,0.9707342072,0.9723092773,0.735042735,0.02926579281,0.9574277515,0.9611777472,0.7613479053,0.04257224854,0.9531773604,0.9569944594,0.6480027548,0.04682263964
M5_full_additive,additive_ladder,"add time window, feasibility, intervention, and event context",Chicago,30,26081,13,0.8974401215,0.9568886452,0.01394154831,0.9388010081,0.9328771467,0.7371622812,0.06119899187,0.9666523899,0.9589747358,0.82082947,0.03334761014,0.9718185547,0.9654962483,0.8311562048,0.02818144531
M5_full_additive,additive_ladder,"add time window, feasibility, intervention, and event context",Dallas,30,12000,10,0.9498221698,0.9463439289,0.007688723624,0.7997509678,0.7415679763,0.3333333333,0.2002490322,0.919817513,0.8700164385,0.5333333333,0.08018248704,0.9527729974,0.9105798805,0.7666666667,0.04722700256
M5_full_additive,additive_ladder,"add time window, feasibility, intervention, and event context",Houston,30,4800,4,0.9546878109,0.978251818,0.01041024759,0.9952346713,0.9968091,0.9166666667,0.004765328747,0.9777751026,0.9828764209,0.8875,0.02222489737,0.9669439747,0.9733964811,0.8,0.03305602533
M5_full_additive,additive_ladder,"add time window, feasibility, intervention, and event context",New York,30,50454,24,0.8979087991,0.9487625288,0.01672635957,0.9034834138,0.8592484587,0.6258280344,0.09651658616,0.9793023721,0.9477620172,0.8658923574,0.02069762791,0.9821648071,0.9604911256,0.848184828,0.01783519291
M5_full_additive,additive_ladder,"add time window, feasibility, intervention, and event context",Philadelphia,30,33719,20,0.6985661945,0.8838677508,0.05591311083,0.9839238954,0.9832392763,0.8812538445,0.01607610461,0.9800898907,0.9807623023,0.8726690537,0.01991010926,0.9787747567,0.9796309875,0.8391719319,0.02122524334
M5_full_additive,additive_ladder,"add time window, feasibility, intervention, and event context",San Antonio,30,25076,19,0.7384883488,0.9347692744,0.04191466538,0.9584580518,0.9634384632,0.7925743847,0.04154194825,0.9427684974,0.948968794,0.7089940779,0.05723150257,0.9414202917,0.9457898384,0.6733877393,0.05857970826
