city,event_id,event_start,unit,t,intervention,target_value,additive_predicted_value,interaction_predicted_value,deficit_only_score,exposure_only_score,structure_only_score,activated_bottleneck_score
San Antonio,506,2024-07-27 11:00:00,214,1,S,1.432855693,0.4348470434,0.437162466,0.8815789474,0.9967105263,0.009835959141,0.008660159034
San Antonio,506,2024-07-27 11:00:00,214,2,S,1.432587309,0.4299846913,0.4368126754,0.8815789474,0.9967105263,0.009835959141,0.008658536925
San Antonio,506,2024-07-27 11:00:00,214,3,S,1.431990899,0.4251224218,0.4363337504,0.8815789474,0.9967105263,0.009835959141,0.008654932236
Philadelphia,642,2023-07-07 17:00:00,350,0,C,1.213157592,0.1851128018,0.1837166331,0.9890965732,0.9890965732,0.3073594492,0.005343789207
Philadelphia,642,2023-07-07 17:00:00,350,1,C,1.209420709,0.1826372582,0.1827151018,0.9890965732,0.9890965732,0.3073594492,0.005327328761
Philadelphia,641,2023-07-07 11:00:00,350,0,C,1.074243023,0.1784216524,0.1768635706,0.9890965732,0.9890965732,0.3073594492,0.005343789207
Philadelphia,641,2023-07-07 11:00:00,350,1,C,1.070934037,0.1760351099,0.1758991964,0.9890965732,0.9890965732,0.3073594492,0.005327328761
Austin,491,2024-07-27 07:00:00,205,1,S,0.5803808457,0.5710146544,0.6516159841,0.2415458937,0.9951690821,0.1490349833,0.01304228023
Austin,491,2024-07-27 07:00:00,205,2,S,0.5802721362,0.5644013645,0.6501812296,0.2415458937,0.9951690821,0.1490349833,0.01303983732
Austin,491,2024-07-27 07:00:00,177,8,S,0.540253569,0.6225345863,0.7537953563,0.9661835749,0.9903381643,0.1483115125,0.0121405427
Philadelphia,640,2023-07-04 01:00:00,350,3,C,0.5331076996,0.2100886287,0.2102370736,0.9890965732,0.9890965732,0.3073594492,0.005263045361
Philadelphia,640,2023-07-04 01:00:00,350,4,C,0.5270364319,0.2061182226,0.2073374702,0.9890965732,0.9890965732,0.3073594492,0.005203107459
Philadelphia,647,2023-07-14 08:00:00,350,0,C,0.4455712326,0.1699456673,0.1684644332,0.9890965732,0.9890965732,0.3073594492,0.005343789207
Philadelphia,647,2023-07-14 08:00:00,350,1,C,0.4441987418,0.1676718664,0.167545599,0.9890965732,0.9890965732,0.3073594492,0.005327328761
San Antonio,499,2024-07-22 20:00:00,214,1,S,0.4009046455,0.3865032915,0.3865384104,0.8815789474,0.9967105263,0.009835959141,0.008660159034
San Antonio,499,2024-07-22 20:00:00,214,2,S,0.4008295531,0.382180267,0.3862290336,0.8815789474,0.9967105263,0.009835959141,0.008658536925
San Antonio,499,2024-07-22 20:00:00,214,3,S,0.4006626813,0.3778573159,0.3858054422,0.8815789474,0.9967105263,0.009835959141,0.008654932236
Austin,489,2024-07-23 19:00:00,205,1,S,0.3372174566,0.5256820187,0.5979490008,0.2367149758,0.9951690821,0.1490349833,0.01304228023
Austin,489,2024-07-23 19:00:00,205,2,S,0.3371542934,0.5195928375,0.5966322315,0.2367149758,0.9951690821,0.1490349833,0.01303983732
Austin,489,2024-07-23 19:00:00,177,8,S,0.3139023898,0.5731771073,0.6919421789,0.9661835749,0.9903381643,0.1483115125,0.0121405427
Chicago,149,2019-07-13 20:00:00,173,6,C,0.296592614,0.1811544565,0.1811087522,0.9943310658,0.9943310658,0.01578303279,0.004791622488
Chicago,149,2019-07-13 20:00:00,700,7,C,0.2916118118,0.181145258,0.179701641,0.9954648526,0.9954648526,0.01918696428,0.004711154794
Austin,481,2024-07-13 14:00:00,205,1,S,0.2777637107,0.4764906677,0.5442909628,0.2415458937,0.9951690821,0.1490349833,0.01304228023
Austin,481,2024-07-13 14:00:00,205,2,S,0.2777116836,0.4709702073,0.5430921589,0.2415458937,0.9951690821,0.1490349833,0.01303983732
San Antonio,495,2024-07-13 13:00:00,214,1,S,0.2586280972,0.3301104678,0.3314556608,0.8815789474,0.9967105263,0.009835959141,0.008660159034
San Antonio,495,2024-07-13 13:00:00,214,2,S,0.2585796543,0.3264165671,0.3311902573,0.8815789474,0.9967105263,0.009835959141,0.008658536925
Austin,481,2024-07-13 14:00:00,177,8,S,0.2585592498,0.5194970601,0.6296665736,0.9661835749,0.9903381643,0.1483115125,0.0121405427
San Antonio,495,2024-07-13 13:00:00,214,3,S,0.2584720034,0.3227227292,0.3308268731,0.8815789474,0.9967105263,0.009835959141,0.008654932236
Philadelphia,646,2023-07-14 06:00:00,350,0,C,0.2447147601,0.1684052194,0.1659230368,0.9890965732,0.9890965732,0.3073594492,0.005343789207
Philadelphia,646,2023-07-14 06:00:00,350,1,C,0.2439609665,0.1661519085,0.1650179821,0.9890965732,0.9890965732,0.3073594492,0.005327328761
Chicago,152,2019-07-17 19:00:00,463,5,C,0.2414354754,0.1134493228,0.1174438419,0.9965986395,0.9965986395,0.07570533882,0.005352356263
Chicago,152,2019-07-17 19:00:00,700,1,C,0.2383023444,0.1139811991,0.1152378274,0.9954648526,0.9954648526,0.01918696428,0.005282898228
Philadelphia,643,2023-07-08 16:00:00,350,3,C,0.224647456,0.1829378948,0.1818491195,0.9890965732,0.9890965732,0.3073594492,0.005263045361
Philadelphia,643,2023-07-08 16:00:00,350,4,C,0.2220890708,0.179478172,0.1793391911,0.9890965732,0.9890965732,0.3073594492,0.005203107459
Philadelphia,650,2023-07-16 19:00:00,350,3,C,0.2158677313,0.1613897724,0.162890003,0.9890965732,0.9890965732,0.3073594492,0.005263045361
Philadelphia,650,2023-07-16 19:00:00,350,4,C,0.2134093335,0.1583353523,0.1606403221,0.9890965732,0.9890965732,0.3073594492,0.005203107459
Philadelphia,650,2023-07-16 19:00:00,546,1,C,0.2110273246,0.1611612906,0.158356229,0.9875389408,0.9875389408,0.1222887006,0.005145031983
Austin,490,2024-07-25 21:00:00,177,7,S,0.1841110333,0.2483092617,0.3062904552,0.9710144928,0.9903381643,0.1483115125,0.01242606174
Austin,490,2024-07-25 21:00:00,177,8,S,0.1798806338,0.2424524932,0.2972068764,0.9710144928,0.9903381643,0.1483115125,0.0121405427
Chicago,154,2019-07-20 05:00:00,257,5,C,0.1792695109,0.154152723,0.1568791279,0.9920634921,0.9920634921,0.1248515279,0.004311136427
Chicago,154,2019-07-20 05:00:00,773,1,C,0.1781235478,0.1556556467,0.156110725,0.9886621315,0.9886621315,0.008967456975,0.004283577903
Chicago,154,2019-07-20 05:00:00,773,2,C,0.1772768273,0.1536397315,0.1554241006,0.9886621315,0.9886621315,0.008967456975,0.004263215669
Chicago,154,2019-07-20 05:00:00,396,0,C,0.177114814,0.1557661597,0.1547451825,0.9875283447,0.9875283447,0.02351257964,0.004259319517
Chicago,154,2019-07-20 05:00:00,396,1,C,0.1765692481,0.1539112744,0.1543165929,0.9875283447,0.9875283447,0.02351257964,0.004246199557
Chicago,154,2019-07-20 05:00:00,773,3,C,0.1759741803,0.1514017283,0.1543492173,0.9886621315,0.9886621315,0.008967456975,0.004231889155
Chicago,154,2019-07-20 05:00:00,396,2,C,0.1757299161,0.1519244003,0.1536563989,0.9875283447,0.9875283447,0.02351257964,0.004226015003
Chicago,154,2019-07-20 05:00:00,282,5,C,0.1749983305,0.153617495,0.158053237,0.9897959184,0.9897959184,0.0403998334,0.004208421575
Chicago,154,2019-07-20 05:00:00,396,3,C,0.1744386359,0.149711222,0.152594117,0.9875283447,0.9875283447,0.02351257964,0.004194961843
Chicago,154,2019-07-20 05:00:00,257,6,C,0.1742934662,0.1499838741,0.1527516501,0.9920634921,0.9920634921,0.1248515279,0.004191470749
Chicago,154,2019-07-20 05:00:00,773,4,C,0.173970108,0.1488165263,0.1526789985,0.9886621315,0.9886621315,0.008967456975,0.004183694519
Philadelphia,658,2023-07-29 09:00:00,393,9,S,0.1736151141,0.07430487164,0.07603190256,0.3676012461,0.9937694704,0.05340349958,0.003440146174
