city,event_id,event_start,baseline_objective,optimized_objective,lp_recoverable_fraction,lp_replay_gain,lp_replay_recoverable_fraction,replay_fraction_of_base_lp_gain,lp_selected_action_count,event_peak_positive_abnormal_deficit,event_total_precip,baseline_objective_greedy,optimized_objective_greedy,lp_recoverable_fraction_greedy,greedy_replay_gain,greedy_replay_recoverable_fraction,greedy_fraction_of_lp_gain,greedy_selected_action_count,event_peak_positive_abnormal_deficit_greedy,event_total_precip_greedy,replay_gap_recoverable_fraction,replay_gap_fraction_of_lp_gain,lp_allocated_cost,lp_first_order_value_proxy,lp_segment_rows,lp_action_count,lp_unit_count,lp_cost_gini,lp_cost_share_R,lp_cost_share_C,lp_cost_share_S,lp_cost_share_segment_0,lp_cost_share_segment_1,lp_cost_share_segment_2,lp_cost_share_time_early,lp_cost_share_time_mid,lp_cost_share_time_late,greedy_allocated_cost,greedy_first_order_value_proxy,greedy_segment_rows,greedy_action_count,greedy_unit_count,greedy_cost_gini,greedy_cost_share_R,greedy_cost_share_C,greedy_cost_share_S,greedy_cost_share_segment_0,greedy_cost_share_segment_1,greedy_cost_share_time_early,greedy_cost_share_time_mid,greedy_cost_share_time_late,greedy_cost_share_segment_2,action_cost_overlap_share_lp,action_cost_overlap_share_greedy,action_cost_jaccard,lp_only_cost_share,greedy_only_cost_share,lp_action_rows,lp_feature_matched_rows,lp_cost_total,lp_matched_cost,lp_feature_match_rate,lp_matched_cost_share,greedy_proxy_over_realized,lp_proxy_over_realized,greedy_minus_lp_proxy,lp_to_greedy_action_count_ratio,lp_to_greedy_unit_count_ratio,intervention_share_l1,time_share_l1,segment_share_l1
Philadelphia,642,2023-07-07 17:00:00,0.004404859881,0.003539557703,0.1964426113,0.0008653021776,0.1964426113,1,504,0.0008256984963,0.01574804,0.004404859881,0.003539557703,0.1964426113,0.000331465835,0.07525002927,0.3830636783,80,0.0008256984963,0.01574804,0.121192582,0.6169363217,0.2104896005,0.1964425243,505,504,54,0.7113673205,0,0.761334869,0.238665131,0.9999987422,1.257757046e-06,,0.1606878726,0.5173013392,0.3220107881,0.2104896005,0.276695469,80,80,11,0.004156625443,0,1,0,1,,0.5237905565,0.4007829262,0.07542651721,,0.2110308215,0.2110308215,0.1179622455,0.7889691785,0.7889691785,504,504,0.2104896005,0.2104896005,1,1,0.2014454398,-8.69537076e-08,0.08025294469,6.3,4.909090909,0.238665131,0.3631026839,1.257757046e-06
Chicago,152,2019-07-17 19:00:00,0.02216888903,0.0162268801,0.2680336809,0.005942008675,0.2680336694,0.9999999572,5131,0.01334210144,0.27952771,0.02216888903,0.0162268801,0.2680336809,0.00235654941,0.1062998424,0.3965913612,869,0.01334210144,0.27952771,0.161733827,0.6034086388,3.013699282,0.269982324,5149,5131,417,0.5279301805,0.001316384796,0.5336772756,0.4650063396,0.9931421962,0.006857803783,,0.2261170675,0.4011974014,0.372685531,3.013699282,0.4397091674,1017,869,78,0.3608404195,0.3775624047,0.5344142631,0.08802333213,0.8148520015,0.1851479985,0.450016613,0.4506458971,0.09933748989,,0.1918563184,0.1918563184,0.106106788,0.8081436816,0.8081436816,5131,5131,3.013699282,3.013699282,1,1,0.333409325,0.001948654553,0.1697268435,5.904487917,5.346153846,0.3769830075,0.2733480411,0.1782901947
San Antonio,506,2024-07-27 11:00:00,0.006043985503,0.005108345854,0.1548050783,0.0009356396492,0.1548050783,1,250,0.002520241673,0.01443570333,0.006043985503,0.005108345854,0.1548050783,0.0003719321442,0.06153756392,0.3975164419,49,0.002520241673,0.01443570333,0.09326751438,0.6024835581,0.1141558958,0.1548050783,250,250,31,0.6904464384,0,0.8513488805,0.1486511195,1,,,0.8991706252,0.09075091655,0.01007845823,0.1141558958,0.1994211531,49,49,7,0.1115590783,0,0.9350247237,0.06497527631,1,,0.5421300733,0.356829688,0.1010402387,,0.2923213402,0.2923213402,0.1711805313,0.7076786598,0.7076786598,250,250,0.1141558958,0.1141558958,1,1,0.1378835891,2.731584403e-11,0.04461607472,5.102040816,4.428571429,0.0836758432,0.3570405519,0
Philadelphia,640,2023-07-04 01:00:00,0.009872386696,0.008243332553,0.1650111764,0.001629054143,0.1650111764,1,734,0.002905801377,0.005905515,0.009872386696,0.008243332553,0.1650111764,0.0007271692035,0.07365688013,0.4463750984,153,0.002905801377,0.005905515,0.09135429627,0.5536249016,0.4128202335,0.1650111764,737,734,80,0.6577606687,0,0.7393045481,0.2606954519,0.9807460814,0.01925391862,,0.8866961686,0.09995232381,0.01335150755,0.4128202335,0.2147266263,161,153,19,0.02707701605,0,0.9889694949,0.01103050512,0.9484352878,0.05156471217,0.4894096649,0.4019871771,0.108603158,,0.3240223205,0.3240223205,0.1933333149,0.6759776795,0.6759776795,734,734,0.4128202335,0.4128202335,1,1,0.1410697462,4.256417441e-11,0.04971544986,4.797385621,4.210526316,0.2496649468,0.3972865038,0.03231079355
Philadelphia,641,2023-07-07 11:00:00,0.004974469552,0.00404945932,0.1859515315,0.0009250102317,0.1859515315,1,549,0.001487792359,0.009842525,0.004974469552,0.00404945932,0.1859515315,0.0004289522474,0.08623075143,0.46372703,83,0.001487792359,0.009842525,0.09972078007,0.53627297,0.2182709443,0.1875732391,549,549,65,0.7509334296,0,0.758137975,0.241862025,1,,,0.04881811159,0.8904247992,0.06075708921,0.2182709443,0.2526410337,83,83,11,0.004495615027,0,1,0,1,,0.5287097618,0.3864950432,0.08479519495,,0.2544515405,0.2544515405,0.1457716852,0.7455484595,0.7455484595,549,549,0.2182709443,0.2182709443,1,1,0.1664102822,0.001621707583,0.06506779458,6.614457831,5.909090909,0.241862025,0.503929756,0
San Antonio,500,2024-07-23 00:00:00,0.1073168078,0.08958091705,0.165266663,0.0177358907,0.165266663,1,2197,0.03970233648,0.01706037667,0.1073168078,0.08958091705,0.165266663,0.008295520516,0.07729935962,0.4677250584,482,0.03970233648,0.01706037667,0.08796730338,0.5322749416,3.816707883,0.1720892785,2345,2197,173,0.7202350267,0.0502570113,0.6495112323,0.3002317564,0.9264871479,0.07351285209,7.097240755e-12,0.3964581809,0.04669672752,0.5568450916,3.816707884,0.2495096772,522,482,49,0.3025449878,0.1338324089,0.7337341109,0.1324334803,0.8991594948,0.1008405052,0.4450992679,0.4450491964,0.1098515357,,0.2406061362,0.2406061362,0.1367551298,0.7593938638,0.7593938638,2197,2197,3.816707883,3.816707883,1,1,0.1722103176,0.006822615458,0.07742039872,4.558091286,3.530612245,0.1677982762,0.4469935558,0.02732765309
New York,100,2019-06-05 21:00:00,0.06728818434,0.05587831479,0.169567208,0.01140986786,0.1695671828,0.9999998513,2874,0.01875161061,0.01049869333,0.06728818434,0.05587831479,0.169567208,0.006028596921,0.08959369286,0.5283668575,1316,0.01875161061,0.01049869333,0.07997348994,0.4716331425,9.423734096,0.1754545892,3289,2874,388,0.5372428437,0.4920953415,0.3405688336,0.1673358249,0.9179623299,0.07994935187,0.00208831821,0,0.6299764277,0.3700235723,9.423734096,0.2386911364,1573,1316,143,0.4172780421,0.7098723337,0.2483295573,0.04179810899,0.7692533547,0.2165997327,0.2486804713,0.6388477959,0.1124717328,0.01414691254,0.3578897914,0.3578897914,0.2179450499,0.6421102086,0.6421102086,2874,2874,9.423734096,9.423734096,1,1,0.1490974435,0.005887406363,0.06323654725,2.183890578,2.713286713,0.2177769922,0.2575518395,0.1487089752
Chicago,154,2019-07-20 05:00:00,0.02404835271,0.01884282114,0.2164610453,0.005205531039,0.2164610235,0.9999998992,1648,0.005706766028,0.01181103,0.02404835271,0.01884282114,0.2164610453,0.002820702278,0.1172929519,0.5418663287,516,0.005706766028,0.01181103,0.0991680716,0.4581336713,1.815836829,0.2164610453,1688,1648,158,0.3970931876,0.01640225925,0.6700463263,0.3135514144,0.9469186023,0.05308139773,,0.6897875067,0.2469417193,0.06327077401,1.815836829,0.2711593723,588,516,44,0.3309020166,0.3818122017,0.5525022888,0.06568550945,0.8641016771,0.1358983229,0.4740904116,0.4288624912,0.09704709728,,0.3611019433,0.3611019433,0.2203321566,0.6388980567,0.6388980567,1648,1648,1.815836829,1.815836829,1,1,0.1538664204,2.176469299e-08,0.05469832708,3.19379845,3.590909091,0.3654099425,0.2156970951,0.08281692522
New York,99,2019-06-02 22:00:00,0.07896785276,0.06730622951,0.1476755773,0.01166162325,0.1476755773,1,2651,0.01581179532,0.37401595,0.07896785276,0.06730622951,0.1476755773,0.006757595463,0.08557400545,0.5794729703,1282,0.01581179532,0.37401595,0.06210157185,0.4205270297,8.43191233,0.1509864289,2994,2651,282,0.5182771831,0.5466223432,0.3234245423,0.1299531146,0.8775700374,0.1163111932,0.006118769313,0.28018297,0.4082571831,0.311559847,8.43191233,0.193239497,1532,1282,129,0.4048330956,0.7134983142,0.2494868235,0.03701486225,0.7620832844,0.2174104635,0.3802220584,0.534616559,0.08516138261,0.0205062521,0.4105447872,0.4105447873,0.2582927685,0.5894552128,0.5894552127,2651,2651,8.431912331,8.431912331,1,1,0.1076654915,0.003310851576,0.04225306812,2.067862715,2.186046512,0.1668759711,0.2263984644,0.115486753
New York,98,2019-06-02 18:00:00,0.01550511148,0.01152843866,0.2564749584,0.003976672823,0.2564749584,1,2208,0.01284042645,0.12598432,0.01550511148,0.01152843866,0.2564749584,0.002310258273,0.1489997847,0.580952564,838,0.01284042645,0.12598432,0.1074751737,0.419047436,3.596110992,0.257095375,2318,2208,476,0.3129533459,0.08072863016,0.6145514474,0.3047199225,0.9765418903,0.02345810966,,0,0.3702292559,0.6297707441,3.596110992,0.334130915,972,838,168,0.4283145968,0.6188530623,0.3032395452,0.07790739246,0.8250930095,0.1749069905,0.08384650231,0.5893174377,0.32683606,,0.3670897773,0.3670897772,0.2248070789,0.6329102227,0.6329102228,2208,2208,3.596110992,3.596110992,1,1,0.1851311303,0.000620416606,0.07703554004,2.634844869,2.833333333,0.5381244322,0.3029346841,0.1514488808
