city,event_id,unit,t,intervention,lp_cost,greedy_cost,absolute_cost_difference,allocation_preference,marginal_resource_value,finite_deficit_area_value,active_weighted_horizon,origin_exposure_rank,destination_importance_rank,local_remaining_rank,access_remaining_rank,eta_per_cost_rank
Chicago,152,849,2,R,0,0.01975240304,0.01975240304,greedy_more,0.2098958641,0.001206551563,4.956056604,1,1,1,0.9931972789,0.001133786848
Chicago,152,849,3,R,0,0.01975240304,0.01975240304,greedy_more,0.2020425454,0.001185213712,4.770624212,1,1,1,0.9931972789,0.001133786848
Chicago,152,849,4,R,0,0.01975240304,0.01975240304,greedy_more,0.1925721974,0.001167519224,4.547010562,1,1,1,0.9931972789,0.001133786848
Chicago,152,849,5,R,0,0.01975240304,0.01975240304,greedy_more,0.1811518676,0.00115284601,4.277353981,1,1,1,0.9931972789,0.001133786848
Chicago,152,411,2,R,0,0.01959819015,0.01959819015,greedy_more,0.2055913647,0.001175653118,4.94379873,0.9988662132,0.9977324263,0.9988662132,0.9977324263,0.002267573696
Chicago,152,411,3,R,0,0.01959819015,0.01959819015,greedy_more,0.1979364171,0.001154896477,4.759722322,0.9988662132,0.9977324263,0.9988662132,0.9977324263,0.002267573696
Chicago,152,411,4,R,0,0.01959819015,0.01959819015,greedy_more,0.1886977548,0.001137697993,4.537562763,0.9988662132,0.9977324263,0.9988662132,0.9977324263,0.002267573696
Chicago,152,411,5,R,0,0.01959819015,0.01959819015,greedy_more,0.1775477266,0.001123447715,4.269441115,0.9988662132,0.9977324263,0.9988662132,0.9977324263,0.002267573696
Chicago,152,719,2,R,0,0.0195970825,0.0195970825,greedy_more,0.2057386682,0.00117645111,4.943710806,0.9897959184,0.9988662132,0.9977324263,0.9523809524,0.003401360544
Chicago,152,719,3,R,0,0.0195970825,0.0195970825,greedy_more,0.1980785039,0.001155680631,4.75964411,0.9897959184,0.9988662132,0.9977324263,0.9523809524,0.003401360544
Chicago,152,719,4,R,0,0.0195970825,0.0195970825,greedy_more,0.1888334914,0.00113847078,4.537494969,0.9897959184,0.9988662132,0.9977324263,0.9523809524,0.003401360544
Chicago,152,719,5,R,0,0.0195970825,0.0195970825,greedy_more,0.1776757337,0.001124211169,4.269384323,0.9897959184,0.9988662132,0.9977324263,0.9523809524,0.003401360544
Chicago,152,463,2,R,0,0.01906182489,0.01906182489,greedy_more,0.1903899414,0.001068681841,4.901418982,0.8866213152,0.9965986395,0.9965986395,0.9965986395,0.004535147392
Chicago,152,463,3,R,0,0.01906182489,0.01906182489,greedy_more,0.1834205921,0.001049924164,4.721999309,0.8866213152,0.9965986395,0.9965986395,0.9965986395,0.004535147392
Chicago,152,463,4,R,0,0.01906182489,0.01906182489,greedy_more,0.1749853887,0.001034426161,4.504842532,0.8866213152,0.9965986395,0.9965986395,0.9965986395,0.004535147392
Chicago,152,463,5,R,0,0.01906182489,0.01906182489,greedy_more,0.16477602,0.001021621373,4.242011455,0.8866213152,0.9965986395,0.9965986395,0.9965986395,0.004535147392
Chicago,152,849,6,R,0.001009627671,0.01975240304,0.01874277537,greedy_more,0.167380047,0.001140678196,3.952174051,1,1,1,0.9931972789,0.001133786848
Chicago,152,700,2,R,0,0.01865815604,0.01865815604,greedy_more,0.179120918,0.0009910205849,4.869780853,0.8843537415,0.9954648526,0.9954648526,0.9897959184,0.00566893424
Chicago,152,700,3,R,0,0.01865815604,0.01865815604,greedy_more,0.1726481764,0.0009737034238,4.693805688,0.8843537415,0.9954648526,0.9954648526,0.9897959184,0.00566893424
Chicago,152,700,4,R,0,0.01865815604,0.01865815604,greedy_more,0.1647971397,0.0009594263908,4.480358658,0.8843537415,0.9954648526,0.9954648526,0.9897959184,0.00566893424
Chicago,154,849,3,R,0,0.01826086957,0.01826086957,greedy_more,0.186252207,0.0007862464871,4.770624212,1,1,1,0.9931972789,0.001133786848
Chicago,154,849,4,R,0,0.01826086957,0.01826086957,greedy_more,0.1775220002,0.000686284586,4.547010562,1,1,1,0.9931972789,0.001133786848
Chicago,154,411,3,R,0,0.01824421102,0.01824421102,greedy_more,0.1824669872,0.0007642779261,4.759722322,0.9988662132,0.9977324263,0.9988662132,0.9988662132,0.002267573696
Chicago,154,411,4,R,0,0.01824421102,0.01824421102,greedy_more,0.173950359,0.0006670870407,4.537562763,0.9988662132,0.9977324263,0.9988662132,0.9988662132,0.002267573696
Chicago,154,719,3,R,0,0.01824409092,0.01824409092,greedy_more,0.1825979695,0.0007647835349,4.75964411,0.9897959184,0.9988662132,0.9977324263,0.9546485261,0.003401360544
Chicago,154,719,4,R,0,0.01824409092,0.01824409092,greedy_more,0.1740754873,0.0006675281973,4.537494969,0.9897959184,0.9988662132,0.9977324263,0.9546485261,0.003401360544
Chicago,154,463,3,R,0,0.01818529429,0.01818529429,greedy_more,0.1690856252,0.0006889844435,4.721999309,0.8866213152,0.9965986395,0.9965986395,0.9965986395,0.004535147392
Chicago,154,463,2,R,0.004792756173,0.01818529429,0.01339253812,greedy_more,0.1755102952,0.000795105456,4.901418982,0.8866213152,0.9965986395,0.9965986395,0.9965986395,0.004535147392
Chicago,154,719,2,R,0.005503048455,0.01824409092,0.01274104247,greedy_more,0.1896594649,0.0008821604972,4.943710806,0.9897959184,0.9988662132,0.9977324263,0.9546485261,0.003401360544
Chicago,154,411,2,R,0.005504529456,0.01824421102,0.01273968156,greedy_more,0.1895236736,0.0008815764138,4.94379873,0.9988662132,0.9977324263,0.9988662132,0.9988662132,0.002267573696
Chicago,154,849,2,R,0.005711172166,0.01826086957,0.0125496974,greedy_more,0.1934917612,0.0009067909366,4.956056604,1,1,1,0.9931972789,0.001133786848
Chicago,154,849,5,R,0,0.009130434783,0.009130434783,greedy_more,0.1669942095,0.0006033908343,4.277353981,1,1,1,0.9931972789,0.001133786848
Chicago,154,849,6,R,0,0.009130434783,0.009130434783,greedy_more,0.1542987053,0.0005346509044,3.952174051,1,1,1,0.9931972789,0.001133786848
Chicago,154,849,7,R,0,0.009130434783,0.009130434783,greedy_more,0.1389891469,0.0004776480801,3.560038295,1,1,1,0.9931972789,0.001133786848
Chicago,154,849,8,R,0,0.009130434783,0.009130434783,greedy_more,0.1205272902,0.0004303782912,3.087160244,1,1,1,0.9931972789,0.001133786848
Chicago,154,411,5,R,0,0.00912210551,0.00912210551,greedy_more,0.1636717448,0.0005865568617,4.269441115,0.9988662132,0.9977324263,0.9988662132,0.9988662132,0.002267573696
Chicago,154,411,6,R,0,0.00912210551,0.00912210551,greedy_more,0.1512666114,0.0005198313688,3.945848386,0.9988662132,0.9977324263,0.9988662132,0.9988662132,0.002267573696
Chicago,154,411,7,R,0,0.00912210551,0.00912210551,greedy_more,0.1362950081,0.0004645441281,3.55530829,0.9988662132,0.9977324263,0.9988662132,0.9988662132,0.002267573696
Chicago,154,411,8,R,0,0.00912210551,0.00912210551,greedy_more,0.1182259636,0.0004187343654,3.083970237,0.9988662132,0.9977324263,0.9988662132,0.9988662132,0.002267573696
Chicago,154,719,5,R,0,0.009122045461,0.009122045461,greedy_more,0.1637897478,0.0005869450871,4.269384323,0.9897959184,0.9988662132,0.9977324263,0.9546485261,0.003401360544
New York,100,1286,3,R,0,0.04076878229,0.04076878229,greedy_more,0.04730446066,0.0007482006079,6.039419923,0.9577319588,1,1,0.943814433,0.0005154639175
New York,100,1286,5,R,0,0.04076878229,0.04076878229,greedy_more,0.04550582354,0.0007329264628,5.809785662,0.9577319588,1,1,0.943814433,0.0005154639175
New York,100,1695,3,R,0,0.04038730206,0.04038730206,greedy_more,0.04607248726,0.0007244244507,6.017744679,0.9335051546,0.9994845361,0.9994845361,0.9989690722,0.001030927835
New York,100,1565,3,R,0,0.04035499211,0.04035499211,greedy_more,0.0459597932,0.000722288661,6.015911639,0.9948453608,0.9989690722,0.9989690722,0.9097938144,0.001546391753
New York,100,1910,3,R,0,0.04021735551,0.04021735551,greedy_more,0.04553140748,0.0007140185068,6.008107943,0.874742268,0.9984536082,0.9984536082,0.9979381443,0.00206185567
New York,100,1605,3,R,0,0.04008174691,0.04008174691,greedy_more,0.04510547177,0.0007058343971,6.000426877,0.881443299,0.9979381443,0.9979381443,1,0.002577319588
New York,100,1286,2,R,0,0.0285381476,0.0285381476,greedy_more,0.04433067883,0.0007482006079,5.659753461,0.9577319588,1,1,0.943814433,0.0005154639175
New York,100,1286,6,R,0,0.0285381476,0.0285381476,greedy_more,0.04020039356,0.0007186125227,5.132434752,0.9577319588,1,1,0.943814433,0.0005154639175
New York,100,1695,2,R,0,0.02827111144,0.02827111144,greedy_more,0.04313883881,0.0007244244507,5.634567029,0.9335051546,0.9994845361,0.9994845361,0.9989690722,0.001030927835
New York,100,1695,5,R,0,0.02827111144,0.02827111144,greedy_more,0.04437510054,0.000709618016,5.796041,0.9335051546,0.9994845361,0.9994845361,0.9989690722,0.001030927835
