model_id,heldout_city,feature,standardized_coef
G0_action_time_only,Austin,time_remaining_frac,0.01206835421
G0_action_time_only,Austin,log_active_weighted_horizon,0.2638973483
G0_action_time_only,Austin,active_future_loss_share,0.04290941976
G0_action_time_only,Austin,delay_feasible,0.3922266706
G0_action_time_only,Austin,delay_fraction,-0.7528962262
G0_action_time_only,Austin,log_eta_per_cost,-4.098319072
G0_action_time_only,Austin,eta_per_cost_rank,-0.3206796288
G0_action_time_only,Austin,intervention_R,-2.334053215
G0_action_time_only,Austin,intervention_C,-0.7255050132
G0_action_time_only,Austin,intervention_S,2.648656717
G0_action_time_only,Austin,budget_fraction_of_baseline,-0.2344605207
G0_action_time_only,Austin,log_event_total_precip,-0.07731342769
G0_action_time_only,Austin,log_event_peak_precip,0.08269622777
G0_action_time_only,Austin,event_peak_positive_abnormal_deficit,-0.1712831297
G0_action_time_only,Austin,weighted_b0,-0.541391762
G0_action_time_only,Austin,weighted_h_total,-0.4377060856
G0_action_time_only,Chicago,time_remaining_frac,-0.01638675862
G0_action_time_only,Chicago,log_active_weighted_horizon,0.2574165166
G0_action_time_only,Chicago,active_future_loss_share,-0.0002819338075
G0_action_time_only,Chicago,delay_feasible,0.4301736323
G0_action_time_only,Chicago,delay_fraction,-0.4986967208
G0_action_time_only,Chicago,log_eta_per_cost,-2.413325224
G0_action_time_only,Chicago,eta_per_cost_rank,-0.3612614548
G0_action_time_only,Chicago,intervention_R,-1.469305831
G0_action_time_only,Chicago,intervention_C,-0.429446057
G0_action_time_only,Chicago,intervention_S,1.661782289
G0_action_time_only,Chicago,budget_fraction_of_baseline,-0.409738628
G0_action_time_only,Chicago,log_event_total_precip,-0.1983162808
G0_action_time_only,Chicago,log_event_peak_precip,0.16852743
G0_action_time_only,Chicago,event_peak_positive_abnormal_deficit,-0.1543184589
G0_action_time_only,Chicago,weighted_b0,-0.510638918
G0_action_time_only,Chicago,weighted_h_total,-0.4847711429
G0_action_time_only,Dallas,time_remaining_frac,0.008263036493
G0_action_time_only,Dallas,log_active_weighted_horizon,0.2246853348
G0_action_time_only,Dallas,active_future_loss_share,0.02321191951
G0_action_time_only,Dallas,delay_feasible,0.4299275254
G0_action_time_only,Dallas,delay_fraction,-0.7472582867
G0_action_time_only,Dallas,log_eta_per_cost,-4.282945672
G0_action_time_only,Dallas,eta_per_cost_rank,-0.3071472743
G0_action_time_only,Dallas,intervention_R,-2.453654993
G0_action_time_only,Dallas,intervention_C,-0.7960092277
G0_action_time_only,Dallas,intervention_S,2.755350071
G0_action_time_only,Dallas,budget_fraction_of_baseline,-0.3426992883
G0_action_time_only,Dallas,log_event_total_precip,-0.2796308742
G0_action_time_only,Dallas,log_event_peak_precip,0.2693004245
G0_action_time_only,Dallas,event_peak_positive_abnormal_deficit,-0.1311223125
G0_action_time_only,Dallas,weighted_b0,-0.5068398631
G0_action_time_only,Dallas,weighted_h_total,-0.4290543931
G0_action_time_only,Houston,time_remaining_frac,0.006737564581
G0_action_time_only,Houston,log_active_weighted_horizon,0.2529935796
G0_action_time_only,Houston,active_future_loss_share,0.02490166308
G0_action_time_only,Houston,delay_feasible,0.4276619236
G0_action_time_only,Houston,delay_fraction,-0.587154223
G0_action_time_only,Houston,log_eta_per_cost,-3.093027281
G0_action_time_only,Houston,eta_per_cost_rank,-0.3337841903
G0_action_time_only,Houston,intervention_R,-1.828876488
G0_action_time_only,Houston,intervention_C,-0.5679911373
G0_action_time_only,Houston,intervention_S,2.058663046
G0_action_time_only,Houston,budget_fraction_of_baseline,-0.3225872245
G0_action_time_only,Houston,log_event_total_precip,-0.1434944722
G0_action_time_only,Houston,log_event_peak_precip,0.1627355887
G0_action_time_only,Houston,event_peak_positive_abnormal_deficit,-0.1616990619
G0_action_time_only,Houston,weighted_b0,-0.5490735844
G0_action_time_only,Houston,weighted_h_total,-0.4311908164
G0_action_time_only,New York,time_remaining_frac,0.02289019545
