comparison,observed_model,baseline_or_shuffled_model,city,event_id,top_5pct_value_capture_observed,top_5pct_value_capture_baseline,delta_top5_capture,top_5pct_ndcg_observed,top_5pct_ndcg_baseline,delta_top5_ndcg
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Austin,478,0.9840897367,0.651297246,0.3327924908,0.9851430596,0.6666294912,0.3185135684
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Austin,479,0.9840897367,0.6512175344,0.3328722023,0.9851430596,0.6637640838,0.3213789758
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Austin,480,0.9840897367,0.652850887,0.3312388497,0.9851430596,0.6644363357,0.3207067239
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Austin,481,0.9840897367,0.6409927462,0.3430969905,0.9851430596,0.6573231093,0.3278199503
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Austin,482,0.9840897367,0.6622972741,0.3217924627,0.9851430596,0.6745160251,0.3106270345
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Austin,483,0.9840897367,0.6448603338,0.3392294029,0.9851430596,0.6593062598,0.3258367998
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Austin,484,0.9840897367,0.6602199296,0.3238698071,0.9851430596,0.6728860193,0.3122570403
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Austin,485,0.9850827179,0.63401816,0.351064558,0.9857709221,0.6526661939,0.3331047282
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Austin,486,0.9840897367,0.6284308051,0.3556589316,0.9851430596,0.6497245855,0.3354184741
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Austin,487,0.9840897367,0.6392446168,0.3448451199,0.9851430596,0.6595164138,0.3256266458
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Austin,488,0.9840897367,0.6536852039,0.3304045328,0.9851430596,0.6647261939,0.3204168657
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Austin,489,0.9840897367,0.6487229221,0.3353668147,0.9851430596,0.6656154035,0.3195276561
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Austin,490,0.9840897367,0.6451698074,0.3389199293,0.9851430596,0.6598155109,0.3253275486
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Austin,491,0.9840897367,0.6722101603,0.3118795764,0.9851430596,0.68104373,0.3040993296
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Austin,492,0.9840897367,0.6645018241,0.3195879126,0.9851430596,0.6760099731,0.3091330865
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Chicago,145,0.9952763551,0.6173264041,0.377949951,0.9936058616,0.5833399462,0.4102659154
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Chicago,146,0.9986704527,0.6509071086,0.3477633442,0.9954240039,0.611672439,0.383751565
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Chicago,147,0.9986704527,0.6598299038,0.338840549,0.9954240039,0.6229638847,0.3724601192
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Chicago,149,0.9988118583,0.6548521754,0.3439596829,0.9953231756,0.6270008957,0.3683222799
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Chicago,150,0.9978648145,0.656939717,0.3409250975,0.99518135,0.6189969412,0.3761844088
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Chicago,152,0.9927559162,0.5800711942,0.412684722,0.9922467206,0.5530742767,0.4391724439
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Chicago,153,0.9951412329,0.6416216738,0.3535195592,0.9934640448,0.60215286,0.3913111849
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Chicago,154,0.9917621414,0.6209785001,0.3707836413,0.9912800261,0.5887456699,0.4025343562
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Chicago,155,0.9952763551,0.6195268069,0.3757495482,0.9936058616,0.5848764439,0.4087294176
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Chicago,156,0.9945608128,0.6299150231,0.3646457897,0.9930476996,0.5927204087,0.4003272909
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Chicago,157,0.9971479136,0.6615791557,0.3355687578,0.9947123321,0.6178980754,0.3768142567
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Chicago,158,0.9948376095,0.6286760888,0.3661615207,0.9932262409,0.5886199719,0.404606269
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Chicago,159,0.9943595587,0.6118174119,0.3825421468,0.9930292664,0.5799156138,0.4131136526
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Dallas,55,0.9608700356,0.7222189871,0.2386510485,0.9595314236,0.6991612719,0.2603701517
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Dallas,56,0.9608700356,0.724439003,0.2364310325,0.9595314236,0.7021228837,0.2574085399
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Dallas,57,0.9608700356,0.6575875523,0.3032824833,0.9595314236,0.6470072281,0.3125241955
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Dallas,58,0.9608700356,0.6814580039,0.2794120317,0.9595314236,0.6697331789,0.2897982447
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Dallas,59,0.9608700356,0.7031049763,0.2577650593,0.9595314236,0.6880328932,0.2714985304
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Dallas,60,0.9608700356,0.6877619386,0.273108097,0.9595314236,0.67592966,0.2836017636
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Dallas,61,0.9608700356,0.7066932758,0.2541767599,0.9595314236,0.6901474721,0.2693839515
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Dallas,62,0.9608700356,0.6972980917,0.2635719439,0.9595314236,0.6800552255,0.2794761981
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Dallas,63,0.9608700356,0.6868354365,0.274034599,0.9595314236,0.6741161404,0.2854152832
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Dallas,64,0.9608700356,0.6920179124,0.2688521231,0.9595314236,0.6767638112,0.2827676124
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Houston,52,0.9969537367,0.57401234,0.4229413967,0.9968987684,0.5251963746,0.4717023938
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Houston,60,0.9969537367,0.5683398724,0.4286138643,0.9968987684,0.5183780882,0.4785206802
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Houston,61,0.9969537367,0.5708224736,0.426131263,0.9968987684,0.5230380331,0.4738607353
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Houston,62,0.9969537367,0.5811990621,0.4157546745,0.9968987684,0.541583166,0.4553156024
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,98,0.9708783433,0.5702268478,0.4006514955,0.9485783189,0.5369197847,0.4116585342
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,99,0.9901759305,0.5896542735,0.400521657,0.9479836719,0.5704485838,0.377535088
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,100,0.9798419915,0.5686693906,0.4111726009,0.9486352933,0.5401964463,0.408438847
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,101,0.9801078688,0.6219265597,0.3581813091,0.9198446622,0.6429384916,0.2769061706
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,102,0.9771934972,0.6441450621,0.3330484351,0.9160396396,0.6769819326,0.2390577071
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,103,0.9801078688,0.6304975935,0.3496102753,0.9198446622,0.6418629088,0.2779817534
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,104,0.9837793904,0.6308489511,0.3529304393,0.9264955613,0.6483498543,0.2781457069
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,105,0.9798348121,0.6366807974,0.3431540147,0.9193072103,0.6560340442,0.2632731662
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,106,0.9864537369,0.6099219082,0.3765318287,0.9384711777,0.6146929913,0.3237781864
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,107,0.9815293229,0.6310381061,0.3504912167,0.9224971237,0.6502783877,0.272218736
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,108,0.9845848803,0.6290973522,0.3554875281,0.9276265602,0.6467880591,0.2808385011
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,109,0.8942149518,0.6324120436,0.2618029082,0.8618148059,0.6506840874,0.2111307185
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,110,0.9771934972,0.6476195942,0.329573903,0.9160396396,0.6797303396,0.2363093001
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,111,0.9809058695,0.6333396868,0.3475661826,0.9210781549,0.6524756392,0.2686025157
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,112,0.9621571156,0.6796630309,0.2824940847,0.8948325974,0.7095734599,0.1852591376
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,113,0.956811441,0.684095872,0.272715569,0.8876640296,0.7170353131,0.1706287165
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,115,0.9686726686,0.6564849092,0.3121877594,0.9246937421,0.6472333105,0.2774604317
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,116,0.9588664294,0.6789280678,0.2799383616,0.8882920239,0.7095563347,0.1787356892
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,117,0.9536034301,0.6910663917,0.2625370384,0.8835839418,0.716431306,0.1671526358
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,119,0.9765568127,0.6575597587,0.318997054,0.9590406042,0.6045964879,0.3544441163
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,120,0.9715470539,0.6501267505,0.3214203034,0.9106006166,0.6770372572,0.2335633594
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,121,0.9802710404,0.6384766697,0.3417943707,0.9203004744,0.6571106601,0.2631898143
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,122,0.9771934972,0.6452910077,0.3319024895,0.9160396396,0.6778764009,0.2381632388
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,New York,123,0.9771934972,0.6486042915,0.3285892057,0.9160396396,0.6805736714,0.2354659683
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Philadelphia,640,0.992346986,0.5921102703,0.4002367158,0.994371704,0.6015730725,0.3927986315
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Philadelphia,641,0.994753356,0.5714580859,0.4232952701,0.9960303157,0.5852976174,0.4107326983
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Philadelphia,642,0.994753356,0.5890321049,0.4057212511,0.9960303157,0.6007583355,0.3952719801
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Philadelphia,643,0.9951687831,0.5739214128,0.4212473703,0.9962628531,0.5863248199,0.4099380332
