model_id,family,description,heldout_city,city,event_id,n_tokens,total_value,spearman,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Austin,Austin,478,1200,55.56917233,0.7663805186,0.4009925645,0.3768422508,0,0.5990074355,0.7444748446,0.6539097259,0.2833333333,0.2555251554,0.8069357671,0.7272359873,0.4083333333,0.1930642329
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Austin,Austin,479,1200,48.13355655,0.7724572916,0.4083113367,0.3867398449,0,0.5916886633,0.7518038663,0.6632126533,0.2833333333,0.2481961337,0.8253603245,0.7434787145,0.4416666667,0.1746396755
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Austin,Austin,480,1200,63.25149798,0.7693932089,0.4457154763,0.4207900676,0.08333333333,0.5542845237,0.7627641746,0.6769762172,0.2833333333,0.2372358254,0.8193624102,0.7442052862,0.4416666667,0.1806375898
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Austin,Austin,481,1200,157.3737752,0.7804273988,0.3884588243,0.353067256,0,0.6115411757,0.7327400124,0.6369719417,0.2833333333,0.2672599876,0.8201543093,0.7293839314,0.4416666667,0.1798456907
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Austin,Austin,482,1200,39.06594003,0.7820564806,0.408434111,0.3767997285,0,0.591565889,0.7518409173,0.6583943416,0.2833333333,0.2481590827,0.8388028939,0.749749972,0.4583333333,0.1611971061
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Austin,Austin,483,1200,80.78335385,0.7662361864,0.4544051406,0.4372014468,0.08333333333,0.5455948594,0.7562970963,0.6797334802,0.2833333333,0.2437029037,0.8164935069,0.746575362,0.4333333333,0.1835064931
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Austin,Austin,484,1200,68.15282727,0.7879524345,0.4583625503,0.4243749237,0.08333333333,0.5416374497,0.7507741079,0.6678883508,0.2833333333,0.2492258921,0.8252015278,0.7466708884,0.4416666667,0.1747984722
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Austin,Austin,485,1207,71.22528468,0.7540209236,0.4546295273,0.4122950374,0.07692307692,0.5453704727,0.7449555825,0.6609089267,0.2786885246,0.2550444175,0.8208361247,0.7407262718,0.4297520661,0.1791638753
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Austin,Austin,486,1200,41.3002649,0.758268342,0.3818640834,0.3558450675,0,0.6181359166,0.7358646254,0.6399889071,0.2833333333,0.2641353746,0.8054328875,0.7196054948,0.4083333333,0.1945671125
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Austin,Austin,487,1200,33.35570323,0.7651921821,0.4085483085,0.376996217,0,0.5914516915,0.7346684862,0.6459085694,0.2833333333,0.2653315138,0.8083658261,0.7267013322,0.4166666667,0.1916341739
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Austin,Austin,488,1200,92.44450934,0.7731523663,0.4507608028,0.430435721,0.08333333333,0.5492391972,0.733241434,0.658983817,0.2833333333,0.266758566,0.8156947778,0.7410072734,0.425,0.1843052222
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Austin,Austin,489,1200,194.6619118,0.7601172236,0.3967872696,0.363108037,0,0.6032127304,0.7436494043,0.6471608919,0.2833333333,0.2563505957,0.8130658021,0.7266636355,0.425,0.1869341979
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Austin,Austin,490,1200,109.8799449,0.7863922048,0.4580676489,0.4237045133,0.08333333333,0.5419323511,0.7684177164,0.6817087256,0.2833333333,0.2315822836,0.8382178261,0.7582911097,0.4583333333,0.1617821739
