model_id,family,description,heldout_city,n_features,n_tokens,n_events,pearson,spearman,mae,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Austin,16,18007,15,0.8309861428,0.8749472388,0.05025652594,0.4231702575,0.3943102724,0.03846153846,0.5768297425,0.7485139639,0.6601714026,0.2830236794,0.2514860361,0.8204951192,0.7391228729,0.4347612489,0.1795048808
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Chicago,16,26081,13,0.6040909179,0.6950755958,0.02752500038,0.7313307185,0.7890965904,0.3806621997,0.2686692815,0.6284924559,0.6715976255,0.1195031889,0.3715075441,0.7060609715,0.7137875742,0.1993004703,0.2939390285
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Dallas,16,12000,10,0.8175394835,0.7686267537,0.009054542401,0.6590916375,0.655027384,0,0.3409083625,0.6519710634,0.6513746326,0,0.3480289366,0.6607589989,0.6577245272,0.0725,0.3392410011
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Houston,16,4800,4,0.8930085691,0.8610266326,0.007199429673,0.3934577508,0.3769712686,0,0.6065422492,0.6210327997,0.5556065133,0.1333333333,0.3789672003,0.7394984114,0.6595093112,0.2229166667,0.2605015886
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",New York,16,50454,24,0.6365513166,0.8212022648,0.02641429394,0.4858095918,0.476338088,0.006764069264,0.5141904082,0.5800985839,0.5540178641,0.1128546572,0.4199014161,0.7091932057,0.6599747194,0.2516291315,0.2908067943
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",Philadelphia,16,33719,20,0.610019503,0.8300321637,0.06020822239,0.5262217173,0.53419906,0.003571428571,0.4737782827,0.5590770142,0.5528505005,0.02090315934,0.4409229858,0.7250752188,0.6770187894,0.210757145,0.2749247812
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",San Antonio,16,25076,19,0.6483933306,0.8928572769,0.06312099944,0.5618977258,0.5357522375,0,0.4381022742,0.6967801432,0.6471943733,0.2599891121,0.3032198568,0.815240264,0.7476503881,0.4361107722,0.184759736
G1_local_dynamic_no_graph,no_graph,"local/passive deficit dynamics plus action mechanics, no OD graph",Austin,23,18007,15,0.8235005799,0.8687202094,0.03905502043,0.4692329931,0.4299752383,0.1106837607,0.5307670069,0.7506817725,0.6694437816,0.2841347905,0.2493182275,0.8130815276,0.7395437035,0.3886960514,0.1869184724
G1_local_dynamic_no_graph,no_graph,"local/passive deficit dynamics plus action mechanics, no OD graph",Chicago,23,26081,13,0.7039231631,0.8286824303,0.02291065071,0.6935168997,0.7433457705,0.3223751802,0.3064831003,0.609478696,0.6449234589,0.09576730937,0.390521304,0.7206185488,0.7147595506,0.2413273234,0.2793814512
G1_local_dynamic_no_graph,no_graph,"local/passive deficit dynamics plus action mechanics, no OD graph",Dallas,23,12000,10,0.8319776268,0.776173466,0.007276391869,0.6590916375,0.6552478684,0,0.3409083625,0.6528580421,0.6519147211,0,0.3471419579,0.6617364783,0.65843874,0.07333333333,0.3382635217
G1_local_dynamic_no_graph,no_graph,"local/passive deficit dynamics plus action mechanics, no OD graph",Houston,23,4800,4,0.8074063266,0.8625966709,0.01024740091,0.3934655268,0.3806396457,0,0.6065344732,0.5942309609,0.5372415232,0.1,0.4057690391,0.7051699907,0.6334469076,0.1729166667,0.2948300093
G1_local_dynamic_no_graph,no_graph,"local/passive deficit dynamics plus action mechanics, no OD graph",New York,23,50454,24,0.71557035,0.8667848833,0.02292411094,0.4753170318,0.4639362819,0.01471445221,0.5246829682,0.6359812208,0.593505636,0.1987685637,0.3640187792,0.7384926148,0.68526052,0.3012189083,0.2615073852
