model_id,family,description,n_features,n_cities,n_events,mean_city_spearman,mean_event_spearman,median_event_spearman,mean_event_top_1pct_value_capture,median_event_top_1pct_value_capture,mean_event_top_1pct_ndcg,median_event_top_1pct_ndcg,mean_event_top_1pct_precision,median_event_top_1pct_precision,mean_event_top_1pct_regret,median_event_top_1pct_regret,mean_event_top_5pct_value_capture,median_event_top_5pct_value_capture,mean_event_top_5pct_ndcg,median_event_top_5pct_ndcg,mean_event_top_5pct_precision,median_event_top_5pct_precision,mean_event_top_5pct_regret,median_event_top_5pct_regret,mean_event_top_10pct_value_capture,median_event_top_10pct_value_capture,mean_event_top_10pct_ndcg,median_event_top_10pct_ndcg,mean_event_top_10pct_precision,median_event_top_10pct_precision,mean_event_top_10pct_regret,median_event_top_10pct_regret
G0_action_time_only,no_graph,"action timing, feasibility, intervention type, and event context only",16,7,105,0.8205382752,0.7354568112,0.75786122,0.5417097326,0.5383408447,0.5383472048,0.5285943634,0.05485045625,0,0.4582902674,0.4616591553,0.6356636403,0.6331787894,0.6097108989,0.6459085694,0.1371295054,0.1149425287,0.3643363597,0.3668212106,0.7434619941,0.7347061343,0.6968237191,0.7049677897,0.2787556023,0.2543103448,0.2565380059,0.2652938657
G1_local_dynamic_no_graph,no_graph,"local/passive deficit dynamics plus action mechanics, no OD graph",23,7,105,0.8457558288,0.7285469851,0.7470566759,0.5313922556,0.5133495544,0.5254268303,0.5224613023,0.05976865883,0,0.4686077444,0.4866504456,0.6540183596,0.6507477242,0.6201588773,0.6517569309,0.1688266156,0.1553398058,0.3459816404,0.3492522758,0.7523237622,0.7560759896,0.7033674244,0.7124742562,0.2946622738,0.3004484305,0.2476762378,0.2439240104
G2_graph_only_observed,observed_graph,observed OD exposure and structural features plus action mechanics,23,7,105,0.9427132934,0.9653962425,0.9738108995,0.9565510047,0.9912246653,0.9407918301,0.993141295,0.8141491081,0.9166666667,0.04344899529,0.008775334742,0.982469033,0.9861245565,0.9709539559,0.9897004558,0.8618496656,0.8981481481,0.01753096695,0.01387544346,0.9837211756,0.9850070784,0.9757266011,0.9851753664,0.8526996691,0.8566176471,0.01627882445,0.0149929216
G3_graph_only_shuffled,shuffled_graph,shuffled OD exposure and structural features plus action mechanics,23,7,105,0.8427032025,0.6743264792,0.6760623494,0.6267511019,0.6534808657,0.6289877272,0.6509423699,0.05176133911,0,0.3732488981,0.3465191343,0.6425886727,0.6452910077,0.6395363276,0.6524756392,0.1318546867,0.1351351351,0.3574113273,0.3547089923,0.7107109701,0.7067739324,0.6906485692,0.6883171706,0.2439028592,0.225,0.2892890299,0.2932260676
G4_local_plus_observed_exposure,observed_graph,local dynamics plus observed OD exposure,26,7,105,0.9419893941,0.9397171038,0.9602573456,0.9389948023,0.979613036,0.9248487167,0.9853454156,0.7235311585,0.75,0.06100519768,0.020386964,0.9627486076,0.9776894636,0.9528693986,0.9717101018,0.7861268772,0.8534482759,0.03725139243,0.02231053636,0.966034962,0.9769891753,0.9586675857,0.9733924248,0.7769458126,0.8324873096,0.03396503797,0.02301082466
G5_local_plus_shuffled_exposure,shuffled_graph,local dynamics plus shuffled OD exposure,26,7,105,0.8419085556,0.6589604856,0.6525996039,0.5955671813,0.6256214663,0.5776128929,0.6059651935,0.07609151132,0,0.4044328187,0.3743785337,0.6399248318,0.6564326307,0.6196332017,0.6279287179,0.1444113373,0.1308411215,0.3600751682,0.3435673693,0.7026136117,0.6920759417,0.6725513695,0.6593763604,0.2366408185,0.2083333333,0.2973863883,0.3079240583
G6_local_plus_observed_od_graph,observed_graph,"local dynamics plus observed OD exposure, degree, and scarcity",30,7,105,0.941870007,0.939229673,0.95764014,0.9363491181,0.9877941,0.9210194054,0.9906792026,0.7172629877,0.75,0.06365088191,0.0122059,0.9624269436,0.9776703195,0.9515042799,0.9696029144,0.7874287634,0.8524590164,0.03757305642,0.02232968048,0.9653451765,0.9781296348,0.9573349194,0.9699948772,0.7745331448,0.8315789474,0.03465482347,0.02187036517
G7_local_plus_shuffled_od_graph,shuffled_graph,"local dynamics plus shuffled OD exposure, degree, and scarcity",30,7,105,0.8467213317,0.6684464741,0.6562429837,0.6222700189,0.6479986057,0.622536576,0.6485172815,0.05303164233,0,0.3777299811,0.3520013943,0.6371522835,0.6368482521,0.6330027181,0.6438421127,0.1310918052,0.1379310345,0.3628477165,0.3631517479,0.7113240331,0.7079540389,0.6887974481,0.6894734645,0.2439236071,0.225,0.2886759669,0.2920459611
G8_factorized_observed_od,observed_graph,low-dimensional activated law with observed OD exposure,7,7,105,0.6143286783,0.8832193923,0.9132157908,0.929273388,0.9571506357,0.932757093,0.9717899029,0.6356914462,0.75,0.07072661198,0.04284936434,0.9374546558,0.9575184368,0.9371917168,0.9634544686,0.697636322,0.746031746,0.06254534418,0.04248156318,0.9413333961,0.9610690704,0.9400875608,0.9650644334,0.6945124961,0.7323943662,0.05866660389,0.03893092956
G9_factorized_shuffled_od,shuffled_graph,low-dimensional activated law with shuffled OD exposure,7,7,105,0.4350850929,0.590939366,0.5837650786,0.6030643911,0.6140120399,0.5948964821,0.5753208487,0.122982311,0,0.3969356089,0.3859879601,0.7016563038,0.6731169768,0.6740723948,0.6666032803,0.2686703632,0.3,0.2983436962,0.3268830232,0.7786160047,0.7849801136,0.7397992509,0.7274354827,0.3777067001,0.3863636364,0.2213839953,0.2150198864
