city,policy,objective,baseline_objective,recoverable_fraction,total_intervention_cost,total_budget,total_cost_R,total_cost_C,total_cost_S,scenario
New York,damage_based,1.0406436205043716,1.0689127254573285,0.02644659781822889,56.709850870136194,56.70985087013619,22.00342213761284,22.729308228750583,11.977120503772765,base
New York,exposure_based,1.0328199849333273,1.0689127254573285,0.03376584417456452,56.70985087013618,56.70985087013619,10.207773156624514,18.147152278443578,28.35492543506809,base
New York,access_based,1.0258016126857852,1.0689127254573285,0.04033174247513849,56.70985087013619,56.70985087013619,17.60273771009027,15.152872152500391,23.954241007545527,base
Chicago,damage_based,2.4223692482298427,2.4832517590582293,0.024517252673356138,54.363643076170646,54.36364307617064,21.09309351355421,21.788948144929194,11.48160141768724,base
Chicago,exposure_based,2.4066283597025904,2.4832517590582293,0.03085607372516197,54.36364307617063,54.36364307617064,9.785455753710714,17.396365784374602,27.181821538085316,base
Chicago,access_based,2.3951460946312313,2.4832517590582293,0.035479956514925415,54.363643076170646,54.36364307617064,16.874474810843367,14.525965429952794,22.96320283537448,base
Houston,damage_based,0.5715060407226503,0.5881157392139789,0.028242227479794213,6.9818027017304,6.981802701730402,2.7089394482713955,2.7983065228535446,1.4745567306054608,base
Houston,exposure_based,0.5676970539474071,0.5881157392139789,0.034718821322247684,6.981802701730402,6.981802701730402,1.2567244863114722,2.2341768645537288,3.490901350865201,base
Houston,access_based,0.5655912450646488,0.5881157392139789,0.0382994241566027,6.981802701730402,6.981802701730402,2.1671515586171166,1.8655376819023637,2.949113461210922,base
Philadelphia,damage_based,0.7906522893852983,0.8104023430410675,0.024370676893228582,12.806466825010002,12.806466825010004,4.968909128103881,5.13283190346401,2.7047257934421127,base
Philadelphia,exposure_based,0.7875887465333926,0.8104023430410675,0.02815095082532204,12.806466825010002,12.806466825010004,2.3051640285018005,4.098069384003201,6.403233412505001,base
Philadelphia,access_based,0.7844098731394398,0.8104023430410675,0.0320735374531248,12.806466825010002,12.806466825010004,3.975127302483105,3.4218879356426726,5.4094515868842254,base
San Antonio,damage_based,0.6765706154222015,0.6942666962318205,0.025488880434083372,5.560102224236222,5.560102224236222,2.157319663003654,2.228488971473878,1.1742935897586904,base
San Antonio,exposure_based,0.6738607522633508,0.6942666962318205,0.029392082436366707,5.560102224236223,5.560102224236222,1.0008184003625202,1.7792327117555913,2.780051112118111,base
San Antonio,access_based,0.6714894549418937,0.6942666962318205,0.03280762481270061,5.560102224236223,5.560102224236222,1.7258557304029232,1.485659314315919,2.3485871795173803,base
Dallas,damage_based,0.637887937975898,0.6547738109284078,0.025788864292796254,6.4664023496647935,6.466402349664793,2.5089641116699397,2.5917340617456492,1.3657041762492044,base
Dallas,exposure_based,0.6349378864043778,0.6547738109284078,0.030294315675064243,6.466402349664793,6.466402349664793,1.1639524229396627,2.069248751892734,3.233201174832396,base
Dallas,access_based,0.633348892517603,0.6547738109284078,0.032721098573607166,6.4664023496647935,6.466402349664793,2.0071712893359517,1.7278227078304327,2.7314083524984087,base
Austin,damage_based,0.7586711183537476,0.7787108953182296,0.025734553201920307,4.3134853457226,4.3134853457226,1.6736323141403688,1.728844926565618,0.9110081050166132,base
Austin,exposure_based,0.7554026545254444,0.7787108953182296,0.02993182827275065,4.3134853457226,4.3134853457226,0.7764273622300681,1.3803153106312318,2.1567426728613,base
Austin,access_based,0.7527888632533057,0.7787108953182296,0.03328839010828333,4.3134853457226,4.3134853457226,1.338905851312295,1.152563284377079,1.822016210033226,base
