city,event_id,event_start,policy_scenario,budget_scale,delay_add_hours,policy_score,allocated_cost,value_proxy,selected_segment_count,selected_action_count,baseline_objective,recoverable_fraction,event_peak_positive_abnormal_deficit,event_total_precip,oracle_value_proxy,relative_to_greedy_oracle,value_proxy_vs_lp_recoverable_fraction
Austin,478,2024-07-06 17:00:00,base,1,0,greedy_oracle,1.459143153,0.1126878882,407,386,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.1126878882,1,1.045406433
Austin,478,2024-07-06 17:00:00,base,1,0,activated_bottleneck_law,1.459143153,0.1126878882,407,386,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.1126878882,1,1.045406433
Austin,478,2024-07-06 17:00:00,base,1,0,exposure_only,1.459143153,0.08643344868,190,190,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.1126878882,0.7670163145,0.8018437893
Austin,478,2024-07-06 17:00:00,base,1,0,deficit_only,1.459143153,0.08241805377,194,194,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.1126878882,0.7313834264,0.7645929388
Austin,478,2024-07-06 17:00:00,base,1,0,structure_only,1.459143153,0.04664504609,159,159,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.1126878882,0.4139313182,0.4327264627
Austin,478,2024-07-06 17:00:00,base,1,0,random_positive,1.459143153,0.02108025677,267,262,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.1126878882,0.1870676353,0.1955617093
Austin,478,2024-07-06 17:00:00,low_budget,0.5,0,greedy_oracle,0.7295715764,0.06518556162,191,182,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.06518556162,1,0.6047269724
Austin,478,2024-07-06 17:00:00,low_budget,0.5,0,activated_bottleneck_law,0.7295715764,0.06518556162,191,182,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.06518556162,1,0.6047269724
Austin,478,2024-07-06 17:00:00,low_budget,0.5,0,exposure_only,0.7295715764,0.0496111916,94,94,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.06518556162,0.7610763851,0.4602434181
Austin,478,2024-07-06 17:00:00,low_budget,0.5,0,deficit_only,0.7295715764,0.04733154916,93,93,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.06518556162,0.7261047996,0.4390951571
Austin,478,2024-07-06 17:00:00,low_budget,0.5,0,structure_only,0.7295715764,0.02481717857,79,79,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.06518556162,0.3807158817,0.2302291625
Austin,478,2024-07-06 17:00:00,low_budget,0.5,0,random_positive,0.7295715764,0.0114315481,127,126,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.06518556162,0.1753693274,0.1060505624
Austin,478,2024-07-06 17:00:00,high_budget,2,0,greedy_oracle,2.918286305,0.1913241655,763,667,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.1913241655,1,1.774915801
Austin,478,2024-07-06 17:00:00,high_budget,2,0,activated_bottleneck_law,2.918286305,0.1913241655,763,667,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.1913241655,1,1.774915801
