policy_scenario,budget_scale,delay_add_hours,policy_score,n_events,mean_value_proxy,median_value_proxy,mean_relative_to_greedy_oracle,median_relative_to_greedy_oracle,mean_allocated_cost,mean_selected_action_count,mean_value_vs_lp_recoverable_fraction
base,1,0,activated_bottleneck_law,105,0.1493707672,0.1412375366,1,1,6.145624009,636.5047619,1.089282203
base,1,0,greedy_oracle,105,0.1493707672,0.1412375366,1,1,6.145624009,636.5047619,1.089282203
base,1,0,exposure_only,105,0.118253302,0.1128505256,0.7932372356,0.7816081814,6.145624009,594.2952381,0.8631996109
base,1,0,deficit_only,105,0.1133962706,0.1088229938,0.7618950285,0.7672894011,6.145624009,593.1714286,0.8287800833
base,1,0,structure_only,105,0.0537643117,0.05109329519,0.3699826423,0.3720143341,6.145624009,535.952381,0.4007471909
base,1,0,random_positive,105,0.022167599,0.02186089839,0.1532484174,0.154119091,6.145624009,755.952381,0.16565836
delay_2h,1,2,activated_bottleneck_law,105,0.1362919251,0.1297959803,1,1,6.145624009,737.2952381,0.9874530589
delay_2h,1,2,greedy_oracle,105,0.1362919251,0.1297959803,1,1,6.145624009,737.2952381,0.9874530589
delay_2h,1,2,exposure_only,105,0.1067512148,0.09994358659,0.7873232414,0.7931906325,6.145624009,608.9238095,0.775281727
delay_2h,1,2,deficit_only,105,0.1022090082,0.09569527773,0.7552700109,0.7611102816,6.145624009,606.9714286,0.7432310905
delay_2h,1,2,structure_only,105,0.05031326712,0.0480325666,0.3825108229,0.3808167826,6.145624009,545.6571429,0.3739937849
delay_2h,1,2,random_positive,105,0.0207389477,0.02054060719,0.158073294,0.1584884481,6.145624009,761.6857143,0.1543359167
delay_4h,1,4,activated_bottleneck_law,105,0.120953563,0.1149268647,1,1,6.145624009,850.9904762,0.8717022057
delay_4h,1,4,greedy_oracle,105,0.120953563,0.1149268647,1,1,6.145624009,850.9904762,0.8717022057
delay_4h,1,4,exposure_only,105,0.09288434581,0.08814532242,0.7741406274,0.7731860637,6.145624009,630.8761905,0.6716052945
delay_4h,1,4,deficit_only,105,0.08844034469,0.08427127536,0.7388425603,0.7382531674,6.145624009,628.2666667,0.6402937401
delay_4h,1,4,structure_only,105,0.04436157044,0.04171891765,0.3825070674,0.3848103657,6.145624009,556.1714286,0.3285665358
delay_4h,1,4,random_positive,105,0.01930729562,0.01906517361,0.1659936702,0.1683112127,6.145624009,770.7047619,0.1428185552
high_budget,2,0,activated_bottleneck_law,105,0.253710797,0.2435719578,1,1,12.29124802,1334.838095,1.851399126
high_budget,2,0,greedy_oracle,105,0.253710797,0.2435719578,1,1,12.29124802,1334.838095,1.851399126
high_budget,2,0,exposure_only,105,0.2034206934,0.1915435912,0.8038211062,0.803000565,12.29124802,1240.72381,1.486312215
high_budget,2,0,deficit_only,105,0.1955478553,0.1850782393,0.7739379236,0.7690206622,12.29124802,1237.961905,1.430644811
high_budget,2,0,structure_only,105,0.09984810706,0.09629089155,0.4059738061,0.4247335313,12.29124802,1073.914286,0.7471549162
high_budget,2,0,random_positive,105,0.04435239838,0.04531989761,0.1803683148,0.1862517424,12.29124802,1497.457143,0.3314939332
low_budget,0.5,0,activated_bottleneck_law,105,0.0861661533,0.08187599703,1,1,3.072812005,304.8095238,0.6276182103
low_budget,0.5,0,greedy_oracle,105,0.0861661533,0.08187599703,1,1,3.072812005,304.8095238,0.6276182103
low_budget,0.5,0,exposure_only,105,0.06692245826,0.06430191885,0.7782264609,0.7666500064,3.072812005,285.4571429,0.4880797193
low_budget,0.5,0,deficit_only,105,0.06428513301,0.06177131242,0.7484481622,0.742763803,3.072812005,284.8,0.4693486281
low_budget,0.5,0,structure_only,105,0.02948816273,0.02737003759,0.3527768015,0.3398526451,3.072812005,262.2857143,0.2198818887
low_budget,0.5,0,random_positive,105,0.0111317509,0.01088115844,0.1334572467,0.1321946355,3.072812005,381.6380952,0.08307770818
scarce_and_late,0.5,2,activated_bottleneck_law,105,0.07915205271,0.07593850859,1,1,3.072812005,348.8380952,0.5727616512
scarce_and_late,0.5,2,greedy_oracle,105,0.07915205271,0.07593850859,1,1,3.072812005,348.8380952,0.5727616512
scarce_and_late,0.5,2,exposure_only,105,0.06089181769,0.05820466379,0.7738926362,0.7702466847,3.072812005,293.3809524,0.4420418303
scarce_and_late,0.5,2,deficit_only,105,0.05800445287,0.05536295586,0.7386679085,0.740201907,3.072812005,291.4,0.4215596246
scarce_and_late,0.5,2,structure_only,105,0.02735663073,0.02573295724,0.3575206091,0.344990617,3.072812005,267.9619048,0.2028039774
scarce_and_late,0.5,2,random_positive,105,0.01045453814,0.01005240459,0.13720319,0.1359601565,3.072812005,384.247619,0.07765708918
