city,event_id,event_start,baseline_objective,recoverable_fraction,top_1pct_value_share,top_5pct_value_share,top_10pct_value_share,marginal_value_gini,optimizer_selected_value_share,loss_magnitude_rank,recoverable_rank,top_tail_rank,decision_criticality_score,decision_criticality_rank,event_peak_positive_abnormal_deficit,event_total_precip
Philadelphia,640,2023-07-04 01:00:00,0.009872386696,0.1650111764,0.1132815115,0.3420500213,0.5172915051,0.7180260221,0.1588530476,0.0380952381,0.8571428571,1,0.04052687961,1,0.002905801377,0.005905515
San Antonio,506,2024-07-27 11:00:00,0.006043985503,0.1548050783,0.1058488549,0.3295543182,0.5029796706,0.707583482,0.1163116419,0.02857142857,0.8285714286,0.9761904762,0.03609856152,0.9904761905,0.002520241673,0.01443570333
San Antonio,499,2024-07-22 20:00:00,0.02160154324,0.1417816949,0.1058488549,0.3295543182,0.5029796706,0.707583482,0.1710308267,0.1047619048,0.6380952381,0.9904761905,0.03306167531,0.980952381,0.006082525209,0.1902888167
San Antonio,495,2024-07-13 13:00:00,0.03348498918,0.1345568653,0.1058488549,0.3295543182,0.5029796706,0.707583482,0.2084672635,0.1904761905,0.5523809524,0.9761904762,0.03137693758,0.9714285714,0.009428645376,0.1443570333
Philadelphia,657,2023-07-28 22:00:00,0.05620795867,0.1357204427,0.1038941494,0.321249147,0.4934097717,0.70282357,0.2793466626,0.2761904762,0.5714285714,0.9333333333,0.03064316138,0.9619047619,0.01507816758,0.261811165
Philadelphia,647,2023-07-14 08:00:00,0.01199311988,0.1843734931,0.07683712399,0.257623344,0.4119283765,0.6359926052,0.1083593661,0.04761904762,0.9428571429,0.619047619,0.03020895922,0.9523809524,0.001727634009,0.005905515
Philadelphia,641,2023-07-07 11:00:00,0.004974469552,0.1859515315,0.07244552038,0.2504258507,0.4047470708,0.6331033507,0.1156802367,0.01904761905,0.9523809524,0.5714285714,0.02948176834,0.9428571429,0.001487792359,0.009842525
Philadelphia,652,2023-07-19 06:00:00,0.08686271948,0.1410089263,0.09266365531,0.2992257512,0.4683312418,0.6862043954,0.2535369869,0.4666666667,0.619047619,0.8761904762,0.02895336646,0.9333333333,0.01343162498,0.05118113
San Antonio,504,2024-07-24 11:00:00,0.06417011406,0.1283785378,0.1000998058,0.3211844589,0.4945589232,0.7019223311,0.2491505303,0.3333333333,0.419047619,0.9238095238,0.02894249768,0.9238095238,0.01448938751,0.1482940433
San Antonio,502,2024-07-23 11:00:00,0.1743211916,0.124190477,0.105350047,0.3282557742,0.5016165896,0.7068164617,0.2802648953,0.7142857143,0.3238095238,0.9523809524,0.02881425035,0.9142857143,0.03970233648,0.4435697933
New York,98,2019-06-02 18:00:00,0.01550511148,0.2564749584,0.06699127899,0.21453295,0.3380813146,0.5232909426,0.1218173834,0.05714285714,0.9904761905,0.3047619048,0.02879268663,0.9047619048,0.01284042645,0.12598432
San Antonio,492,2024-07-09 16:00:00,0.09517465171,0.1233021434,0.1057914388,0.3293668919,0.5027867001,0.7074827796,0.2834467175,0.5238095238,0.3047619048,0.9619047619,0.02873203859,0.8952380952,0.02679911393,0.1666667567
San Antonio,491,2024-07-06 20:00:00,0.05846105751,0.1250674491,0.1043645651,0.3254766098,0.4975705507,0.703081758,0.2666944997,0.2952380952,0.3428571429,0.9428571429,0.02862001821,0.8857142857,0.01636790638,0.6548559967
Chicago,149,2019-07-13 20:00:00,0.01615556916,0.1539929777,0.09167182723,0.281273559,0.4339127956,0.6417906899,0.09986617459,0.06666666667,0.8095238095,0.780952381,0.02779862007,0.8761904762,0.0027008348,0.14173236
Philadelphia,656,2023-07-25 15:00:00,0.1611150664,0.1410576712,0.09554560062,0.2962645943,0.4577173697,0.6650304866,0.2610135563,0.6761904762,0.6285714286,0.8571428571,0.02779188587,0.8666666667,0.02881938331,0.50000027
Philadelphia,645,2023-07-09 18:00:00,0.09158145415,0.1343933078,0.1013592382,0.3085122167,0.4712265836,0.6678932346,0.306096811,0.4952380952,0.5428571429,0.9047619048,0.02769217413,0.8571428571,0.02620668832,0.592520005
Chicago,147,2019-07-03 02:00:00,0.03897364079,0.1321963032,0.1046640002,0.3095838532,0.4680991891,0.6705112811,0.1564528896,0.219047619,0.4761904762,0.9142857143,0.02744123802,0.8476190476,0.0006227181642,0.03149608
Philadelphia,649,2023-07-16 10:00:00,0.07318801366,0.1442909584,0.08640281311,0.2831623975,0.4478898812,0.6708090144,0.2340469704,0.4,0.6857142857,0.7904761905,0.02740776292,0.8380952381,0.01069273532,0.61811057
