policy_scenario,budget_scale,delay_add_hours,policy_score,n_events,mean_replay_recoverable_fraction,median_replay_recoverable_fraction,mean_fraction_of_base_lp_gain,median_fraction_of_base_lp_gain,mean_relative_to_greedy_replay_gain,median_relative_to_greedy_replay_gain,mean_gap_to_base_lp_recoverable,mean_allocated_cost,mean_selected_action_count
base,1,0,lp_optimizer_replay,105,0.1347349574,0.133067066,0.9999999526,1,1.275440046,1.139784797,6.741920669e-09,6.145624009,971.6571429
base,1,0,activated_bottleneck_law,105,0.1073090964,0.1077041274,0.8228030683,0.8773586058,1,1,0.02742586776,6.145624009,636.5047619
base,1,0,greedy_oracle,105,0.1073090964,0.1077041274,0.8228030683,0.8773586058,1,1,0.02742586776,6.145624009,636.5047619
base,1,0,exposure_only,105,0.07178848734,0.07012393618,0.5591309583,0.5475830074,0.6682891557,0.6705080653,0.06294647683,6.145624009,594.2952381
base,1,0,deficit_only,105,0.06753550906,0.06546577907,0.5284040528,0.5163610352,0.6289161857,0.6336727283,0.06719945511,6.145624009,593.1714286
base,1,0,structure_only,105,0.03026922105,0.02977645423,0.2436431065,0.2311177188,0.2852446872,0.2656987258,0.1044657431,6.145624009,535.952381
base,1,0,random_positive,105,0.02026176457,0.02076588473,0.1541935938,0.1565112709,0.1894918716,0.187142345,0.1144731996,6.145624009,755.952381
delay_2h,1,2,activated_bottleneck_law,105,0.09958788711,0.1021798264,0.7560498873,0.8067886069,1,1,0.03514707706,6.145624009,737.2952381
delay_2h,1,2,greedy_oracle,105,0.09958788711,0.1021798264,0.7560498873,0.8067886069,1,1,0.03514707706,6.145624009,737.2952381
delay_2h,1,2,exposure_only,105,0.06569130434,0.06240249625,0.5060693875,0.5007403257,0.6552049285,0.6760944182,0.06904365982,6.145624009,608.9238095
delay_2h,1,2,deficit_only,105,0.06158745152,0.05821595245,0.4767228788,0.4710075539,0.614792873,0.6234441601,0.07314751264,6.145624009,606.9714286
delay_2h,1,2,structure_only,105,0.02859186515,0.02893598746,0.2282517888,0.2115475551,0.2910246317,0.2643110002,0.106143099,6.145624009,545.6571429
delay_2h,1,2,random_positive,105,0.01903022967,0.01909379205,0.1438339201,0.1472010175,0.1920752537,0.1971868379,0.1157047345,6.145624009,761.6857143
delay_4h,1,4,activated_bottleneck_law,105,0.09072369763,0.09223424531,0.6804386034,0.6974922198,1,1,0.04401126654,6.145624009,850.9904762
