target,feature,spearman
decision_criticality_score,marginal_value_gini,0.8412274392
decision_criticality_score,top_1pct_value_share,0.7759060748
decision_criticality_score,top_5pct_value_share,0.7650261685
decision_criticality_score,top_10pct_value_share,0.7650261685
decision_criticality_score,optimizer_selected_value_share,0.01856997718
decision_criticality_score,event_total_precip,-0.1241569721
decision_criticality_score,event_peak_positive_abnormal_deficit,-0.4333387778
decision_criticality_score,baseline_objective,-0.4584698321
recoverable_fraction,marginal_value_gini,0.3709230492
recoverable_fraction,optimizer_selected_value_share,0.2999813399
recoverable_fraction,top_1pct_value_share,0.2735174909
recoverable_fraction,top_5pct_value_share,0.2372825813
recoverable_fraction,top_10pct_value_share,0.2372825813
recoverable_fraction,event_total_precip,-0.1508231578
recoverable_fraction,event_peak_positive_abnormal_deficit,-0.5294951664
recoverable_fraction,baseline_objective,-0.6152498445
