split_role,split_id,heldout,train_event_keys,test_event_keys,n_train_events,n_test_events,n_train_cities,n_test_cities,n_train_tokens,n_test_tokens,full_event_eval,token_random_seed,token_test_share
leave_city,leave_austin,Austin,Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;Houston||52;Houston||60;Houston||61;Houston||62;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492,90,15,6,1,152130,18007,True,,
leave_city,leave_chicago,Chicago,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;Houston||52;Houston||60;Houston||61;Houston||62;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159,92,13,6,1,144056,26081,True,,
leave_city,leave_dallas,Dallas,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Houston||52;Houston||60;Houston||61;Houston||62;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,Dallas||55;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64,95,10,6,1,158137,12000,True,,
leave_city,leave_houston,Houston,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,Houston||52;Houston||60;Houston||61;Houston||62,101,4,6,1,165337,4800,True,,
leave_city,leave_new_york,New York,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;Houston||52;Houston||60;Houston||61;Houston||62;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;New York||98;New York||99,81,24,6,1,119683,50454,True,,
leave_city,leave_philadelphia,Philadelphia,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;Houston||52;Houston||60;Houston||61;Houston||62;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;New York||98;New York||99;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659,85,20,6,1,136418,33719,True,,
leave_city,leave_san_antonio,San Antonio,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;Houston||52;Houston||60;Houston||61;Houston||62;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659,San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,86,19,6,1,145061,25076,True,,
random_event,fold_0,random_event_fold_0,Austin||480;Austin||482;Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||145;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Chicago||155;Chicago||156;Chicago||158;Chicago||159;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Dallas||60;Dallas||61;Dallas||62;Dallas||64;Houston||52;Houston||60;Houston||62;New York||100;New York||101;New York||102;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||112;New York||113;New York||115;New York||117;New York||119;New York||121;New York||122;New York||123;New York||98;New York||99;Philadelphia||640;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||656;Philadelphia||658;Philadelphia||659;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||506;San Antonio||507,Austin||478;Austin||479;Austin||481;Chicago||146;Chicago||154;Chicago||157;Dallas||55;Dallas||63;Houston||61;New York||103;New York||110;New York||111;New York||116;New York||120;Philadelphia||641;Philadelphia||647;Philadelphia||655;Philadelphia||657;San Antonio||496;San Antonio||505;San Antonio||508;San Antonio||509,83,22,7,7,137700,32437,True,,
random_event,fold_1,random_event_fold_1,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||485;Austin||486;Austin||488;Austin||489;Austin||490;Austin||492;Chicago||146;Chicago||147;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Chicago||157;Chicago||158;Chicago||159;Dallas||55;Dallas||56;Dallas||57;Dallas||59;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Houston||60;Houston||61;Houston||62;New York||101;New York||102;New York||103;New York||104;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||120;New York||122;New York||123;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;San Antonio||491;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,Austin||484;Austin||487;Austin||491;Chicago||145;Chicago||149;Chicago||156;Dallas||58;Dallas||64;Houston||52;New York||100;New York||105;New York||106;New York||119;New York||121;Philadelphia||648;Philadelphia||652;Philadelphia||653;Philadelphia||659;San Antonio||492;San Antonio||493;San Antonio||499;San Antonio||504,83,22,7,7,132554,37583,True,,
random_event,fold_2,random_event_fold_2,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||484;Austin||485;Austin||486;Austin||487;Austin||489;Austin||491;Austin||492;Chicago||145;Chicago||146;Chicago||149;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Chicago||156;Chicago||157;Chicago||159;Dallas||55;Dallas||57;Dallas||58;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;Houston||52;Houston||61;Houston||62;New York||100;New York||101;New York||103;New York||105;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||113;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;Philadelphia||641;Philadelphia||643;Philadelphia||644;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||499;San Antonio||500;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,Austin||483;Austin||488;Austin||490;Chicago||147;Chicago||150;Chicago||158;Dallas||56;Dallas||59;Houston||60;New York||102;New York||104;New York||112;New York||98;New York||99;Philadelphia||640;Philadelphia||642;Philadelphia||645;Philadelphia||650;San Antonio||491;San Antonio||497;San Antonio||498;San Antonio||501,83,22,7,7,134836,35301,True,,
