split_role,split_id,heldout,model_id,family,feature_set,description,n_features,n_train_tokens,n_test_tokens,n_train_events,n_test_events,full_event_eval,train_loss,n_tokens,n_events,pearson,spearman,mae,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret
leave_city,leave_austin,Austin,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,152130,18007,90,15,True,,18007,15,0.5118985511,0.7231495986,0.05129678047,0.9596167716,0.9634528048,0.8157741348,0.04038322839
leave_city,leave_chicago,Chicago,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,144056,26081,92,13,True,,26081,13,0.4145956633,0.4183748979,0.03389305563,0.9714301274,0.9764912175,0.8182275985,0.02856987257
leave_city,leave_dallas,Dallas,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,158137,12000,95,10,True,,12000,10,0.5697949568,0.7484393135,0.03462068914,0.8292498315,0.7825687089,0.1666666667,0.1707501685
leave_city,leave_houston,Houston,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,165337,4800,101,4,True,,4800,4,0.5152664282,0.7239632957,0.02621809463,0.9497992813,0.9605456983,0.8,0.05020071873
leave_city,leave_new_york,New York,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,119683,50454,81,24,True,,50454,24,0.2587954941,0.37563509,0.01559773722,0.9093976681,0.9113010676,0.6565494171,0.09060233185
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,33719,20,0.3542310966,0.5970497399,0.0757860334,0.9653020332,0.9693936739,0.7900779874,0.03469796684
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,25076,19,0.3041163609,0.7136888125,0.06054541309,0.957190289,0.9648412308,0.7343595045,0.04280971097
random_event,fold_0,random_event_fold_0,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,137700,32437,83,22,True,,32437,22,0.2269138614,0.6547921806,0.04806194573,0.9247340673,0.9215339534,0.6745886433,0.07526593274
random_event,fold_1,random_event_fold_1,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,132554,37583,83,22,True,,37583,22,0.6160777283,0.7430536831,0.02823347351,0.9230607214,0.9217802195,0.6706275443,0.07693927857
random_event,fold_2,random_event_fold_2,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,134836,35301,83,22,True,,35301,22,0.2267430234,0.6063949162,0.04676256255,0.9249481247,0.9218206179,0.6774154123,0.07505187535
random_event,fold_3,random_event_fold_3,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,134129,36008,84,21,True,,36008,21,0.2892034991,0.6217842995,0.04816035237,0.9385162579,0.933943464,0.7172141774,0.06148374208
random_event,fold_4,random_event_fold_4,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,141329,28808,87,18,True,,28808,18,0.5801283152,0.6698224878,0.02707372567,0.9123201008,0.9082719123,0.6278723043,0.08767989918
leave_city,leave_austin,Austin,R2_full_ridge,ridge,full_additive,ridge on full additive action features,30,152130,18007,90,15,True,,18007,15,0.8987099464,0.9442061028,0.03579237022,0.9574277515,0.9611777472,0.7613479053,0.04257224854
leave_city,leave_chicago,Chicago,R2_full_ridge,ridge,full_additive,ridge on full additive action features,30,144056,26081,92,13,True,,26081,13,0.8974401215,0.9568886452,0.01394154831,0.9666523899,0.9589747358,0.82082947,0.03334761014
leave_city,leave_dallas,Dallas,R2_full_ridge,ridge,full_additive,ridge on full additive action features,30,158137,12000,95,10,True,,12000,10,0.9498221698,0.9463439289,0.007688723624,0.919817513,0.8700164385,0.5333333333,0.08018248704
leave_city,leave_houston,Houston,R2_full_ridge,ridge,full_additive,ridge on full additive action features,30,165337,4800,101,4,True,,4800,4,0.9546878109,0.978251818,0.01041024759,0.9777751026,0.9828764209,0.8875,0.02222489737
leave_city,leave_new_york,New York,R2_full_ridge,ridge,full_additive,ridge on full additive action features,30,119683,50454,81,24,True,,50454,24,0.8979087991,0.9487625288,0.01672635957,0.9793023721,0.9477620172,0.8658923574,0.02069762791
leave_city,leave_philadelphia,Philadelphia,R2_full_ridge,ridge,full_additive,ridge on full additive action features,30,136418,33719,85,20,True,,33719,20,0.6985661945,0.8838677508,0.05591311083,0.9800898907,0.9807623023,0.8726690537,0.01991010926
leave_city,leave_san_antonio,San Antonio,R2_full_ridge,ridge,full_additive,ridge on full additive action features,30,145061,25076,86,19,True,,25076,19,0.7384883488,0.9347692744,0.04191466538,0.9427684974,0.948968794,0.7089940779,0.05723150257
random_event,fold_0,random_event_fold_0,R2_full_ridge,ridge,full_additive,ridge on full additive action features,30,137700,32437,83,22,True,,32437,22,0.5755221235,0.9419549767,0.03139670232,0.9702409642,0.9686365856,0.8121165896,0.02975903577
random_event,fold_1,random_event_fold_1,R2_full_ridge,ridge,full_additive,ridge on full additive action features,30,132554,37583,83,22,True,,37583,22,0.9229140938,0.9492150663,0.01403616339,0.9496139723,0.9450005684,0.749303896,0.05038602771
random_event,fold_2,random_event_fold_2,R2_full_ridge,ridge,full_additive,ridge on full additive action features,30,134836,35301,83,22,True,,35301,22,0.6434577057,0.9439143291,0.03012378075,0.9574923234,0.9468953596,0.780548106,0.04250767664
