screen_mode,screen_mode_label,strategy,strategy_label,requested_screen_fraction,active_unit_count_mean,active_unit_count_min,active_unit_fraction_mean,active_unit_fraction_min,active_action_token_fraction_mean,active_action_token_fraction_min,restricted_total_variable_fraction_mean,restricted_total_variable_fraction_min,restricted_variable_reduction_mean,restricted_variable_reduction_min,restricted_constraint_fraction_mean,restricted_constraint_fraction_min,small_signal_value_capture_mean,small_signal_value_capture_min,finite_value_capture_mean,finite_value_capture_min,footprint_mass_capture_mean,footprint_mass_capture_min,origin_exposure_capture_mean,origin_exposure_capture_min,destination_importance_capture_mean,destination_importance_capture_min,local_need_capture_mean,local_need_capture_min,positive_footprint_unit_share_mean,positive_footprint_unit_share_min,positive_value_unit_share_mean,positive_value_unit_share_min,top5_small_units_share_mean,top5_small_units_share_min,top5_finite_units_share_mean,top5_finite_units_share_min,top5_footprint_units_share_mean,top5_footprint_units_share_min
token_columns,active action columns,finite_value_only,finite value only,0.01,119.8,84,0.06175257731958763,0.04329896907216495,0.009178121420389462,0.009178121420389462,0.2720492320639596,0.2720492320639596,0.7279507679360404,0.7279507679360404,0.2358718122303634,0.23587181223036338,0.03645952074751553,0.03049634153639623,0.10969773769914744,0.09665118366377683,0.45378726226065086,0.3433633111005039,0.13503456888400947,0.1006586205653068,0.16709672233411027,0.12702994177964363,0.07466248279231216,0.04747272658951799,0.07911083358263706,0.05628002745367193,0.06175257731958763,0.04329896907216495,0.5814432989690721,0.44329896907216493,0.8969072164948454,0.7628865979381443,0.4185567010309278,0.30927835051546393
token_columns,active action columns,finite_value_only,finite value only,0.025,279.8,193,0.14422680412371133,0.09948453608247422,0.022923825887743412,0.022923825887743412,0.28214811697875025,0.28214811697875025,0.7178518830212497,0.7178518830212497,0.24632604501490998,0.24632604501490998,0.08049787576111803,0.07052114704650939,0.1963243143300678,0.17631386298996513,0.5986448521646792,0.5297110333564004,0.27958750116695025,0.21348538105945908,0.3258868692118681,0.24562141711699567,0.157406592296582,0.10490858989191996,0.17717056650668236,0.12422786547700755,0.14422680412371133,0.09948453608247422,0.9175257731958762,0.7731958762886598,0.9979381443298969,0.9896907216494846,0.5525773195876289,0.422680412371134
token_columns,active action columns,finite_value_only,finite value only,0.05,510.6,366,0.2631958762886598,0.18865979381443299,0.04583333333333333,0.04583333333333333,0.29897959183673467,0.29897959183673467,0.7010204081632654,0.7010204081632654,0.26374976632248764,0.26374976632248764,0.13982948907679776,0.12368003778385092,0.29963836142555594,0.2738935689651558,0.7003232590233275,0.6323145088432013,0.441356201945789,0.35035400590117705,0.47949870441350306,0.3836841076862709,0.2754489666763901,0.19374443961357024,0.31024924145600513,0.22649279341111875,0.2631958762886598,0.18865979381443299,0.9876288659793815,0.9381443298969072,1.0,1.0,0.7319587628865979,0.6185567010309279
token_columns,active action columns,finite_value_only,finite value only,0.1,944.2,710,0.4867010309278351,0.36597938144329895,0.09166666666666666,0.09166666666666666,0.3326530612244898,0.3326530612244898,0.6673469387755102,0.6673469387755102,0.2986080987634603,0.2986080987634603,0.23440508436171817,0.21069374820140205,0.44591792495799554,0.41477087622920034,0.8222479284034805,0.7537085848019318,0.6778428273215404,0.5597895251145728,0.6975799620990661,0.5867377054868135,0.49607572212003426,0.3700128030130399,0.5432957945669947,0.42072752230610844,0.4867010309278351,0.36597938144329895,1.0,1.0,1.0,1.0,0.8701030927835053,0.7835051546391752
token_columns,active action columns,finite_value_only,finite value only,0.15,1275.2,1019,0.657319587628866,0.5252577319587629,0.1375,0.1375,0.3663265306122449,0.3663265306122449,0.633673469387755,0.633673469387755,0.33346643120443287,0.33346643120443287,0.3149254664825969,0.28503495015251157,0.5540625939440673,0.5209879180417828,0.8879498036388555,0.8407778607410308,0.8219601733206909,0.7170830515847989,0.8236982306462558,0.7291739216910188,0.6634702244369287,0.5287553668258085,0.6968182929027437,0.5806451612903226,0.657319587628866,0.5252577319587629,1.0,1.0,1.0,1.0,0.9216494845360824,0.8865979381443299
token_columns,active action columns,finite_value_only,finite value only,0.2,1510.0,1279,0.7783505154639175,0.6592783505154639,0.18333333333333332,0.18333333333333332,0.4,0.4,0.6,0.6,0.3683247636454055,0.3683247636454055,0.3874372657327884,0.3516970818403383,0.6394281294845529,0.6071295632081916,0.926110256380292,0.8905398237489909,0.9052202522549966,0.8268515094659865,0.8999267398064326,0.8232113894940698,0.7823823960561843,0.661854187713556,0.8021444542096352,0.6986959505833905,0.7783505154639175,0.6592783505154639,1.0,1.0,1.0,1.0,0.9422680412371134,0.9278350515463918
token_columns,active action columns,finite_value_only,finite value only,0.3,1771.8,1642,0.9132989690721649,0.8463917525773196,0.275,0.275,0.46734693877551015,0.4673469387755102,0.5326530612244897,0.5326530612244897,0.43804142852735073,0.43804142852735073,0.517909833455263,0.4765772331127377,0.7649070896751509,0.7375159201409662,0.9668600761507598,0.9456003472059481,0.9758112786844064,0.9463630440040324,0.9697181305973572,0.9375701175944762,0.9148471626167811,0.8475530226000598,0.921601792918229,0.8620452985586822,0.9132989690721649,0.8463917525773196,1.0,1.0,1.0,1.0,0.9731958762886597,0.9587628865979382
token_columns,active action columns,finite_value_only,finite value only,0.4,1872.2,1812,0.9650515463917525,0.934020618556701,0.36666666666666664,0.36666666666666664,0.5346938775510204,0.5346938775510204,0.4653061224489797,0.4653061224489796,0.5077580934092959,0.5077580934092959,0.6331900785503313,0.5931335344098274,0.8493741992354907,0.8287478942204599,0.9849855368583184,0.9745397962625151,0.9941388505082424,0.9853356215202839,0.991118983983761,0.9781680405636732,0.9656679588247299,0.9345194191033814,0.9670467035631051,0.938229238160604,0.9650515463917525,0.934020618556701,1.0,1.0,1.0,1.0,0.9855670103092784,0.979381443298969
token_columns,active action columns,finite_value_only,finite value only,0.5,1907.0,1886,0.9829896907216495,0.9721649484536082,0.4583333333333333,0.4583333333333333,0.6020408163265306,0.6020408163265306,0.3979591836734694,0.3979591836734694,0.5774747582912412,0.5774747582912412,0.7337928132279372,0.698835544331037,0.906636558367562,0.8918646059311819,0.991071974936822,0.9876915694909191,0.9984451446882755,0.9962829722934483,0.997142574740933,0.9940482779870223,0.9832975325433548,0.9723753799342387,0.9837975099633836,0.9739190116678106,0.9829896907216495,0.9721649484536082,1.0,1.0,1.0,1.0,0.9896907216494846,0.979381443298969
token_columns,active action columns,finite_value_only,finite value only,0.6,1921.6,1909,0.9905154639175258,0.984020618556701,0.55,0.55,0.6693877551020408,0.6693877551020408,0.33061224489795915,0.33061224489795915,0.6471914231731863,0.6471914231731863,0.8196564963641684,0.7915235685498578,0.9454039433744065,0.9354804974694878,0.9940806560660738,0.9905595015639909,0.9995852810580346,0.9988009926775102,0.9989537423694517,0.9975103801204895,0.9906847106893781,0.9841414218141001,0.9902513927954235,0.9849004804392587,0.9905154639175258,0.984020618556701,1.0,1.0,1.0,1.0,0.9958762886597938,0.9896907216494846
