scope,city,event_id,mean_runtime_seconds,max_runtime_seconds,n_lambdas,n_units,horizon,q_nnz,q_density,estimated_total_variables,estimated_state_variables,estimated_action_u_variables,estimated_effect_variables,estimated_pwl_segment_variables,estimated_total_constraints,estimated_access_nonzero_terms,estimated_action_tokens,pwl_segment_count,n_units_ratio_to_v42_max,q_nnz_ratio_to_v42_max,estimated_total_variables_ratio_to_v42_max,estimated_total_constraints_ratio_to_v42_max,estimated_access_nonzero_terms_ratio_to_v42_max,estimated_action_tokens_ratio_to_v42_max
V42_broader_solved,Austin,478,5.451999982198079,5.838000059127808,3.0,207,12,38249,0.8926462694578636,50715,13455.0,7452.0,7452.0,22356,58801,497237,7452,3,0.23469387755102042,0.11345205820761825,0.23469387755102042,0.23473359387786874,0.11345205820761825,0.23469387755102042
V42_broader_solved,Austin,490,3.133000055948893,3.4100000858306885,3.0,207,12,38249,0.8926462694578636,50715,13455.0,7452.0,7452.0,22356,58801,497237,7452,3,0.23469387755102042,0.11345205820761825,0.23469387755102042,0.23473359387786874,0.11345205820761825,0.23469387755102042
V42_broader_solved,Chicago,158,27.899333397547405,28.95300006866455,3.0,882,12,337138,0.43338166710372733,216090,57330.0,31752.0,31752.0,95256,250501,4382794,31752,3,1.0,1.0,1.0,1.0,1.0,1.0
V42_broader_solved,Chicago,159,89.3046665986379,96.87800002098083,3.0,882,12,337138,0.43338166710372733,216090,57330.0,31752.0,31752.0,95256,250501,4382794,31752,3,1.0,1.0,1.0,1.0,1.0,1.0
V42_broader_solved,Dallas,58,3.94433323542277,3.962999820709229,3.0,366,12,87499,0.6531920929260354,89670,23790.0,13176.0,13176.0,39528,103957,1137487,13176,3,0.41496598639455784,0.2595346712622131,0.41496598639455784,0.41499634731997076,0.2595346712622131,0.41496598639455784
V42_broader_solved,Dallas,62,3.668333371480306,3.8519999980926514,3.0,366,12,87499,0.6531920929260354,89670,23790.0,13176.0,13176.0,39528,103957,1137487,13176,3,0.41496598639455784,0.2595346712622131,0.41496598639455784,0.41499634731997076,0.2595346712622131,0.41496598639455784
V42_broader_solved,Houston,60,4.512666702270508,4.641999959945679,3.0,393,12,99541,0.6444910617744368,96285,25545.0,14148.0,14148.0,42444,111625,1294033,14148,3,0.445578231292517,0.29525298245822185,0.445578231292517,0.44560700356485605,0.29525298245822185,0.445578231292517
V42_broader_solved,Houston,62,4.391999959945679,4.83299994468689,3.0,393,12,99541,0.6444910617744368,96285,25545.0,14148.0,14148.0,42444,111625,1294033,14148,3,0.445578231292517,0.29525298245822185,0.445578231292517,0.44560700356485605,0.29525298245822185,0.445578231292517
V42_broader_solved,Philadelphia,644,29.49766667683919,32.05900001525879,3.0,642,12,152419,0.3698018264574296,157290,41730.0,23112.0,23112.0,69336,182341,1981447,23112,3,0.7278911564625851,0.4520967674958029,0.7278911564625851,0.7279052778232422,0.4520967674958029,0.7278911564625851
V42_broader_solved,Philadelphia,658,2.940333286921183,3.376999855041504,3.0,642,12,152419,0.3698018264574296,157290,41730.0,23112.0,23112.0,69336,182341,1981447,23112,3,0.7278911564625851,0.4520967674958029,0.7278911564625851,0.7279052778232422,0.4520967674958029,0.7278911564625851
V42_broader_solved,San Antonio,494,20.591000000635784,23.93499994277954,3.0,304,12,78928,0.8540512465373962,74480,19760.0,10944.0,10944.0,32832,86349,1026064,10944,3,0.34467120181405897,0.23411184737407234,0.34467120181405897,0.3447052107576417,0.23411184737407234,0.34467120181405897
V42_broader_solved,San Antonio,497,25.695333401362102,28.207000017166138,3.0,304,12,78928,0.8540512465373962,74480,19760.0,10944.0,10944.0,32832,86349,1026064,10944,3,0.34467120181405897,0.23411184737407234,0.34467120181405897,0.3447052107576417,0.23411184737407234,0.34467120181405897
V43_New_York_boundary,New York,112,,,,1940,12,707646,0.18802370071208419,475300,,,,209520,550973,9199398,69840,3,2.199546485260771,2.098980239545824,2.199546485260771,2.1994842335958738,2.098980239545824,2.199546485260771
V43_New_York_boundary,New York,113,,,,1940,12,707646,0.18802370071208419,475300,,,,209520,550973,9199398,69840,3,2.199546485260771,2.098980239545824,2.199546485260771,2.1994842335958738,2.098980239545824,2.199546485260771
V43_New_York_boundary,New York,115,,,,1940,12,707646,0.18802370071208419,475300,,,,209520,550973,9199398,69840,3,2.199546485260771,2.098980239545824,2.199546485260771,2.1994842335958738,2.098980239545824,2.199546485260771
V43_New_York_boundary,New York,116,,,,1940,12,707646,0.18802370071208419,475300,,,,209520,550973,9199398,69840,3,2.199546485260771,2.098980239545824,2.199546485260771,2.1994842335958738,2.098980239545824,2.199546485260771
V43_New_York_boundary,New York,117,,,,1940,12,707646,0.18802370071208419,475300,,,,209520,550973,9199398,69840,3,2.199546485260771,2.098980239545824,2.199546485260771,2.1994842335958738,2.098980239545824,2.199546485260771
