city,heuristic,n_events,mean_top5_relative_to_oracle,mean_false_positive_share,mean_zero_value_share,mean_target_top5_missed_by_top20_share,mean_recoverable_fraction,mean_baseline_objective
Austin,activated_law,15,1,0,0,0,0.1310788049,0.1130758575
Chicago,activated_law,13,1,0,0,0,0.1497403476,0.1214921891
Dallas,activated_law,10,1,0,0,0,0.07209314482,0.5159360855
Houston,activated_law,4,1,0,0,0,0.1099505885,0.3280369381
New York,activated_law,24,1,0,0,0,0.1368561181,0.2363405689
Philadelphia,activated_law,20,1,0,0,0,0.1597025418,0.05463733117
San Antonio,activated_law,19,1,0,0,0,0.1365806934,0.08709139527
Austin,deficit_only,15,0.8027276192,0.3784517304,0.01111111111,0.432859745,0.1310788049,0.1130758575
Philadelphia,deficit_only,20,0.8298266896,0.312036686,0.001388384755,0.01857142857,0.1597025418,0.05463733117
San Antonio,deficit_only,19,0.8571623714,0.2846235043,0.006140350877,0.2143749965,0.1365806934,0.08709139527
Dallas,deficit_only,10,0.8315868888,0.275,0.001666666667,0.22,0.07209314482,0.5159360855
Houston,deficit_only,4,0.8318586561,0.1958333333,0.004166666667,0.1666666667,0.1099505885,0.3280369381
New York,deficit_only,24,0.9041871681,0.1416637364,0.001194940227,0.1190512511,0.1368561181,0.2363405689
Chicago,deficit_only,13,0.8613508066,0.1005683288,0.003863264835,0.002420656267,0.1497403476,0.1214921891
Philadelphia,exposure_only,20,0.8029427008,0.1931874289,0.001329358685,0,0.1597025418,0.05463733117
Austin,exposure_only,15,0.9090532474,0.1897814208,0.01440801457,0,0.1310788049,0.1130758575
San Antonio,exposure_only,19,0.8938270778,0.1725369757,0.00515995872,0,0.1365806934,0.08709139527
New York,exposure_only,24,0.869853874,0.1248876035,0.001388694378,0.002272727273,0.1368561181,0.2363405689
Dallas,exposure_only,10,0.8708359183,0.1233333333,0.001666666667,0.3,0.07209314482,0.5159360855
Chicago,exposure_only,13,0.8848622509,0.06853300405,0.002644635412,0,0.1497403476,0.1214921891
Houston,exposure_only,4,0.9122962598,0.05416666667,0,0,0.1099505885,0.3280369381
Chicago,structure_only,13,0.430790394,0.9603444992,0.01587964872,0.9485822934,0.1497403476,0.1214921891
Philadelphia,structure_only,20,0.4117391294,0.9019370556,0.02922664433,0.8061974113,0.1597025418,0.05463733117
Austin,structure_only,15,0.4955324247,0.9001092896,0.02994535519,0.750273224,0.1310788049,0.1130758575
Houston,structure_only,4,0.4521002928,0.8666666667,0.02083333333,0.7666666667,0.1099505885,0.3280369381
New York,structure_only,24,0.5217953711,0.7944541643,0.008959238506,0.8436247659,0.1368561181,0.2363405689
Dallas,structure_only,10,0.6158907417,0.7516666667,0.01666666667,0.9,0.07209314482,0.5159360855
San Antonio,structure_only,19,0.5871394708,0.6152302768,0.01855742297,0.8107154136,0.1365806934,0.08709139527
