city,event_id,event_start,baseline_objective,recoverable_fraction,event_peak_positive_abnormal_deficit,event_total_precip,weighted_b0,weighted_h_total,budget_fraction_of_baseline,heuristic,heuristic_label,heuristic_interpretation,candidate_action_count,target_top5_count,heuristic_top5_count,total_value,oracle_top5_value,heuristic_top5_value,top5_relative_to_oracle,top5_share_of_total_value,oracle_top5_share_of_total_value,false_positive_count,false_positive_share,zero_value_count,zero_value_share,target_top5_hit_count,target_top5_precision,target_top5_recall,target_top5_missed_by_top20_count,target_top5_missed_by_top20_share
Austin,478,2024-07-06 17:00:00,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.02623511767,0.005554326601,10.8673501,deficit_only,Highest remaining deficit,large local/access remaining loss only,1200,60,60,55.56917233,6.187263116,5.075094821,0.8202487473,0.09132932178,0.1113434456,21,0.35,0,0,26,0.4333333333,0.4333333333,26,0.4333333333
Austin,478,2024-07-06 17:00:00,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.02623511767,0.005554326601,10.8673501,exposure_only,Highest OD exposure,large demand exposure only,1200,60,60,55.56917233,6.187263116,5.739344071,0.9276062717,0.1032828784,0.1113434456,10,0.1666666667,0,0,42,0.7,0.7,0,0
Austin,478,2024-07-06 17:00:00,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.02623511767,0.005554326601,10.8673501,structure_only,Highest structural bottleneck,OD importance with low outgoing degree only,1200,60,60,55.56917233,6.187263116,3.07737468,0.4973725252,0.0553791707,0.1113434456,54,0.9,1,0.01666666667,0,0,0,45,0.75
Austin,478,2024-07-06 17:00:00,0.1342685328,0.1077933755,0.02623511767,1.27165423,0.02623511767,0.005554326601,10.8673501,activated_law,Activated law reference,future loss x exposure x feasibility x efficiency,1200,60,60,55.56917233,6.187263116,6.187263116,1,0.1113434456,0.1113434456,0,0,0,0,60,1,1,0,0
Austin,479,2024-07-12 13:00:00,0.1559423619,0.1295473124,0.02521753832,0.01574804,0.01510044792,0.02905002694,12.99529782,deficit_only,Highest remaining deficit,large local/access remaining loss only,1200,60,60,48.13355655,5.327319212,4.388874457,0.8238429653,0.09118117945,0.1106778637,21,0.35,0,0,26,0.4333333333,0.4333333333,26,0.4333333333
Austin,479,2024-07-12 13:00:00,0.1559423619,0.1295473124,0.02521753832,0.01574804,0.01510044792,0.02905002694,12.99529782,exposure_only,Highest OD exposure,large demand exposure only,1200,60,60,48.13355655,5.327319212,4.941654713,0.9276062717,0.1026654805,0.1106778637,10,0.1666666667,0,0,42,0.7,0.7,0,0
Austin,479,2024-07-12 13:00:00,0.1559423619,0.1295473124,0.02521753832,0.01574804,0.01510044792,0.02905002694,12.99529782,structure_only,Highest structural bottleneck,OD importance with low outgoing degree only,1200,60,60,48.13355655,5.327319212,2.673317319,0.5018128653,0.05553957593,0.1106778637,54,0.9,2,0.03333333333,0,0,0,45,0.75
Austin,479,2024-07-12 13:00:00,0.1559423619,0.1295473124,0.02521753832,0.01574804,0.01510044792,0.02905002694,12.99529782,activated_law,Activated law reference,future loss x exposure x feasibility x efficiency,1200,60,60,48.13355655,5.327319212,5.327319212,1,0.1106778637,0.1106778637,0,0,0,0,60,1,1,0,0
Austin,480,2024-07-12 15:00:00,0.1171135872,0.1248134854,0.0164342092,0.05118113,0.0164342092,0.01521945712,12.40599786,deficit_only,Highest remaining deficit,large local/access remaining loss only,1200,60,60,63.25149798,7.093581203,5.609193641,0.7907421485,0.08868080315,0.1121488254,24,0.4,0,0,26,0.4333333333,0.4333333333,26,0.4333333333
Austin,480,2024-07-12 15:00:00,0.1171135872,0.1248134854,0.0164342092,0.05118113,0.0164342092,0.01521945712,12.40599786,exposure_only,Highest OD exposure,large demand exposure only,1200,60,60,63.25149798,7.093581203,6.335275295,0.8930997072,0.1001600831,0.1121488254,13,0.2166666667,1,0.01666666667,39,0.65,0.65,0,0
Austin,480,2024-07-12 15:00:00,0.1171135872,0.1248134854,0.0164342092,0.05118113,0.0164342092,0.01521945712,12.40599786,structure_only,Highest structural bottleneck,OD importance with low outgoing degree only,1200,60,60,63.25149798,7.093581203,3.470886856,0.489299658,0.05487438191,0.1121488254,54,0.9,2,0.03333333333,0,0,0,45,0.75
Austin,480,2024-07-12 15:00:00,0.1171135872,0.1248134854,0.0164342092,0.05118113,0.0164342092,0.01521945712,12.40599786,activated_law,Activated law reference,future loss x exposure x feasibility x efficiency,1200,60,60,63.25149798,7.093581203,7.093581203,1,0.1121488254,0.1121488254,0,0,0,0,60,1,1,0,0
Austin,481,2024-07-13 14:00:00,0.04695458667,0.1386977466,0.005791424598,0.02755907,0.003973069356,0.009630125748,13.29774102,deficit_only,Highest remaining deficit,large local/access remaining loss only,1200,60,60,157.3737752,17.69272822,14.59908096,0.8251458329,0.09276692348,0.1124248827,21,0.35,0,0,26,0.4333333333,0.4333333333,26,0.4333333333
Austin,481,2024-07-13 14:00:00,0.04695458667,0.1386977466,0.005791424598,0.02755907,0.003973069356,0.009630125748,13.29774102,exposure_only,Highest OD exposure,large demand exposure only,1200,60,60,157.3737752,17.69272822,16.41188566,0.9276062717,0.1042860263,0.1124248827,10,0.1666666667,0,0,42,0.7,0.7,0,0
Austin,481,2024-07-13 14:00:00,0.04695458667,0.1386977466,0.005791424598,0.02755907,0.003973069356,0.009630125748,13.29774102,structure_only,Highest structural bottleneck,OD importance with low outgoing degree only,1200,60,60,157.3737752,17.69272822,8.866254939,0.5011242375,0.05633883363,0.1124248827,54,0.9,2,0.03333333333,0,0,0,45,0.75
Austin,481,2024-07-13 14:00:00,0.04695458667,0.1386977466,0.005791424598,0.02755907,0.003973069356,0.009630125748,13.29774102,activated_law,Activated law reference,future loss x exposure x feasibility x efficiency,1200,60,60,157.3737752,17.69272822,17.69272822,1,0.1124248827,0.1124248827,0,0,0,0,60,1,1,0,0
Austin,482,2024-07-18 08:00:00,0.1898500668,0.110259057,0.04297045833,0.513779805,0.04297045833,0.003160034056,11.15301539,deficit_only,Highest remaining deficit,large local/access remaining loss only,1200,60,60,39.06594003,4.375846449,3.408845657,0.7790140024,0.08725876439,0.1120118048,24,0.4,3,0.05,26,0.4333333333,0.4333333333,26,0.4333333333
Austin,482,2024-07-18 08:00:00,0.1898500668,0.110259057,0.04297045833,0.513779805,0.04297045833,0.003160034056,11.15301539,exposure_only,Highest OD exposure,large demand exposure only,1200,60,60,39.06594003,4.375846449,3.992430614,0.9123790472,0.1021972238,0.1120118048,11,0.1833333333,1,0.01666666667,41,0.6833333333,0.6833333333,0,0
Austin,482,2024-07-18 08:00:00,0.1898500668,0.110259057,0.04297045833,0.513779805,0.04297045833,0.003160034056,11.15301539,structure_only,Highest structural bottleneck,OD importance with low outgoing degree only,1200,60,60,39.06594003,4.375846449,2.153773013,0.4921957473,0.05513173398,0.1120118048,54,0.9,3,0.05,0,0,0,45,0.75
Austin,482,2024-07-18 08:00:00,0.1898500668,0.110259057,0.04297045833,0.513779805,0.04297045833,0.003160034056,11.15301539,activated_law,Activated law reference,future loss x exposure x feasibility x efficiency,1200,60,60,39.06594003,4.375846449,4.375846449,1,0.1120118048,0.1120118048,0,0,0,0,60,1,1,0,0
Austin,483,2024-07-21 17:00:00,0.09318860247,0.108858347,0.02164519741,0.29133874,0.02164519741,0.0007741956434,11.04271892,deficit_only,Highest remaining deficit,large local/access remaining loss only,1200,60,60,80.78335385,8.914767671,7.182475937,0.8056829075,0.08891034595,0.1103540178,23,0.3833333333,0,0,26,0.4333333333,0.4333333333,26,0.4333333333
Austin,483,2024-07-21 17:00:00,0.09318860247,0.108858347,0.02164519741,0.29133874,0.02164519741,0.0007741956434,11.04271892,exposure_only,Highest OD exposure,large demand exposure only,1200,60,60,80.78335385,8.914767671,8.058234284,0.9039197186,0.09975117274,0.1103540178,12,0.2,1,0.01666666667,40,0.6666666667,0.6666666667,0,0
Austin,483,2024-07-21 17:00:00,0.09318860247,0.108858347,0.02164519741,0.29133874,0.02164519741,0.0007741956434,11.04271892,structure_only,Highest structural bottleneck,OD importance with low outgoing degree only,1200,60,60,80.78335385,8.914767671,4.35449747,0.4884588842,0.05390340042,0.1103540178,54,0.9,1,0.01666666667,0,0,0,45,0.75
Austin,483,2024-07-21 17:00:00,0.09318860247,0.108858347,0.02164519741,0.29133874,0.02164519741,0.0007741956434,11.04271892,activated_law,Activated law reference,future loss x exposure x feasibility x efficiency,1200,60,60,80.78335385,8.914767671,8.914767671,1,0.1103540178,0.1103540178,0,0,0,0,60,1,1,0,0
Austin,484,2024-07-22 14:00:00,0.1084480967,0.1310122947,0.01704210899,0.005905515,0.00429454936,0.02685168578,13.18252457,deficit_only,Highest remaining deficit,large local/access remaining loss only,1200,60,60,68.15282727,7.660390232,6.078736494,0.7935283073,0.08919272667,0.1124001826,23,0.3833333333,1,0.01666666667,26,0.4333333333,0.4333333333,26,0.4333333333
Austin,484,2024-07-22 14:00:00,0.1084480967,0.1310122947,0.01704210899,0.005905515,0.00429454936,0.02685168578,13.18252457,exposure_only,Highest OD exposure,large demand exposure only,1200,60,60,68.15282727,7.660390232,6.989179541,0.9123790472,0.1025515715,0.1124001826,11,0.1833333333,1,0.01666666667,41,0.6833333333,0.6833333333,0,0
