hidden_definition,city,event_id,event_start,unit,t,intervention,target_value,target_rank_pct,delay_feasible,active_weighted_horizon,active_future_loss_share,law_exposure_term,eta_per_cost,deficit_only_score,deficit_only_rank_pct,exposure_only_score,exposure_only_rank_pct,structure_only_score,structure_only_rank_pct,origin_exposure,destination_importance,od_scarcity,baseline_objective,recoverable_fraction
target_top5_not_any_simple_top20,New York,119,2019-06-20 21:00:00,1859,10,S,0.06092226152,0.9537121907,1,1.45,1,0.001388452292,0.5396430695,0.5670103093,0.246791934,0.9778350515,0.7921631531,0.0186494314,0.1150320807,0.001388452292,0.0007649091554,0.01907216495,0.01783321113,0.1276266689
target_top5_not_any_simple_top20,New York,119,2019-06-20 21:00:00,1791,10,S,0.06000245834,0.9518790101,1,1.45,1,0.001361820005,0.5418896841,0.6469072165,0.2919340055,0.9768041237,0.7848304308,0.1090093262,0.4101741522,0.001361820005,0.0005165941576,0.1115979381,0.01783321113,0.1276266689
target_top5_not_any_simple_top20,New York,119,2019-06-20 21:00:00,929,10,S,0.05993893005,0.9514207149,1,1.45,1,0.001364966144,0.5400682617,0.3030927835,0.09876260312,0.9773195876,0.7884967919,0.02821128707,0.1636113657,0.001364966144,0.0007080617117,0.02886597938,0.01783321113,0.1276266689
target_top5_not_any_simple_top20,New York,119,2019-06-20 21:00:00,1846,10,S,0.05991491048,0.9509624198,1,1.45,1,0.001361558053,0.5412031314,0.6757731959,0.3187442713,0.9762886598,0.7811640697,0.07246678712,0.3148487626,0.001361558053,0.0005868420367,0.07422680412,0.01783321113,0.1276266689
target_top5_not_any_simple_top20,Dallas,62,2019-04-28 01:00:00,287,2,R,0.05109872895,0.9791666667,1,9.237173887,1,0.006766702697,0.1396848858,0.9699453552,0.7979166667,0.9699453552,0.7570833333,0.3630669772,0.7733333333,0.003906269196,0.006766702697,0.3743169399,0.1708659535,0.08906290776
target_top5_not_any_simple_top20,Dallas,62,2019-04-28 01:00:00,36,2,R,0.05049471399,0.9775,1,9.225264069,1,0.00669245962,0.1397451954,0.9644808743,0.7716666667,0.9644808743,0.7179166667,0.01844635552,0.13875,0.005544088009,0.00669245962,0.01912568306,0.1708659535,0.08906290776
target_top5_not_any_simple_top20,Dallas,62,2019-04-28 01:00:00,202,2,R,0.05041935917,0.9766666667,1,9.223809941,1,0.006683172531,0.139752581,0.9617486339,0.7579166667,0.9617486339,0.6983333333,0.01313864254,0.09416666667,0.004191497768,0.006683172531,0.01366120219,0.1708659535,0.08906290776
target_top5_not_any_simple_top20,Dallas,62,2019-04-28 01:00:00,172,2,R,0.05025357801,0.9758333333,1,9.220522306,1,0.006662776099,0.1397692971,0.9590163934,0.7454166667,0.9590163934,0.6795833333,0.08646869121,0.37125,0.005251760719,0.006662776099,0.09016393443,0.1708659535,0.08906290776
target_top5_not_any_simple_top20,Dallas,62,2019-04-28 01:00:00,287,3,R,0.04639114614,0.965,1,8.386178921,1,0.006766702697,0.1396848858,0.9699453552,0.7979166667,0.9699453552,0.7570833333,0.3630669772,0.7733333333,0.003906269196,0.006766702697,0.3743169399,0.1708659535,0.08906290776
target_top5_not_any_simple_top20,Dallas,62,2019-04-28 01:00:00,36,3,R,0.04584918593,0.9558333333,1,8.376537148,1,0.00669245962,0.1397451954,0.9644808743,0.7716666667,0.9644808743,0.7179166667,0.01844635552,0.13875,0.005544088009,0.00669245962,0.01912568306,0.1708659535,0.08906290776
