action_set,intervention,action_count,count_share,target_value_share,mean_target_value,mean_t,mean_delay_feasible,mean_law_exposure_term,mean_active_weighted_horizon
target_top5,C,5678,0.6651827554,0.7714014848,0.1458410601,3.807150405,1,0.007403769951,2.688050815
target_top5,R,1521,0.1781865042,0.05759136186,0.0406464728,3.301117686,1,0.006058304385,6.916149817
target_top5,S,1337,0.1566307404,0.1710071534,0.1373022331,5.292445774,1,0.009082814425,1.759438879
hidden_target_top5,C,1968,0.6735112936,0.8272391075,0.1489662041,3.179369919,1,0.005812992914,2.737347953
hidden_target_top5,R,640,0.219028063,0.04323070884,0.0239383477,2.8203125,1,0.005735031825,7.899143802
hidden_target_top5,S,314,0.1074606434,0.1295301837,0.1461918364,5.671974522,1,0.01034722513,1.735506036
deficit_top5,C,4786,0.5606841612,0.6986886494,0.1315675013,5.018178019,1,0.00818309179,2.496611825
deficit_top5,R,2879,0.3372774133,0.2494201478,0.0780777879,4.94963529,0.9930531435,0.007798079782,4.371037874
deficit_top5,S,871,0.1020384255,0.05189120283,0.0536924493,5.33065442,0.9885189437,0.004549634332,1.731432265
exposure_top5,C,3325,0.3895267104,0.4718948348,0.1299116973,5.073984962,1,0.00859710974,2.480668836
exposure_top5,R,2086,0.2443767573,0.1811107092,0.07947389716,5.041706616,0.9918504314,0.008333471231,4.324021338
exposure_top5,S,3125,0.3660965323,0.346994456,0.1016405946,5.7872,0.99552,0.006117676688,1.701727736
structure_top5,C,5845,0.6847469541,0.8165265469,0.07051027096,4.215226689,1,0.004180000882,2.614424067
structure_top5,R,1621,0.1899015933,0.07229763628,0.02251166792,4.404071561,0.915484269,0.003173013281,5.054108648
structure_top5,S,1070,0.1253514527,0.1111758168,0.0524436779,5.36728972,0.9897196262,0.004330214873,1.733236655
