model_id,family,description,heldout_city,n_features,n_tokens,n_events,pearson,spearman,mae,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Austin,23,18007,15,0.823500579940725,0.8687202093894488,0.03905502042943928,0.46923299306655347,0.4299752382582987,0.11068376068376069,0.5307670069334465,0.7506817724791847,0.6694437815640165,0.2841347905282331,0.24931822752081534,0.8130815275743167,0.7395437035128036,0.38869605142332414,0.18691847242568327
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Chicago,23,26081,13,0.7039231630928802,0.8286824302940025,0.02291065070788177,0.6935168996540992,0.7433457704757969,0.32237518019588285,0.30648310034590076,0.6094786959500152,0.6449234588977688,0.0957673093736348,0.39052130404998475,0.7206185488411039,0.7147595506330812,0.24132732344060967,0.2793814511588961
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Dallas,23,12000,10,0.8319776267949274,0.7761734660277553,0.007276391868644417,0.659091637549006,0.6552478683594034,0.0,0.340908362450994,0.6528580421379055,0.6519147210582783,0.0,0.34714195786209445,0.6617364783370326,0.6584387399821057,0.07333333333333333,0.33826352166296736
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Houston,23,4800,4,0.8074063266019398,0.862596670923242,0.01024740090942163,0.3934655267514049,0.3806396457310679,0.0,0.6065344732485951,0.5942309608950106,0.5372415232417381,0.1,0.4057690391049894,0.7051699906739497,0.6334469076215753,0.17291666666666666,0.2948300093260503
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",New York,23,50454,24,0.7155703499823262,0.8667848832775625,0.02292411094222,0.47531703179719426,0.4639362818727529,0.014714452214452216,0.5246829682028058,0.6359812207611475,0.5935056359825822,0.19876856365953818,0.3640187792388525,0.7384926148104638,0.685260519972788,0.301218908257608,0.2615073851895362
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",Philadelphia,23,33719,20,0.6372911059784515,0.8409434700364786,0.05734988858856639,0.5162520290513097,0.5208395209310078,0.0035714285714285713,0.48374797094869026,0.6268423307518219,0.5976816096659403,0.13588164948755396,0.37315766924817806,0.7790022207941345,0.7197803618256744,0.32162659247941566,0.2209977792058655
O0_local_action_no_od,no_message,"local dynamics, action mechanics, and event context; no OD graph",San Antonio,23,25076,19,0.6582360276756776,0.8763896713502796,0.057986688892626315,0.5181339170643107,0.49633658636105216,0.0,0.48186608293568933,0.672767260268502,0.62237577212392,0.22798522342500416,0.327232739731498,0.7730431088295711,0.7109744791868455,0.3623714274748611,0.22695689117042894
O1_scalar_od_graph,scalar_od,"local/action features plus scalar OD exposure, degree, and scarcity",Austin,30,18007,15,0.8987099463922154,0.9442061028233538,0.03579237021621668,0.9707342071884807,0.9723092772873989,0.735042735042735,0.02926579281151931,0.9574277514603334,0.9611777471667715,0.7613479052823313,0.04257224853966657,0.9531773603601013,0.9569944594175603,0.6480027548209366,0.046822639639898744
O1_scalar_od_graph,scalar_od,"local/action features plus scalar OD exposure, degree, and scarcity",Chicago,30,26081,13,0.8974401215405023,0.9568886451661354,0.013941548307151217,0.9388010081278302,0.9328771467138144,0.7371622811537336,0.06119899187216982,0.9666523898559354,0.958974735768026,0.820829470031225,0.03334761014406462,0.971818554689859,0.9654962482998529,0.8311562048449466,0.028181445310140996
O1_scalar_od_graph,scalar_od,"local/action features plus scalar OD exposure, degree, and scarcity",Dallas,30,12000,10,0.9498221698325755,0.9463439288781229,0.007688723623780703,0.7997509678024888,0.7415679762573835,0.33333333333333337,0.20024903219751122,0.9198175129620522,0.8700164385428044,0.5333333333333333,0.08018248703794784,0.9527729974442275,0.9105798804592679,0.7666666666666667,0.0472270025557725
O1_scalar_od_graph,scalar_od,"local/action features plus scalar OD exposure, degree, and scarcity",Houston,30,4800,4,0.9546878109086655,0.9782518180381441,0.010410247586705633,0.9952346712527029,0.9968090999683432,0.9166666666666666,0.004765328747297071,0.9777751026280674,0.982876420943265,0.8875,0.02222489737193256,0.9669439746741422,0.9733964810799933,0.7999999999999999,0.03305602532585783
O1_scalar_od_graph,scalar_od,"local/action features plus scalar OD exposure, degree, and scarcity",New York,30,50454,24,0.89790879912328,0.9487625288200338,0.0167263595722073,0.9034834138413957,0.8592484586869444,0.6258280344487241,0.09651658615860426,0.979302372090101,0.947762017163415,0.8658923573850373,0.02069762790989904,0.982164807089212,0.9604911255517873,0.8481848279610086,0.017835192910787945
O1_scalar_od_graph,scalar_od,"local/action features plus scalar OD exposure, degree, and scarcity",Philadelphia,30,33719,20,0.6985661945414143,0.8838677507952051,0.05591311083385977,0.9839238953919638,0.983239276316526,0.8812538444527609,0.016076104608036212,0.9800898907427428,0.9807623023036671,0.8726690536906109,0.019910109257257225,0.9787747566602791,0.9796309874733844,0.8391719318790886,0.021225243339720867
O1_scalar_od_graph,scalar_od,"local/action features plus scalar OD exposure, degree, and scarcity",San Antonio,30,25076,19,0.7384883487872248,0.9347692743523489,0.04191466538219399,0.9584580517510803,0.9634384631879496,0.7925743846796478,0.04154194824891966,0.9427684974250556,0.9489687940381588,0.7089940779302806,0.05723150257494436,0.9414202917376688,0.9457898383866411,0.6733877393207537,0.058579708262331165
O2_message_only_od,message_od,local/action features plus OD message-passing summaries only,Austin,34,18007,15,0.8505346401310698,0.8745101639538859,0.04638223307210348,0.9575771367937181,0.9670815602970078,0.6683760683760683,0.04242286320628186,0.8869442363081368,0.9100605323076166,0.4051183970856103,0.11305576369186321,0.8870271883409687,0.9025294836871254,0.6379843893480257,0.11297281165903128
O2_message_only_od,message_od,local/action features plus OD message-passing summaries only,Chicago,34,26081,13,0.8851792956871262,0.9511588529072988,0.014326998298853578,0.8394680799590897,0.8403205595628412,0.3216015767334922,0.16053192004091033,0.8731847229148512,0.8655305921245829,0.5631549488935164,0.12681527708514884,0.8901049237286173,0.8808643954215843,0.6071382333181414,0.10989507627138273
O2_message_only_od,message_od,local/action features plus OD message-passing summaries only,Dallas,34,12000,10,0.9361124354136887,0.8745223320355956,0.007841831618630536,0.9812135587955524,0.9834527429416345,0.75,0.018786441204447613,0.9796241266355541,0.981830638181526,0.7716666666666667,0.020375873364445907,0.9716872860409419,0.9755822074295624,0.7391666666666666,0.0283127139590581
O2_message_only_od,message_od,local/action features plus OD message-passing summaries only,Houston,34,4800,4,0.911702404431406,0.9600626183846483,0.016256844358408285,0.7433680184469158,0.7531316361921461,0.08333333333333333,0.2566319815530842,0.8183912897291933,0.806496784633992,0.6416666666666667,0.18160871027080672,0.8591387050904113,0.838976520918277,0.5854166666666666,0.14086129490958865
O2_message_only_od,message_od,local/action features plus OD message-passing summaries only,New York,34,50454,24,0.868767263691785,0.9201066249515167,0.014256314404050478,0.9206521013870149,0.915729881659297,0.4775639759539354,0.07934789861298508,0.8917191944874142,0.89426145231444,0.5454767249920573,0.10828080551258579,0.9116739449659838,0.9083435775240453,0.6329299375443992,0.08832605503401625
O2_message_only_od,message_od,local/action features plus OD message-passing summaries only,Philadelphia,34,33719,20,0.7357154728728442,0.870069974175389,0.057897201029941246,0.8894368919087178,0.8852415899970477,0.49783730502383766,0.11056310809128223,0.8727584969436564,0.870531920775524,0.5912882169688352,0.12724150305634363,0.9102963299314647,0.8988263439258978,0.6567378908118968,0.0897036700685353
O2_message_only_od,message_od,local/action features plus OD message-passing summaries only,San Antonio,34,25076,19,0.7889845448184369,0.8982161551946028,0.04268272283974007,0.879708025909443,0.8903337866430315,0.4668401773664932,0.12029197409055703,0.8521171324743174,0.8577015803996112,0.5249261050408084,0.14788286752568258,0.8810802056995207,0.8767604490419934,0.5880967958301198,0.11891979430047928
O3_scalar_plus_message,message_od,scalar OD graph features plus OD message-passing summaries,Austin,41,18007,15,0.9151941724761666,0.948483399242849,0.04062492827785718,0.987898717574895,0.9921509890578317,0.8235042735042736,0.012101282425104998,0.9617257388693944,0.9701569109412983,0.6814389799635701,0.038274261130605614,0.9761835946263228,0.977666697970736,0.8184297520661157,0.02381640537367724
O3_scalar_plus_message,message_od,scalar OD graph features plus OD message-passing summaries,Chicago,41,26081,13,0.9299536987991553,0.9713482469107773,0.011689765254857697,0.9279724866890852,0.9149606095075297,0.5846024189761571,0.07202751331091484,0.9648989363153444,0.9528334826844962,0.7967461730945792,0.0351010636846556,0.9687056234617523,0.9597291443615631,0.817598781437674,0.03129437653824774
O3_scalar_plus_message,message_od,scalar OD graph features plus OD message-passing summaries,Dallas,41,12000,10,0.9568749258383552,0.9202065661714145,0.010523517837500536,0.9750338117244424,0.9829067562091129,0.8999999999999998,0.024966188275557633,0.9678517077685003,0.9695981022830983,0.6483333333333334,0.03214829223149973,0.9743819586837275,0.9741832056161609,0.8274999999999999,0.025618041316272544
O3_scalar_plus_message,message_od,scalar OD graph features plus OD message-passing summaries,Houston,41,4800,4,0.9615927778828847,0.9838434206409971,0.013221435344505447,1.0,0.9998990217747314,1.0,0.0,0.988416901777621,0.9916388334222512,0.9083333333333334,0.011583098222379018,0.9709422386281634,0.9781170576826683,0.8166666666666667,0.029057761371836577
O3_scalar_plus_message,message_od,scalar OD graph features plus OD message-passing summaries,New York,41,50454,24,0.9085889719563968,0.9407208578048659,0.014057376972455415,0.9666627198331952,0.9693427580342845,0.6564541845094584,0.03333728016680482,0.9688335525860228,0.9696359435614413,0.8112729009206084,0.031166447413977227,0.973364488501724,0.9728528239842674,0.8123927169753316,0.026635511498276032
O3_scalar_plus_message,message_od,scalar OD graph features plus OD message-passing summaries,Philadelphia,41,33719,20,0.7457881518880314,0.8852159896155096,0.05606591310682854,0.981041045571778,0.9794285410328859,0.7825246131577399,0.01895895442822204,0.981629978851841,0.9808527036026613,0.8917738939379038,0.018370021148159,0.9804006101211342,0.9802249252312218,0.8566767967800472,0.01959938987886578
O3_scalar_plus_message,message_od,scalar OD graph features plus OD message-passing summaries,San Antonio,41,25076,19,0.8062463071450198,0.931565289783746,0.039683607326849,0.9638005874031531,0.9664632071065374,0.7273793458003985,0.03619941259684689,0.9462858326233805,0.9513879936602547,0.7259989615633426,0.05371416737661949,0.9504017239647248,0.9525915073104035,0.721534821700175,0.049598276035275224
O4_factorized_low_dim,factorized_law,compact activated law components,Austin,7,18007,15,0.5118985510566116,0.7231495986110444,0.05129678047183207,0.9540352031822465,0.9714770381809038,0.8290598290598292,0.04596479681775345,0.9596167716097704,0.9634528047918913,0.8157741347905282,0.040383228390229564,0.9428740066490575,0.949314444952103,0.5902249770431588,0.05712599335094248
O4_factorized_low_dim,factorized_law,compact activated law components,Chicago,7,26081,13,0.4145956632504059,0.41837489792539995,0.03389305563488449,0.9904990920133941,0.9933821059328107,0.8062523742721569,0.009500907986605855,0.9714301274314889,0.9764912175146487,0.8182275985168432,0.028569872568511068,0.9707832449010798,0.9743690284493096,0.8064142191137217,0.02921675509892019
O4_factorized_low_dim,factorized_law,compact activated law components,Dallas,7,12000,10,0.5697949567764699,0.7484393134696736,0.03462068913731341,0.6696037685225507,0.6538485453822268,0.0,0.33039623147744934,0.8292498314771171,0.7825687089149203,0.16666666666666669,0.17075016852288294,0.8521596735888736,0.8153414707898268,0.4666666666666667,0.14784032641112643
O4_factorized_low_dim,factorized_law,compact activated law components,Houston,7,4800,4,0.5152664282339562,0.7239632957188484,0.0262180946319685,0.9690579116207768,0.9798900687799686,0.8333333333333334,0.030942088379223187,0.9497992812718518,0.9605456982859014,0.8,0.05020071872814824,0.9680583245261303,0.9703821413295968,0.8083333333333333,0.031941675473869724
O4_factorized_low_dim,factorized_law,compact activated law components,New York,7,50454,24,0.2587954941181499,0.3756350899839141,0.015597737222270418,0.928400929464289,0.9183903623939087,0.43322412348781514,0.07159907053571102,0.9093976681492396,0.9113010675702155,0.6565494170595837,0.09060233185076039,0.9082953021379018,0.9096640175635228,0.6515336487875381,0.09170469786209823
O4_factorized_low_dim,factorized_law,compact activated law components,Philadelphia,7,33719,20,0.35423109664293095,0.5970497399164988,0.07578603339719246,0.9656834080102292,0.9740040125700047,0.7880746959438911,0.03431659198977077,0.9653020331571203,0.9693936738879229,0.7900779873723152,0.034697966842879735,0.966550681951356,0.9689928756275897,0.7537781695271344,0.03344931804864404
