city,raw_od_rows,raw_origin_zones,raw_destination_zones,raw_unique_zones_union,raw_total_od_volume,selected_unit_count,lp_q_matrix_cells,selected_internal_od_rows,selected_internal_od_volume,selected_internal_volume_share,selected_origin_volume_share,selected_destination_volume_share,selected_touch_volume_share,selected_unit_share_of_raw_union_zones,compression_ratio_raw_zones_to_units,compression_ratio_raw_od_rows_to_q_cells
Austin,38249,207,207,207,337604.4468425681,35,1225,1222,39833.4769423516,0.11798860268249596,0.2968502411786541,0.3213847617957029,0.5002464002918612,0.16908212560386474,5.914285714285715,31.223673469387755
Chicago,337138,882,882,882,1339432.4399383035,35,1225,1210,34473.67027075705,0.025737520790779837,0.09256112437562021,0.14966555151156194,0.2164891550964023,0.03968253968253968,25.2,275.21469387755104
Dallas,87499,366,366,366,449446.797421685,35,1225,1162,27879.11924780738,0.06202985405111324,0.1780945108716662,0.2188028521568337,0.33486750897738665,0.09562841530054644,10.457142857142857,71.42775510204082
Houston,99541,393,393,393,522168.4900897707,35,1225,1212,35412.97569075484,0.06781905910229605,0.17948259844597675,0.2372300927801747,0.34889363212385544,0.089058524173028,11.228571428571428,81.25795918367346
Los Angeles,135993,532,532,532,606969.3229797897,35,1225,1192,24471.483872987752,0.04031749702414957,0.1333619640280791,0.19176453974977067,0.2848090067537002,0.06578947368421052,15.2,111.01469387755103
New York,707640,1935,1940,1940,1987319.221947513,35,1225,1156,23682.19103994399,0.01191665172781661,0.050017644962798674,0.08803484130270631,0.12613583453768837,0.01804123711340206,55.42857142857143,577.665306122449
Philadelphia,152418,641,642,642,590661.65693236,35,1225,1178,16121.683891012524,0.02729427871573981,0.0990944595025996,0.1635103510288406,0.23531053181570036,0.05451713395638629,18.34285714285714,124.42285714285714
Phoenix,86133,357,357,357,422425.82210549165,35,1225,1188,24050.04044988745,0.05693316836081454,0.17040055186256178,0.22543373396909985,0.338901117470847,0.09803921568627451,10.2,70.3126530612245
San Antonio,78928,304,304,304,501541.1655390027,35,1225,1225,36463.59643548726,0.07270309785299497,0.19063522243565992,0.27161257091464147,0.3895446954973064,0.11513157894736842,8.685714285714285,64.43102040816326
San Diego,57911,295,295,295,372239.3994132132,35,1225,1217,34633.20067106045,0.09304012612758124,0.20657451353506776,0.32781316501917435,0.44134755242666085,0.11864406779661017,8.428571428571429,47.27428571428572
San Jose,62046,289,289,289,472086.14716520853,35,1225,1211,33231.03338495233,0.07039188416033523,0.18506433055023583,0.29321685921235124,0.4078893056022518,0.12110726643598616,8.257142857142858,50.649795918367346
