city,unit,t,intervention,u,e,cost,effective_cost,scenario
Chicago,849,0,R,0.0,0.0,1.5000000000000002,0.0,base
Chicago,849,0,C,0.0,0.0,1.02,0.0,base
Chicago,849,0,S,0.0,0.0,0.7800000000000001,0.0,base
Chicago,411,0,R,0.0,0.0,1.49372605438864,0.0,base
Chicago,411,0,C,0.0,0.0,1.015733716984275,0.0,base
Chicago,411,0,S,0.0,0.0,0.7767375482820927,0.0,base
Chicago,719,0,R,0.0,0.0,1.4936809720024946,0.0,base
Chicago,719,0,C,0.0,0.0,1.0157030609616964,0.0,base
Chicago,719,0,S,0.0,0.0,0.7767141054412973,0.0,base
Chicago,463,0,R,0.0,0.0,1.4718625651331045,0.0,base
Chicago,463,0,C,0.0,0.0,1.0008665442905111,0.0,base
Chicago,463,0,S,0.0,0.0,0.7653685338692144,0.0,base
Chicago,773,0,R,0.0,0.0,1.4002997097283743,0.0,base
Chicago,773,0,C,0.0,0.0,0.9522038026152945,0.0,base
Chicago,773,0,S,0.0,0.0,0.7281558490587546,0.0,base
Chicago,700,0,R,0.0,0.0,1.4553635637411522,0.0,base
Chicago,700,0,C,0.0,0.0,0.9896472233439835,0.0,base
Chicago,700,0,S,0.0,0.0,0.7567890531453991,0.0,base
Chicago,551,0,R,0.0,0.0,1.368436848287241,0.0,base
Chicago,551,0,C,0.0,0.0,0.930537056835324,0.0,base
Chicago,551,0,S,0.0,0.0,0.7115871611093654,0.0,base
Chicago,173,0,R,0.0,0.0,1.4472863570955528,0.0,base
Chicago,173,0,C,0.0,0.0,0.9841547228249758,0.0,base
Chicago,173,0,S,0.0,0.0,0.7525889056896874,0.0,base
Chicago,31,0,R,0.0,0.0,1.3905257302228966,0.0,base
Chicago,31,0,C,0.0,0.0,0.9455574965515696,0.0,base
Chicago,31,0,S,0.0,0.0,0.7230733797159062,0.0,base
Chicago,823,0,R,0.0,0.0,1.3891457839458403,0.0,base
Chicago,823,0,C,0.0,0.0,0.9446191330831715,0.0,base
Chicago,823,0,S,0.0,0.0,0.722355807651837,0.0,base
Chicago,257,0,R,0.0,0.0,1.4119094166469726,0.0,base
Chicago,257,0,C,0.0,0.0,0.9600984033199413,0.0,base
Chicago,257,0,S,0.0,0.0,0.7341928966564257,0.0,base
Chicago,396,0,R,0.0,0.0,1.3983019896715043,0.0,base
Chicago,396,0,C,0.0,0.0,0.9508453529766229,0.0,base
Chicago,396,0,S,0.0,0.0,0.7271170346291823,0.0,base
Chicago,64,0,R,0.0,0.0,1.3783971118624105,0.0,base
Chicago,64,0,C,0.0,0.0,0.9373100360664391,0.0,base
Chicago,64,0,S,0.0,0.0,0.7167664981684535,0.0,base
Chicago,625,0,R,0.0,0.0,1.3879412024342286,0.0,base
Chicago,625,0,C,0.0,0.0,0.9438000176552754,0.0,base
Chicago,625,0,S,0.0,0.0,0.7217294252657989,0.0,base
Chicago,50,0,R,0.0,0.0,1.3133886214887147,0.0,base
Chicago,50,0,C,0.0,0.0,0.893104262612326,0.0,base
Chicago,50,0,S,0.0,0.0,0.6829620831741317,0.0,base
Chicago,516,0,R,0.0,0.0,1.34607185898775,0.0,base
Chicago,516,0,C,0.0,0.0,0.9153288641116701,0.0,base
Chicago,516,0,S,0.0,0.0,0.6999573666736301,0.0,base
Chicago,793,0,R,0.0,0.0,1.4107773985945755,0.0,base
Chicago,793,0,C,0.0,0.0,0.9593286310443112,0.0,base
Chicago,793,0,S,0.0,0.0,0.7336042472691793,0.0,base
Chicago,282,0,R,0.0,0.0,1.4059823727891585,0.0,base
