city,event_id,t,intervention,n_tokens,total_value,score_id,description,spearman,top10_value_capture,top10_ndcg,top10_precision
Austin,478,0,C,48,2.8711537122,S0_efficiency_only,within-channel calibrated efficiency per cost only,-1.0,0.14508651112247958,0.11772848436988226,0.0
Austin,478,0,C,48,2.8711537122,S1_deficit_only,within-channel local/access deficit only,1.0,1.0,1.0,1.0
Austin,478,0,C,48,2.8711537122,S2_exposure_only,within-channel OD exposure only,1.0,1.0,1.0,1.0
Austin,478,0,C,48,2.8711537122,S3_structure_only,within-channel static OD structure only,-0.10421189752496743,0.5723395428881104,0.5419245584627634,0.0
Austin,478,0,C,48,2.8711537122,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",1.0,1.0,1.0,1.0
Austin,478,0,C,48,2.8711537122,S5_full_activation,within-channel activated bottleneck score with eta/cost,1.0,1.0,1.0,1.0
Austin,478,1,C,46,2.836958658069999,S0_efficiency_only,within-channel calibrated efficiency per cost only,-1.0,0.2156488761961154,0.17098170996503492,0.0
Austin,478,1,C,46,2.836958658069999,S1_deficit_only,within-channel local/access deficit only,1.0,1.0,1.0,1.0
Austin,478,1,C,46,2.836958658069999,S2_exposure_only,within-channel OD exposure only,1.0,1.0,1.0,1.0
Austin,478,1,C,46,2.836958658069999,S3_structure_only,within-channel static OD structure only,-0.2381128584643848,0.5723395429217815,0.5419245585104207,0.0
Austin,478,1,C,46,2.836958658069999,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",1.0,1.0,1.0,1.0
Austin,478,1,C,46,2.836958658069999,S5_full_activation,within-channel activated bottleneck score with eta/cost,1.0,1.0,1.0,1.0
Austin,478,1,S,47,2.7143987165,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.15067067530064754,0.511247774611882,0.451119562672477,0.0
Austin,478,1,S,47,2.7143987165,S1_deficit_only,within-channel local/access deficit only,-0.02370490286771508,0.6699259155874425,0.6281944367544718,0.2
Austin,478,1,S,47,2.7143987165,S2_exposure_only,within-channel OD exposure only,0.9983811285846438,1.0,1.0,1.0
