parameter_scenario,score_id,description,score_col,n_tokens,n_events,spearman,mean_event_spearman,mean_event_top_1pct_value_capture,mean_event_top_1pct_ndcg,mean_event_top_1pct_precision,mean_event_top_5pct_value_capture,mean_event_top_5pct_ndcg,mean_event_top_5pct_precision,mean_event_top_10pct_value_capture,mean_event_top_10pct_ndcg,mean_event_top_10pct_precision
base,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.1847597727,-0.1016671199,0.103327944,0.08968920313,0,0.2407864341,0.200325309,0.0004948266675,0.3582576662,0.2994732281,0.01773434555
base,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.1958971798,0.6901286304,0.8132291475,0.8206453717,0.420275193,0.8514732247,0.84370465,0.5264308499,0.8839641165,0.8702712743,0.5916301629
base,S2_exposure_only,OD exposure-only rank,exposure_only_score,170137,105,0.2672292747,0.8920368242,0.842294689,0.8403148533,0.4198393513,0.8738791727,0.8640016766,0.5164344924,0.9156859422,0.8981603125,0.6067848138
base,S3_structure_only,static structure-only score,structure_only_score,170137,105,-0.03569445676,-0.1438052974,0.4470873897,0.4366186774,0,0.5039620358,0.4876203586,0.01099703585,0.5422087004,0.5204326466,0.08475478137
base,S4_activation_no_efficiency,"delay, future horizon, and OD exposure without eta/cost",ensemble_activation_no_efficiency,170137,105,0.498105978,0.8399517642,0.7639379962,0.750574331,0.3274925562,0.8367390283,0.8126152219,0.4815162874,0.8824744959,0.8539593902,0.5767886321
base,S5_full_activation,full activated bottleneck law under scenario eta/cost,activated_bottleneck_score,170137,105,0.6245882053,1,1,1,1,1,1,1,1,1,1
low_efficiency_all,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.1847597727,-0.1016671199,0.103327944,0.08968920313,0,0.2407864341,0.200325309,0.0004948266675,0.3582576662,0.2994732281,0.01773434555
low_efficiency_all,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.1958971798,0.6901286304,0.8132291475,0.8206453717,0.420275193,0.8514732247,0.84370465,0.5264308499,0.8839641165,0.8702712743,0.5916301629
low_efficiency_all,S2_exposure_only,OD exposure-only rank,exposure_only_score,170137,105,0.2672292747,0.8920368242,0.842294689,0.8403148533,0.4198393513,0.8738791727,0.8640016766,0.5164344924,0.9156859422,0.8981603125,0.6067848138
low_efficiency_all,S3_structure_only,static structure-only score,structure_only_score,170137,105,-0.03569445676,-0.1438052974,0.4470873897,0.4366186774,0,0.5039620358,0.4876203586,0.01099703585,0.5422087004,0.5204326466,0.08475478137
low_efficiency_all,S4_activation_no_efficiency,"delay, future horizon, and OD exposure without eta/cost",ensemble_activation_no_efficiency,170137,105,0.498105978,0.8399517642,0.7639379962,0.750574331,0.3274925562,0.8367390283,0.8126152219,0.4815162874,0.8824744959,0.8539593902,0.5767886321
low_efficiency_all,S5_full_activation,full activated bottleneck law under scenario eta/cost,activated_bottleneck_score,170137,105,0.6245882053,1,1,1,1,1,1,1,1,1,1
high_efficiency_all,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.1847597727,-0.1016671199,0.103327944,0.08968920313,0,0.2407864341,0.200325309,0.0004948266675,0.3582576662,0.2994732281,0.01773434555
high_efficiency_all,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.1958971798,0.6901286304,0.8132291475,0.8206453717,0.420275193,0.8514732247,0.84370465,0.5264308499,0.8839641165,0.8702712743,0.5916301629
high_efficiency_all,S2_exposure_only,OD exposure-only rank,exposure_only_score,170137,105,0.2672292747,0.8920368242,0.842294689,0.8403148533,0.4198393513,0.8738791727,0.8640016766,0.5164344924,0.9156859422,0.8981603125,0.6067848138
high_efficiency_all,S3_structure_only,static structure-only score,structure_only_score,170137,105,-0.03569445676,-0.1438052974,0.4470873897,0.4366186774,0,0.5039620358,0.4876203586,0.01099703585,0.5422087004,0.5204326466,0.08475478137
high_efficiency_all,S4_activation_no_efficiency,"delay, future horizon, and OD exposure without eta/cost",ensemble_activation_no_efficiency,170137,105,0.498105978,0.8399517642,0.7639379962,0.750574331,0.3274925562,0.8367390283,0.8126152219,0.4815162874,0.8824744959,0.8539593902,0.5767886321
high_efficiency_all,S5_full_activation,full activated bottleneck law under scenario eta/cost,activated_bottleneck_score,170137,105,0.6245882053,1,1,1,1,1,1,1,1,1,1
expensive_all,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.1847597727,-0.1016671199,0.103327944,0.08968920313,0,0.2407864341,0.200325309,0.0004948266675,0.3582576662,0.2994732281,0.01773434555
expensive_all,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.1958971798,0.6901286304,0.8132291475,0.8206453717,0.420275193,0.8514732247,0.84370465,0.5264308499,0.8839641165,0.8702712743,0.5916301629
expensive_all,S2_exposure_only,OD exposure-only rank,exposure_only_score,170137,105,0.2672292747,0.8920368242,0.842294689,0.8403148533,0.4198393513,0.8738791727,0.8640016766,0.5164344924,0.9156859422,0.8981603125,0.6067848138
expensive_all,S3_structure_only,static structure-only score,structure_only_score,170137,105,-0.03569445676,-0.1438052974,0.4470873897,0.4366186774,0,0.5039620358,0.4876203586,0.01099703585,0.5422087004,0.5204326466,0.08475478137
expensive_all,S4_activation_no_efficiency,"delay, future horizon, and OD exposure without eta/cost",ensemble_activation_no_efficiency,170137,105,0.498105978,0.8399517642,0.7639379962,0.750574331,0.3274925562,0.8367390283,0.8126152219,0.4815162874,0.8824744959,0.8539593902,0.5767886321
expensive_all,S5_full_activation,full activated bottleneck law under scenario eta/cost,activated_bottleneck_score,170137,105,0.6245882053,1,1,1,1,1,1,1,1,1,1
cheap_all,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.1847597727,-0.1016671199,0.103327944,0.08968920313,0,0.2407864341,0.200325309,0.0004948266675,0.3582576662,0.2994732281,0.01773434555
cheap_all,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.1958971798,0.6901286304,0.8132291475,0.8206453717,0.420275193,0.8514732247,0.84370465,0.5264308499,0.8839641165,0.8702712743,0.5916301629
cheap_all,S2_exposure_only,OD exposure-only rank,exposure_only_score,170137,105,0.2672292747,0.8920368242,0.842294689,0.8403148533,0.4198393513,0.8738791727,0.8640016766,0.5164344924,0.9156859422,0.8981603125,0.6067848138
cheap_all,S3_structure_only,static structure-only score,structure_only_score,170137,105,-0.03569445676,-0.1438052974,0.4470873897,0.4366186774,0,0.5039620358,0.4876203586,0.01099703585,0.5422087004,0.5204326466,0.08475478137
cheap_all,S4_activation_no_efficiency,"delay, future horizon, and OD exposure without eta/cost",ensemble_activation_no_efficiency,170137,105,0.498105978,0.8399517642,0.7639379962,0.750574331,0.3274925562,0.8367390283,0.8126152219,0.4815162874,0.8824744959,0.8539593902,0.5767886321
cheap_all,S5_full_activation,full activated bottleneck law under scenario eta/cost,activated_bottleneck_score,170137,105,0.6245882053,1,1,1,1,1,1,1,1,1,1
fast_response,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.1375160737,-0.1581752523,0.1013297126,0.08748770504,0,0.2309416276,0.1919357524,0.0004948266675,0.3423821997,0.2861830723,0.01161217562
fast_response,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.1839962157,0.6960852483,0.8151683604,0.8235412658,0.420275193,0.8527939933,0.845564123,0.5255193539,0.8858061378,0.872327277,0.5912202722
