city,event_id,event_start,parameter_scenario,parameter_description,lp_status,runtime_seconds,baseline_objective,scenario_optimized_objective,scenario_lp_gain,scenario_lp_recoverable_fraction,lp_selected_action_count,lp_selected_total_cost,lp_selected_total_effect,target_selected_cost_weighted_rank,target_selected_effect_weighted_rank,target_top5_selected_cost_share,target_top5_selected_effect_share,target_top5_selected_count_share,target_top10_selected_cost_share,target_top10_selected_effect_share,target_top10_selected_count_share,target_top20_selected_cost_share,target_top20_selected_effect_share,target_top20_selected_count_share,activated_selected_cost_weighted_rank,activated_selected_effect_weighted_rank,activated_top5_selected_cost_share,activated_top5_selected_effect_share,activated_top5_selected_count_share,activated_top10_selected_cost_share,activated_top10_selected_effect_share,activated_top10_selected_count_share,activated_top20_selected_cost_share,activated_top20_selected_effect_share,activated_top20_selected_count_share,deficit_selected_cost_weighted_rank,deficit_selected_effect_weighted_rank,deficit_top5_selected_cost_share,deficit_top5_selected_effect_share,deficit_top5_selected_count_share,deficit_top10_selected_cost_share,deficit_top10_selected_effect_share,deficit_top10_selected_count_share,deficit_top20_selected_cost_share,deficit_top20_selected_effect_share,deficit_top20_selected_count_share,exposure_selected_cost_weighted_rank,exposure_selected_effect_weighted_rank,exposure_top5_selected_cost_share,exposure_top5_selected_effect_share,exposure_top5_selected_count_share,exposure_top10_selected_cost_share,exposure_top10_selected_effect_share,exposure_top10_selected_count_share,exposure_top20_selected_cost_share,exposure_top20_selected_effect_share,exposure_top20_selected_count_share,structure_selected_cost_weighted_rank,structure_selected_effect_weighted_rank,structure_top5_selected_cost_share,structure_top5_selected_effect_share,structure_top5_selected_count_share,structure_top10_selected_cost_share,structure_top10_selected_effect_share,structure_top10_selected_count_share,structure_top20_selected_cost_share,structure_top20_selected_effect_share,structure_top20_selected_count_share,simple_union_top5_selected_cost_share,simple_union_top5_selected_effect_share,hidden_from_simple_union_top5_selected_cost_share,simple_union_top10_selected_cost_share,simple_union_top10_selected_effect_share,hidden_from_simple_union_top10_selected_cost_share,simple_union_top20_selected_cost_share,simple_union_top20_selected_effect_share,hidden_from_simple_union_top20_selected_cost_share,target_top20_hidden_from_simple_top20_selected_cost_share,target_top20_hidden_from_simple_top5_selected_cost_share,below_structure_top20_selected_cost_share,best_simple_top20_selected_cost_share,activated_minus_best_simple_top20_selected_cost_share,lp_cost_share_R,lp_count_share_R,lp_cost_share_C,lp_count_share_C,lp_cost_share_S,lp_count_share_S
San Antonio,500,2024-07-23 00:00:00,cheap_all,all intervention costs reduced by 25%,OPTIMAL,21.72299981,0.1073168078,0.08590782677,0.02140898103,0.1994932711,2805,3.816707883,1.83975379,0.8746777936,0.866755659,0.2767154503,0.2451942358,0.1893048128,0.4579603446,0.4188533627,0.3768270945,0.7429064528,0.7210078264,0.7222816399,0.8746777936,0.866755659,0.2767154503,0.2451942358,0.1893048128,0.4579603446,0.4188533627,0.3768270945,0.7429064528,0.7210078264,0.7222816399,0.8087961772,0.7616983957,0.3093812686,0.2285510923,0.1137254902,0.4529473946,0.3622336568,0.2017825312,0.6658526347,0.5777938849,0.4096256684,0.8583282087,0.8323612009,0.3440534364,0.267955275,0.1265597148,0.4983432003,0.42221396,0.2456327986,0.723082888,0.6574094442,0.4766488414,0.5429945491,0.543706688,0.1066678559,0.0956930845,0.06916221034,0.1611579896,0.1501423275,0.1290552585,0.2891406161,0.2709601959,0.2495543672,0.4120634415,0.3419684203,0.5879365585,0.586945085,0.5213290436,0.413054915,0.8247416797,0.78003166,0.1752583203,0.08234965624,0.400503986,0.7108593839,0.723082888,0.01982356476,0.06407549164,0.003565062389,0.6320169172,0.3486631016,0.3039075911,0.647771836
San Antonio,500,2024-07-23 00:00:00,slow_response_4h,each intervention is delayed by four additional hours,OPTIMAL,5.114000082,0.1073168078,0.09284658793,0.01447021987,0.1348364732,1827,3.816707883,1.364668411,0.9254692145,0.920220975,0.4203286823,0.3824719564,0.2966611932,0.6733160926,0.6448574695,0.5834701697,0.9693288028,0.9641848109,0.9578544061,0.9254692145,0.920220975,0.4203286823,0.3824719564,0.2966611932,0.6733160926,0.6448574695,0.5834701697,0.9693288028,0.9641848109,0.9578544061,0.8384198731,0.7965658842,0.3656998705,0.2792662176,0.1171319102,0.5193467547,0.4293560062,0.2090859332,0.7574709872,0.6729829991,0.4132457581,0.8878251248,0.8681447476,0.4053451742,0.3273283609,0.13136289,0.5691370831,0.4988810858,0.2523262178,0.8290248965,0.7766617101,0.4838533114,0.537054629,0.5366403376,0.1121332813,0.1033752429,0.07115489874,0.1666921099,0.1582700952,0.1330049261,0.3000412666,0.2806283458,0.2468527641,0.4693703761,0.3992736896,0.5306296239,0.6503249238,0.5937690094,0.3496750762,0.9025332719,0.8700741266,0.09746672808,0.09150641113,0.5022314933,0.6999587334,0.8290248965,0.1403039063,0.05714066866,0.007115489874,0.6578099542,0.3601532567,0.2850493771,0.6327312534
San Antonio,500,2024-07-23 00:00:00,R_favored,durable restoration is relatively more efficient and cheaper,OPTIMAL,23.50300002,0.1073168078,0.09080075595,0.01651605185,0.1538999546,1597,3.816707883,1.07460499,0.9100422616,0.9055529283,0.3271754351,0.2927976344,0.2417031935,0.5688519026,0.537352083,0.5034439574,0.9604719068,0.9539067224,0.9492798998,0.9100422616,0.9055529283,0.3271754351,0.2927976344,0.2417031935,0.5688519026,0.537352083,0.5034439574,0.9604719068,0.9539067224,0.9492798998,0.8776022201,0.842342906,0.4676998386,0.3922310996,0.1834690044,0.6565306479,0.5724563173,0.3306199123,0.8142928943,0.7418674531,0.5961177207,0.921788277,0.9112375495,0.5002586837,0.4443200855,0.2316844083,0.7189911938,0.6666741449,0.434564809,0.8944635117,0.86710913,0.7658108954,0.5295642421,0.523448824,0.1292525555,0.1209946797,0.09768315592,0.1760450627,0.1676166415,0.147150908,0.3022890993,0.2821578766,0.2517219787,0.5656257191,0.513409437,0.4343742809,0.7693031667,0.7272214784,0.2306968333,0.9386489244,0.9223604752,0.06135107555,0.0548313315,0.4127414165,0.6977109007,0.8944635117,0.0660083951,0.3414383028,0.2197871008,0.4511762388,0.2110206637,0.2073854584,0.5691922354
San Antonio,500,2024-07-23 00:00:00,C_favored,temporary capacity is relatively more efficient and cheaper,OPTIMAL,16.41199994,0.1073168078,0.08419550557,0.02312130223,0.2154490308,1937,3.816707883,1.843095489,0.9261388334,0.924331777,0.4039538532,0.3898913272,0.2829117192,0.6892761837,0.6752125933,0.5616933402,1,1,1,0.9261388334,0.924331777,0.4039538532,0.3898913272,0.2829117192,0.6892761837,0.6752125933,0.5616933402,1,1,1,0.838709018,0.8323894333,0.2680356276,0.2472582041,0.1120289107,0.4474975999,0.4195338186,0.2297367062,0.6782762141,0.6591188704,0.4429530201,0.8566879924,0.8487355895,0.3002342822,0.2755584471,0.1734641198,0.4849409216,0.4532969611,0.3355704698,0.7178075465,0.6948242063,0.5792462571,0.5637317921,0.5688746833,0.1224730526,0.1224766899,0.1099638616,0.1947721912,0.1984407039,0.1987609706,0.3316261683,0.3359109033,0.3154362416,0.374152541,0.3523283106,0.625847459,0.5906704151,0.5663163501,0.4093295849,0.8364337212,0.8231526044,0.1635662788,0.1635662788,0.625847459,0.6683738317,0.7178075465,0.2821924535,0,0,0.9286291834,0.7743933918,0.07137081657,0.2256066082
San Antonio,500,2024-07-23 00:00:00,S_favored,substitution/control is relatively more efficient and cheaper,OPTIMAL,18.56100011,0.1073168078,0.08790758953,0.01940921827,0.180859072,2690,3.816707883,2.30092043,0.8676104382,0.8667268399,0.2137275306,0.2143092484,0.2037174721,0.4128252258,0.4073624688,0.4048327138,0.7369439686,0.7345611155,0.7483271375,0.8676104382,0.8667268399,0.2137275306,0.2143092484,0.2037174721,0.4128252258,0.4073624688,0.4048327138,0.7369439686,0.7345611155,0.7483271375,0.7141548388,0.6249899407,0.2705482678,0.1437171573,0.1141263941,0.4016067098,0.2289858988,0.1762081784,0.5302954638,0.3629986949,0.292936803,0.7922759747,0.725215913,0.3063859059,0.1816268617,0.1237918216,0.4710340867,0.3102880603,0.212267658,0.6285726231,0.4764052555,0.3434944238,0.5155390505,0.5248719702,0.07188375264,0.05289262617,0.04721189591,0.1044730774,0.08827020308,0.0843866171,0.2113652139,0.1820340905,0.1769516729,0.369038332,0.2484393107,0.630961668,0.5405873372,0.4003218635,0.4594126628,0.7314202755,0.6201181679,0.2685797245,0.1502230546,0.4326226884,0.7886347861,0.6285726231,0.1083713455,0.01714872755,0.0007434944238,0.3426860788,0.0936802974,0.6401651936,0.9055762082
Austin,491,2024-07-27 07:00:00,cheap_all,all intervention costs reduced by 25%,OPTIMAL,12.49000001,0.02247193429,0.01840863701,0.004063297276,0.1808165342,276,0.2785626198,0.1437418089,0.9820612699,0.9815396637,1,1,1,1,1,1,1,1,1,0.9820612699,0.9815396637,1,1,1,1,1,1,1,1,1,0.832343697,0.7795146986,0.5137333771,0.4311058382,0.3804347826,0.7228838279,0.6155919503,0.5434782609,0.756512137,0.6623471322,0.597826087,0.9661501918,0.9653365794,0.7201715707,0.7090220487,0.7065217391,1,1,1,1,1,1,0.4643519959,0.4430149275,0.03363127417,0.02822475111,0.02536231884,0.1248550373,0.09441773914,0.06884057971,0.1571134131,0.1392688256,0.1231884058,0.7386021158,0.7244897216,0.2613978842,1,1,0,1,1,0,0,0.2613978842,0.8428865869,1,0,0.0001918437066,0.003623188406,0.6834896585,0.4746376812,0.3163184978,0.5217391304
Austin,491,2024-07-27 07:00:00,slow_response_4h,each intervention is delayed by four additional hours,OPTIMAL,3.677999973,0.02247193429,0.01969702398,0.002774910309,0.1234833759,211,0.2785626198,0.1079650677,0.9857972517,0.9856354923,1,1,1,1,1,1,1,1,1,0.9857972517,0.9856354923,1,1,1,1,1,1,1,1,1,0.8294906414,0.7790009047,0.4582829474,0.3910413217,0.336492891,0.7162476458,0.6158037972,0.5402843602,0.7702127743,0.6815180777,0.6113744076,0.9575007004,0.9566890039,0.6096763809,0.5998708006,0.5876777251,0.9751437488,0.9746215383,0.9763033175,1,1,1,0.489739618,0.4641997521,0.06348443546,0.05329637957,0.04265402844,0.1550006585,0.123370554,0.08530805687,0.1865563059,0.1671389995,0.1374407583,0.681335677,0.6659432493,0.318664323,0.9952009062,0.9932733357,0.004799093804,1,1,0,0,0.318664323,0.8134436941,1,0,0,0,0.6888693902,0.4739336493,0.3111306098,0.5260663507
Austin,491,2024-07-27 07:00:00,R_favored,durable restoration is relatively more efficient and cheaper,OPTIMAL,10.44700003,0.02247193429,0.01944642437,0.003025509918,0.1346350465,151,0.2785626198,0.07622976424,0.9882522808,0.9875601093,1,1,1,1,1,1,1,1,1,0.9882522808,0.9875601093,1,1,1,1,1,1,1,1,1,0.8955750201,0.8500954888,0.671253707,0.590956187,0.5695364238,0.8484500079,0.7563682743,0.701986755,0.8851748029,0.8155375663,0.7748344371,0.9731576317,0.9748825292,0.8405103331,0.8684555356,0.9072847682,1,1,1,1,1,1,0.4866003967,0.4630179037,0.03490254422,0.02876086261,0.01986754967,0.1585166591,0.129892341,0.09933774834,0.1585166591,0.129892341,0.09933774834,0.8483337343,0.8749022796,0.1516662657,1,1,0,1,1,0,0,0.1516662657,0.8414833409,1,0,0.6310125245,0.4834437086,0.1619876382,0.1059602649,0.2069998373,0.4105960265
Austin,491,2024-07-27 07:00:00,C_favored,temporary capacity is relatively more efficient and cheaper,OPTIMAL,12.33500004,0.02247193429,0.01799817433,0.004473759956,0.1990821039,209,0.2785626198,0.1423910334,0.9866673523,0.9865351532,1,1,1,1,1,1,1,1,1,0.9866673523,0.9865351532,1,1,1,1,1,1,1,1,1,0.9476288395,0.9470890342,0.5051644582,0.4993263167,0.4832535885,0.8777083871,0.8759709306,0.8947368421,1,1,1,0.9476288395,0.9470890342,0.5220175234,0.5163338868,0.4976076555,0.8688354948,0.8669860136,0.8851674641,1,1,1,0.5546992979,0.5521697685,0.1005658652,0.101699478,0.1100478469,0.2082643534,0.2022784149,0.1961722488,0.2161100536,0.2102423995,0.2009569378,0.6049070127,0.6001949359,0.3950929873,0.9084817274,0.9071490499,0.09151827259,1,1,0,0,0.3950929873,0.7838899464,1,0,0,0,1,1,0,0
Austin,491,2024-07-27 07:00:00,S_favored,substitution/control is relatively more efficient and cheaper,OPTIMAL,9.822000027,0.02247193429,0.01864565987,0.003826274423,0.1702690286,370,0.2785626198,0.2191520336,0.976881748,0.9757416859,1,1,1,1,1,1,1,1,1,0.976881748,0.9757416859,1,1,1,1,1,1,1,1,1,0.6051128564,0.5747038995,0.2000172534,0.1459413648,0.1432432432,0.2540213768,0.1983376408,0.1918918919,0.3764909959,0.3262663738,0.3162162162,0.9227173851,0.9164809406,0.3866717429,0.335103038,0.3162162162,0.6402754666,0.6096804335,0.5945945946,0.9972433821,0.9969815475,0.9972972973,0.443295236,0.414114704,0,0,0,0.1067101186,0.04966973926,0.04864864865,0.2168545975,0.1694477228,0.172972973,0.4646401839,0.4186984282,0.5353598161,0.7363648417,0.7130458826,0.2636351583,0.9972433821,0.9969815475,0.002756617912,0.002756617912,0.5353598161,0.7831454025,0.9972433821,0.002756617912,0,0,0.08740588534,0.02702702703,0.9125941147,0.972972973
