parameter_scenario,parameter_description,deficit_top5_relative_to_oracle,deficit_false_positive_share,deficit_zero_value_share,deficit_target_top5_precision,exposure_top5_relative_to_oracle,exposure_false_positive_share,exposure_zero_value_share,exposure_target_top5_precision,structure_top5_relative_to_oracle,structure_false_positive_share,structure_zero_value_share,structure_target_top5_precision,activated_law_top5_relative_to_oracle,activated_law_false_positive_share,activated_law_zero_value_share,activated_law_target_top5_precision,hidden_from_all_simple_top5_share,hidden_from_all_simple_top20_share,target_top5_low_structure_top20_share
base,original calibrated eta/cost/delay,0.8510381694,0.2428528444,0.004031765429,0.5258155958,0.8695215916,0.1458943939,0.004048782858,0.5048908452,0.5039437288,0.8168044522,0.0195977277,0.01099703585,1,0,0,1,0.3423149016,0.009606373008,0.8391518276
low_efficiency_all,all intervention effectiveness reduced by 25%,0.8510381694,0.2428528444,0.004031765429,0.5258155958,0.8695215916,0.1458943939,0.004048782858,0.5048908452,0.5039437288,0.8168044522,0.0195977277,0.01099703585,1,0,0,1,0.3423149016,0.009606373008,0.8391518276
high_efficiency_all,all intervention effectiveness increased by 25%,0.8510381694,0.2428528444,0.004031765429,0.5258155958,0.8695215916,0.1458943939,0.004048782858,0.5048908452,0.5039437288,0.8168044522,0.0195977277,0.01099703585,1,0,0,1,0.3423149016,0.009606373008,0.8391518276
expensive_all,all intervention costs increased by 25%,0.8510381694,0.2428528444,0.004031765429,0.5258155958,0.8695215916,0.1458943939,0.004048782858,0.5048908452,0.5039437288,0.8168044522,0.0195977277,0.01099703585,1,0,0,1,0.3423149016,0.009606373008,0.8391518276
cheap_all,all intervention costs reduced by 25%,0.8510381694,0.2428528444,0.004031765429,0.5258155958,0.8695215916,0.1458943939,0.004048782858,0.5048908452,0.5039437288,0.8168044522,0.0195977277,0.01099703585,1,0,0,1,0.3423149016,0.009606373008,0.8391518276
fast_response,each intervention can start one hour earlier when possible,0.8522728153,0.2426502905,0.001258730976,0.5249040998,0.8716601564,0.1439471505,0.001100000817,0.5039661531,0.5076679583,0.8165832879,0.007523219745,0.01115576601,1,0,0,1,0.342900656,0.009606373008,0.8380974695
slow_response_2h,each intervention is delayed by two additional hours,0.6792623838,0.3737027891,0.2367272392,0.4392255079,0.7099759749,0.3023414305,0.2203368728,0.4544836626,0.3887234564,0.8035403303,0.2723959921,0.02686873545,1,0,0,1,0.3997188379,0.001522961575,0.8402061856
slow_response_4h,each intervention is delayed by four additional hours,0.5012414884,0.5369818934,0.4651066952,0.3325848202,0.5453078734,0.4751997079,0.4302553761,0.3801385853,0.2771031401,0.7822129826,0.5026884875,0.03258191734,1,0,0,1,0.4794985942,0.0008200562324,0.8455951265
R_favored,durable restoration is relatively more efficient and cheaper,0.8367747891,0.1929587618,0.004031765429,0.5190554821,0.8092657033,0.2119123306,0.004048782858,0.4744303015,0.4353685459,0.8148131656,0.0195977277,0.01584386532,1,0,0,1,0.4011246485,0.03444236176,0.8286082474
C_favored,temporary capacity is relatively more efficient and cheaper,0.7553536537,0.4075543329,0.004031765429,0.4878749612,0.681844762,0.5555657766,0.004048782858,0.3346208949,0.465503555,0.6930733186,0.0195977277,0.02597524559,1,0,0,1,0.4969540769,0.001757263355,0.828022493
S_favored,substitution/control is relatively more efficient and cheaper,0.6419167883,0.5291006979,0.004031765429,0.1304713561,0.8157251594,0.3290080605,0.004048782858,0.4336959645,0.4016199227,0.914093298,0.0195977277,0.01761924972,1,0,0,1,0.5596298032,0.007497656982,0.9600515464
