parameter_scenario,parameter_description,heuristic,heuristic_label,n_events,mean_top5_relative_to_oracle,median_top5_relative_to_oracle,mean_top5_share_of_total_value,mean_false_positive_share,weighted_false_positive_share,mean_zero_value_share,weighted_zero_value_share,mean_target_top5_precision,mean_target_top5_recall,mean_target_top5_missed_by_top20_share
base,original calibrated eta/cost/delay,deficit_only,Highest remaining deficit,105,0.8510381694,0.8398105091,0.0952600586,0.2428528444,0.2311387067,0.004031765429,0.00351452671,0.5258155958,0.5258155958,0.1589791896
base,original calibrated eta/cost/delay,exposure_only,Highest OD exposure,105,0.8695215916,0.8868316971,0.09738219056,0.1458943939,0.139995314,0.004048782858,0.003631677601,0.5048908452,0.5048908452,0.02909090909
base,original calibrated eta/cost/delay,structure_only,Highest structural bottleneck,105,0.5039437288,0.5018128653,0.05622053195,0.8168044522,0.8190018744,0.0195977277,0.01733833177,0.01099703585,0.01099703585,0.8326368601
base,original calibrated eta/cost/delay,activated_law,Activated law reference,105,1,1,0.1120621975,0,0,0,0,1,1,0
low_efficiency_all,all intervention effectiveness reduced by 25%,deficit_only,Highest remaining deficit,105,0.8510381694,0.8398105091,0.0952600586,0.2428528444,0.2311387067,0.004031765429,0.00351452671,0.5258155958,0.5258155958,0.1589791896
low_efficiency_all,all intervention effectiveness reduced by 25%,exposure_only,Highest OD exposure,105,0.8695215916,0.8868316971,0.09738219056,0.1458943939,0.139995314,0.004048782858,0.003631677601,0.5048908452,0.5048908452,0.02909090909
low_efficiency_all,all intervention effectiveness reduced by 25%,structure_only,Highest structural bottleneck,105,0.5039437288,0.5018128653,0.05622053195,0.8168044522,0.8190018744,0.0195977277,0.01733833177,0.01099703585,0.01099703585,0.8326368601
low_efficiency_all,all intervention effectiveness reduced by 25%,activated_law,Activated law reference,105,1,1,0.1120621975,0,0,0,0,1,1,0
high_efficiency_all,all intervention effectiveness increased by 25%,deficit_only,Highest remaining deficit,105,0.8510381694,0.8398105091,0.0952600586,0.2428528444,0.2311387067,0.004031765429,0.00351452671,0.5258155958,0.5258155958,0.1589791896
high_efficiency_all,all intervention effectiveness increased by 25%,exposure_only,Highest OD exposure,105,0.8695215916,0.8868316971,0.09738219056,0.1458943939,0.139995314,0.004048782858,0.003631677601,0.5048908452,0.5048908452,0.02909090909
high_efficiency_all,all intervention effectiveness increased by 25%,structure_only,Highest structural bottleneck,105,0.5039437288,0.5018128653,0.05622053195,0.8168044522,0.8190018744,0.0195977277,0.01733833177,0.01099703585,0.01099703585,0.8326368601
high_efficiency_all,all intervention effectiveness increased by 25%,activated_law,Activated law reference,105,1,1,0.1120621975,0,0,0,0,1,1,0
expensive_all,all intervention costs increased by 25%,deficit_only,Highest remaining deficit,105,0.8510381694,0.8398105091,0.0952600586,0.2428528444,0.2311387067,0.004031765429,0.00351452671,0.5258155958,0.5258155958,0.1589791896
expensive_all,all intervention costs increased by 25%,exposure_only,Highest OD exposure,105,0.8695215916,0.8868316971,0.09738219056,0.1458943939,0.139995314,0.004048782858,0.003631677601,0.5048908452,0.5048908452,0.02909090909
expensive_all,all intervention costs increased by 25%,structure_only,Highest structural bottleneck,105,0.5039437288,0.5018128653,0.05622053195,0.8168044522,0.8190018744,0.0195977277,0.01733833177,0.01099703585,0.01099703585,0.8326368601
expensive_all,all intervention costs increased by 25%,activated_law,Activated law reference,105,1,1,0.1120621975,0,0,0,0,1,1,0
