city,event_id,unit,t,intervention,selected_count,mean_perturbed_cost,total_perturbed_cost,n_successful_perturbations,selection_frequency,selected_by_base_lp,selected_by_static_small_signal_greedy,selected_by_residual_finite_greedy
Chicago,159,849,2,R,3,0.03846428706,0.1153928612,3,1,True,True,True
Chicago,159,719,2,R,3,0.03792382995,0.1137714899,3,1,True,True,True
Chicago,159,411,2,R,3,0.03443703499,0.103311105,3,1,True,True,True
Philadelphia,656,505,2,R,3,0.03148536021,0.09445608062,3,1,True,True,True
Philadelphia,656,314,2,R,3,0.03087718924,0.09263156772,3,1,True,True,True
Philadelphia,656,86,2,R,3,0.02841701686,0.08525105057,3,1,True,True,True
Philadelphia,656,101,2,R,3,0.0283789254,0.0851367762,3,1,True,True,True
Philadelphia,656,53,2,R,3,0.0263227616,0.07896828481,3,1,True,True,True
Philadelphia,656,267,2,R,3,0.02623341725,0.07870025176,3,1,True,True,True
Chicago,159,463,2,R,3,0.02575381109,0.07726143328,3,1,True,True,True
Chicago,159,700,2,R,3,0.02520246892,0.07560740677,3,1,True,True,True
Chicago,159,209,2,R,3,0.02454970566,0.07364911699,3,1,True,True,True
Chicago,159,173,2,R,3,0.02453980302,0.07361940906,3,1,True,True,True
Chicago,159,793,2,R,3,0.02406399289,0.07219197868,3,1,True,True,True
Philadelphia,656,86,3,R,3,0.02279619655,0.06838858965,3,1,True,True,False
Chicago,159,849,3,R,3,0.02224377486,0.06673132458,3,1,True,True,True
Chicago,159,719,3,R,3,0.02219924583,0.06659773749,3,1,True,True,True
Philadelphia,656,505,1,C,3,0.02184336166,0.06553008498,3,1,True,True,True
Philadelphia,656,505,0,C,3,0.02148188521,0.06444565564,3,1,True,True,True
Chicago,159,411,3,R,3,0.02119085485,0.06357256454,3,1,True,True,True
Philadelphia,656,505,3,R,3,0.02100117549,0.06300352648,3,1,True,True,True
Chicago,159,700,3,R,3,0.02019726198,0.06059178593,3,1,True,True,True
Chicago,159,463,3,R,3,0.01995157177,0.05985471531,3,1,True,True,True
Chicago,159,209,3,R,3,0.0196914621,0.05907438631,3,1,True,True,True
Chicago,159,849,4,R,3,0.01959221667,0.05877665001,3,1,True,True,True
Chicago,159,173,3,R,3,0.01924147307,0.05772441921,3,1,True,True,True
Chicago,159,411,4,R,3,0.0192069763,0.0576209289,3,1,True,True,False
Philadelphia,656,505,3,C,3,0.01884928505,0.05654785515,3,1,True,True,True
Philadelphia,656,505,2,C,3,0.01856377539,0.05569132617,3,1,True,True,True
Chicago,159,282,3,R,3,0.01848121319,0.05544363958,3,1,True,True,True
Chicago,159,31,3,R,3,0.01840883912,0.05522651735,3,1,True,True,True
Philadelphia,656,86,1,C,3,0.0183656006,0.0550968018,3,1,True,True,True
Chicago,159,625,3,R,3,0.01821289437,0.05463868311,3,1,True,True,True
Chicago,159,282,2,R,3,0.01809003727,0.05427011181,3,1,True,True,True
Philadelphia,656,86,0,C,3,0.01808805297,0.05426415891,3,1,True,True,True
Chicago,159,257,2,R,3,0.01807406317,0.05422218951,3,1,True,True,True
Philadelphia,656,86,3,C,3,0.01804215051,0.05412645152,3,1,True,True,True
Chicago,159,31,2,R,3,0.01802605396,0.05407816187,3,1,True,True,True
Philadelphia,656,314,1,C,3,0.01791344392,0.05374033177,3,1,True,True,True
Chicago,159,625,2,R,3,0.01783151019,0.05349453058,3,1,True,True,True
Philadelphia,656,86,2,C,3,0.01777106731,0.05331320194,3,1,True,True,True
Chicago,159,773,2,R,3,0.01767939414,0.05303818241,3,1,True,True,True
Chicago,159,396,2,R,3,0.01767406004,0.05302218011,3,1,True,True,True
Philadelphia,656,314,0,C,3,0.01752385188,0.05257155565,3,1,True,True,True
Philadelphia,656,53,3,R,3,0.01750456566,0.05251369697,3,1,True,True,False
Philadelphia,656,314,3,C,3,0.01747826485,0.05243479456,3,1,True,True,True
Chicago,159,770,2,R,3,0.01741182903,0.05223548709,3,1,True,True,True
Chicago,159,257,3,R,3,0.01727836409,0.05183509227,3,1,True,True,True
Philadelphia,656,314,2,C,3,0.01720904452,0.05162713356,3,1,True,True,True
Chicago,159,463,4,R,3,0.01719863027,0.05159589081,3,1,True,True,True
Philadelphia,656,267,1,C,3,0.0171557561,0.0514672683,3,1,True,True,True
Chicago,159,823,3,R,3,0.01708242107,0.05124726321,3,1,True,True,True
Chicago,159,551,2,R,3,0.0169594661,0.0508783983,3,1,True,True,True
Philadelphia,656,505,4,C,3,0.01694094182,0.05082282546,3,1,True,True,True
Philadelphia,656,413,1,C,3,0.01692595444,0.05077786333,3,1,True,True,True
Philadelphia,656,267,0,C,3,0.01677781645,0.05033344934,3,1,True,True,True
Chicago,159,845,2,R,3,0.0167776104,0.05033283119,3,1,True,True,True
Philadelphia,656,53,1,C,3,0.01675497265,0.05026491796,3,1,True,True,True
Philadelphia,656,267,3,C,3,0.01673359289,0.05020077868,3,1,True,True,True
Chicago,159,823,2,R,3,0.016700384,0.05010115201,3,1,True,True,True
Philadelphia,656,350,1,C,3,0.01658268262,0.04974804786,3,1,True,True,True
Philadelphia,656,413,0,C,3,0.01656021925,0.04968065776,3,1,True,True,True
Philadelphia,656,413,3,C,3,0.01651742377,0.04955227131,3,1,True,True,True
Philadelphia,656,267,2,C,3,0.01647242472,0.04941727416,3,1,True,True,True
Philadelphia,656,101,1,C,3,0.01640391017,0.04921173051,3,1,True,True,True
Philadelphia,656,53,0,C,3,0.01637888834,0.04913666502,3,1,True,True,True
Chicago,159,516,2,R,3,0.01636285089,0.04908855266,3,1,True,False,True
Philadelphia,656,53,3,C,3,0.01633488189,0.04900464566,3,1,True,True,True
Philadelphia,656,413,2,C,3,0.01626468926,0.04879406779,3,1,True,True,True
Philadelphia,656,350,0,C,3,0.0162189099,0.04865672969,3,1,True,True,True
Philadelphia,656,53,2,C,3,0.01607499581,0.04822498744,3,1,True,True,True
Chicago,159,242,2,R,3,0.01603071002,0.04809213006,3,1,True,False,True
Philadelphia,656,101,0,C,3,0.01602531734,0.04807595202,3,1,True,True,True
Chicago,159,719,4,R,3,0.0159947595,0.04798427851,3,1,True,True,False
Philadelphia,656,550,0,C,3,0.01599174435,0.04797523306,3,1,True,True,True
Philadelphia,656,101,3,C,3,0.01598101736,0.04794305207,3,1,True,True,True
Philadelphia,656,350,2,C,3,0.01592496567,0.04777489702,3,1,True,True,True
Chicago,159,47,2,R,3,0.0158815088,0.0476445264,3,1,True,True,True
Philadelphia,656,101,2,C,3,0.01571939782,0.04715819345,3,1,True,True,True
Philadelphia,656,550,2,C,3,0.01570516529,0.04711549588,3,1,True,True,True
Chicago,159,700,4,R,3,0.01565339148,0.04696017443,3,1,True,True,False
Chicago,159,691,2,R,3,0.01487189154,0.04461567461,3,1,True,False,True
Philadelphia,656,113,1,C,3,0.01482588206,0.04447764619,3,1,True,True,True
Philadelphia,656,546,1,C,3,0.01469681309,0.04409043926,3,1,True,True,True
Philadelphia,656,267,3,R,3,0.01448112766,0.04344338299,3,1,True,True,False
Philadelphia,656,113,0,C,3,0.01447982926,0.04343948779,3,1,True,True,True
Philadelphia,656,113,3,C,3,0.01443933686,0.04331801058,3,1,True,True,True
Philadelphia,656,234,1,C,3,0.01437944973,0.04313834919,3,1,True,True,True
Philadelphia,656,546,0,C,3,0.01432240296,0.04296720888,3,1,True,True,True
