city,event_id,policy,n_perturbed_actions,n_stable50_actions,n_stable80_actions,policy_action_count,jaccard_any_perturbed,jaccard_stable50,jaccard_stable80,stable50_recall,stable80_recall,stable50_precision,stable80_precision,frequency_mass_capture,mean_selected_frequency
Chicago,159,base_lp,2072,1467,993,1476,0.6871136472,0.7868852459,0.6481975968,0.8834355828,0.9778449144,0.8780487805,0.6578590786,0.8190644307,0.8562860438
Philadelphia,656,base_lp,2081,1424,940,1447,0.6665092111,0.794375,0.6338124572,0.8925561798,0.985106383,0.8783690394,0.6399447132,0.8116985377,0.8523505788
San Antonio,506,base_lp,374,213,134,250,0.625,0.7022058824,0.5298804781,0.896713615,0.9925373134,0.764,0.532,0.7822468793,0.7833333333
Austin,491,base_lp,301,182,109,199,0.6286644951,0.7085201794,0.5098039216,0.8681318681,0.9541284404,0.7939698492,0.5226130653,0.7685810811,0.7858376511
Chicago,159,residual_finite_greedy,2072,1467,993,1478,0.6840607211,0.7719614922,0.6331791143,0.8745739605,0.9647532729,0.8680649526,0.648173207,0.8126654898,0.8513638465
Philadelphia,656,residual_finite_greedy,2081,1424,940,1407,0.6390977444,0.7325581395,0.5815363881,0.8405898876,0.9180851064,0.8507462687,0.6133617626,0.7694038245,0.8382352941
Austin,491,residual_finite_greedy,301,182,109,172,0.545751634,0.6388888889,0.4946808511,0.7582417582,0.8532110092,0.8023255814,0.5406976744,0.6722972973,0.7944111776
San Antonio,506,residual_finite_greedy,374,213,134,79,0.146835443,0.168,0.1833333333,0.1971830986,0.2462686567,0.5316455696,0.417721519,0.1844660194,0.7643678161
Philadelphia,656,static_small_signal_greedy,2081,1424,940,949,0.4380635975,0.6131883073,0.7426199262,0.6334269663,0.8563829787,0.9504741834,0.8482613277,0.5916760405,0.9498013723
Chicago,159,static_small_signal_greedy,2072,1467,993,932,0.4257237779,0.5710543549,0.7050487157,0.5944103613,0.801611279,0.9356223176,0.8540772532,0.5659752868,0.9531772575
Austin,491,static_small_signal_greedy,301,182,109,115,0.3594771242,0.5388601036,0.6,0.5714285714,0.7706422018,0.9043478261,0.7304347826,0.5033783784,0.903030303
San Antonio,506,static_small_signal_greedy,374,213,134,49,0.1310160428,0.2300469484,0.3555555556,0.2300469484,0.3582089552,1,0.9795918367,0.2024965326,0.9931972789
