city,event_id,event_start,n_units,baseline_objective,base_optimized_objective,base_recoverable_fraction,base_static_fraction_of_lp_gain,base_residual_fraction_of_lp_gain,base_residual_improvement,base_runtime_seconds,event_peak_positive_abnormal_deficit,event_total_precip,perturbation_id,status,runtime_seconds,perturbed_objective,perturbed_recoverable_fraction,total_intervention_cost,selected_action_count,eta_sigma,cost_sigma,multiplier_clip,error
San Antonio,506,2024-07-27 11:00:00,304,0.006043985503,0.005108345854,0.1548050783,0.3975164418,0.8905288759,0.4930124341,30.02100015,0.002520241673,0.01443570333,0,OPTIMAL,47.59000015,0.005083206442,0.1589644881,0.1141558958,218,0.08,0.08,0.2,
San Antonio,506,2024-07-27 11:00:00,304,0.006043985503,0.005108345854,0.1548050783,0.3975164418,0.8905288759,0.4930124341,30.02100015,0.002520241673,0.01443570333,1,OPTIMAL,37.95600009,0.005095828128,0.1568761829,0.1141558958,252,0.08,0.08,0.2,
San Antonio,506,2024-07-27 11:00:00,304,0.006043985503,0.005108345854,0.1548050783,0.3975164418,0.8905288759,0.4930124341,30.02100015,0.002520241673,0.01443570333,2,OPTIMAL,40.59100008,0.005092205378,0.1574755804,0.1141558958,251,0.08,0.08,0.2,
Austin,491,2024-07-27 07:00:00,207,0.02247193429,0.01924756525,0.143484268,0.7326319213,0.9798345117,0.2472025904,5.351999998,0.002076205508,0.005905515,0,OPTIMAL,11.00199986,0.01919275575,0.145923288,0.2785626198,193,0.08,0.08,0.2,
Austin,491,2024-07-27 07:00:00,207,0.02247193429,0.01924756525,0.143484268,0.7326319213,0.9798345117,0.2472025904,5.351999998,0.002076205508,0.005905515,1,OPTIMAL,11.01399994,0.01905852181,0.1518966917,0.2785626198,201,0.08,0.08,0.2,
Austin,491,2024-07-27 07:00:00,207,0.02247193429,0.01924756525,0.143484268,0.7326319213,0.9798345117,0.2472025904,5.351999998,0.002076205508,0.005905515,2,OPTIMAL,7.506999969,0.01920936707,0.1451840853,0.2785626198,198,0.08,0.08,0.2,
Chicago,159,2019-07-29 17:00:00,882,0.125480708,0.1076472383,0.1421212074,0.8175323429,0.9906988298,0.1731664869,29.62800002,0.01848159911,0.18110246,0,OPTIMAL,86.03400016,0.1076524698,0.1420795156,6.007195289,1509,0.08,0.08,0.2,
Chicago,159,2019-07-29 17:00:00,882,0.125480708,0.1076472383,0.1421212074,0.8175323429,0.9906988298,0.1731664869,29.62800002,0.01848159911,0.18110246,1,OPTIMAL,83.10099983,0.1074042735,0.1440574791,6.007195289,1417,0.08,0.08,0.2,
Chicago,159,2019-07-29 17:00:00,882,0.125480708,0.1076472383,0.1421212074,0.8175323429,0.9906988298,0.1731664869,29.62800002,0.01848159911,0.18110246,2,OPTIMAL,109.5599999,0.107715415,0.1415778833,6.007195289,1606,0.08,0.08,0.2,
Philadelphia,656,2023-07-25 15:00:00,642,0.1611150664,0.1383885504,0.1410576712,0.8109380704,0.9834644307,0.1725263604,34.0250001,0.02881938331,0.50000027,0,OPTIMAL,100.178,0.137112764,0.1489761506,6.858020583,1444,0.08,0.08,0.2,
Philadelphia,656,2023-07-25 15:00:00,642,0.1611150664,0.1383885504,0.1410576712,0.8109380704,0.9834644307,0.1725263604,34.0250001,0.02881938331,0.50000027,1,OPTIMAL,69.48899984,0.1375653605,0.1461670001,6.858020583,1478,0.08,0.08,0.2,
Philadelphia,656,2023-07-25 15:00:00,642,0.1611150664,0.1383885504,0.1410576712,0.8109380704,0.9834644307,0.1725263604,34.0250001,0.02881938331,0.50000027,2,OPTIMAL,79.12400007,0.1378640847,0.1443128954,6.858020583,1523,0.08,0.08,0.2,
