city,event_id,event_start,policy_scenario,budget_scale,delay_add_hours,policy_score,allocated_cost,value_proxy,selected_action_count,baseline_objective,optimized_objective,lp_recoverable_fraction,replay_objective,replay_gain,replay_recoverable_fraction,replay_fraction_of_base_lp_gain,objective_gap_to_base_lp,event_peak_positive_abnormal_deficit,event_total_precip
Austin,478,2024-07-06 17:00:00,base,1,0,residual_finite_greedy,1.459143153,0.1070671937,444,0.1342685328,0.1197952744,0.1077933755,0.1199124303,0.01435610253,0.1069208267,0.9919053579,0.000117155847,0.02623511767,1.27165423
Austin,479,2024-07-12 13:00:00,base,1,0,residual_finite_greedy,2.026517436,0.1296999373,438,0.1559423619,0.135740448,0.1295473124,0.1357797725,0.02016258944,0.1292951395,0.9980534305,3.932442848e-05,0.02521753832,0.01574804
Austin,480,2024-07-12 15:00:00,base,1,0,residual_finite_greedy,1.452910912,0.1251505869,424,0.1171135872,0.1024962322,0.1248134854,0.1025517223,0.01456186485,0.1243396706,0.9962038169,5.549015648e-05,0.0164342092,0.05118113
Austin,481,2024-07-13 14:00:00,base,1,0,residual_finite_greedy,0.6243899333,0.1381706558,345,0.04695458667,0.0404420913,0.1386977466,0.04047077037,0.006483816293,0.1380869634,0.9955963005,2.867907228e-05,0.005791424598,0.02755907
Austin,482,2024-07-18 08:00:00,base,1,0,residual_finite_greedy,2.117400717,0.109727119,451,0.1898500668,0.1689173774,0.110259057,0.169032149,0.02081791777,0.1096545191,0.9945171137,0.0001147715553,0.04297045833,0.513779805
Austin,483,2024-07-21 17:00:00,base,1,0,residual_finite_greedy,1.029055544,0.1082122634,453,0.09318860247,0.08304424524,0.108858347,0.08312299798,0.01006560448,0.1080132572,0.9922367932,7.875274304e-05,0.02164519741,0.29133874
Austin,484,2024-07-22 14:00:00,base,1,0,residual_finite_greedy,1.429619699,0.1308163824,437,0.1084480967,0.09424006269,0.1310122947,0.09428972751,0.01415836918,0.1305543353,0.9965044552,4.966481904e-05,0.01704210899,0.005905515
Austin,485,2024-07-22 23:00:00,base,1,0,residual_finite_greedy,2.127726012,0.1823562241,542,0.1053035213,0.08601671448,0.1831544337,0.08674028056,0.01856324073,0.1762831908,0.9624838842,0.0007235660776,0.03052262292,0.3543309
Austin,486,2024-07-23 03:00:00,base,1,0,residual_finite_greedy,2.883270223,0.1458256083,511,0.1806597614,0.1547181633,0.1435936695,0.1557791669,0.0248805945,0.1377207316,0.9591003003,0.00106100357,0.03052262292,0.005905515
Austin,487,2024-07-23 11:00:00,base,1,0,residual_finite_greedy,2.479363013,0.1099602112,438,0.2254069291,0.2005184667,0.1104156935,0.200640913,0.02476601611,0.1098724702,0.9950801988,0.000122446288,0.03052262292,0.490157745
Austin,488,2024-07-23 15:00:00,base,1,0,residual_finite_greedy,0.9527473834,0.1153094217,464,0.08044947701,0.07111970567,0.1159705655,0.07120871152,0.00924076549,0.1148642084,0.9904600178,8.900585268e-05,0.01805766215,0.084645715
Austin,489,2024-07-23 19:00:00,base,1,0,residual_finite_greedy,0.4440993661,0.1266032167,255,0.03867617163,0.03375246942,0.1273058319,0.03378117677,0.004894994852,0.1265635829,0.9941695596,2.870735212e-05,0.002355466562,0.12598432
Austin,490,2024-07-25 21:00:00,base,1,0,residual_finite_greedy,1.204869036,0.1715817893,456,0.06749221661,0.05583143395,0.172772258,0.05596073943,0.01153147719,0.1708564004,0.9889110808,0.0001293054766,0.01358562402,0.005905515
Austin,491,2024-07-27 07:00:00,base,1,0,residual_finite_greedy,0.2785626198,0.1417136168,172,0.02247193429,0.01924756525,0.143484268,0.01931258622,0.003159348067,0.1405908377,0.9798345118,6.502097603e-05,0.002076205508,0.005905515
