city,policy_scenario,n_events,mean_static_fraction_of_base_lp_gain,mean_residual_fraction_of_base_lp_gain,mean_residual_minus_static,positive_improvement_share
Austin,low_budget,15,0.501916065,0.5750128795,0.07309681449,1
Chicago,low_budget,13,0.4832924033,0.5869577164,0.1036653131,1
Dallas,low_budget,10,0.5544653425,0.5546081447,0.000142802254,0.2
Houston,low_budget,4,0.5576221299,0.5795994552,0.02197732529,1
New York,low_budget,24,0.5011446577,0.5667926688,0.06564801108,0.9583333333
Philadelphia,low_budget,20,0.4744123843,0.5709744762,0.09656209194,0.95
San Antonio,low_budget,19,0.4718225402,0.5695242987,0.09770175846,1
Austin,base,15,0.8696426723,0.9816149074,0.111972235,1
Chicago,base,13,0.7631955227,0.9700374707,0.206841948,1
Dallas,base,10,0.997931164,0.9995147819,0.001583617903,0.3
Houston,base,4,0.930332555,0.9925523337,0.06221977865,1
New York,base,24,0.8253210866,0.9486343999,0.1233133133,0.9583333333
Philadelphia,base,20,0.7517360869,0.948883864,0.1971477772,0.95
San Antonio,base,19,0.7834247693,0.967689816,0.1842650466,1
Austin,high_budget,15,1.419228947,1.63502173,0.2157927826,1
Chicago,high_budget,13,1.184101564,1.546679455,0.3625778908,1
Dallas,high_budget,10,1.738667635,1.744552185,0.005884550439,0.3
Houston,high_budget,4,1.551296696,1.667380866,0.1160841699,1
New York,high_budget,24,1.319185679,1.538076687,0.2188910072,0.9583333333
Philadelphia,high_budget,20,1.191130244,1.554136661,0.3630064166,1
San Antonio,high_budget,19,1.253899048,1.598885934,0.3449868856,1
Austin,delay_2h,15,0.8216461913,0.9179465444,0.09630035317,1
Chicago,delay_2h,13,0.6927169304,0.8757486225,0.1830316921,1
Dallas,delay_2h,10,0.8240682115,0.8240682115,-3.088823641e-11,0
Houston,delay_2h,4,0.8875788737,0.9029387919,0.01535991822,1
New York,delay_2h,24,0.7828471953,0.8682040416,0.08535684627,0.9583333333
Philadelphia,delay_2h,20,0.6983057022,0.8795726181,0.1812669159,0.95
San Antonio,delay_2h,19,0.7110410981,0.881920745,0.1708796469,1
Austin,delay_4h,15,0.7678646641,0.8351947436,0.06733007952,1
Chicago,delay_4h,13,0.6290867466,0.7711785201,0.1420917735,1
Dallas,delay_4h,10,0.6717854138,0.6717854138,5.707911921e-12,0
Houston,delay_4h,4,0.7834277029,0.7851024356,0.001674732693,0.5
New York,delay_4h,24,0.7246610967,0.7695089234,0.04484782676,0.875
Philadelphia,delay_4h,20,0.6331427895,0.7903616622,0.1572188727,0.95
San Antonio,delay_4h,19,0.6233509806,0.7642371977,0.1408862171,1
Austin,scarce_and_late,15,0.4851691025,0.5398612375,0.05469213504,1
Chicago,scarce_and_late,13,0.4422805426,0.5364865575,0.09420601488,1
Dallas,scarce_and_late,10,0.4568516561,0.4568516561,1.155932572e-11,0
Houston,scarce_and_late,4,0.520481364,0.5264015443,0.0059201803,1
New York,scarce_and_late,24,0.4755096143,0.5196625856,0.04415297123,0.7916666667
Philadelphia,scarce_and_late,20,0.4364020158,0.5325120092,0.09610999344,0.95
San Antonio,scarce_and_late,19,0.4324254072,0.524579859,0.09215445178,1
