city,event_id,policy_scenario,budget_scale,delay_add_hours,n_replans,mean_pass_cost,final_remaining_total
Austin,478,base,1,0,10,0.1459143153,5.148659277e-15
Austin,479,base,1,0,10,0.2026517436,0
Austin,480,base,1,0,10,0.1452910912,8.187894807e-16
Austin,481,base,1,0,10,0.06243899333,6.938893904e-18
Austin,482,base,1,0,10,0.2117400717,1.965441698e-15
Austin,483,base,1,0,10,0.1029055544,0
Austin,484,base,1,0,10,0.1429619699,0
Austin,485,base,1,0,10,0.2127726012,3.122502257e-17
Austin,486,base,1,0,10,0.2883270223,0
Austin,487,base,1,0,10,0.2479363013,7.632783294e-17
Austin,488,base,1,0,10,0.09527473834,1.556372219e-15
Austin,489,base,1,0,10,0.04440993661,4.647974713e-16
Austin,490,base,1,0,10,0.1204869036,0
Austin,491,base,1,0,10,0.02785626198,1.753154913e-16
Austin,492,base,1,0,10,0.1517016101,1.950696549e-15
Chicago,145,base,1,0,10,0.4923071805,0
Chicago,146,base,1,0,10,0.1604000064,1.42724374e-15
Chicago,147,base,1,0,10,0.1520669143,6.639654104e-16
Chicago,149,base,1,0,10,0.06505468607,4.839878498e-16
Chicago,150,base,1,0,10,0.3463301657,0
Chicago,152,base,1,0,10,0.3013699282,0
Chicago,153,base,1,0,10,1.698127064,3.204901622e-14
Chicago,154,base,1,0,10,0.1815836829,1.279358564e-17
Chicago,155,base,1,0,10,0.5686823028,0
Chicago,156,base,1,0,10,0.3129048538,5.247538515e-17
Chicago,157,base,1,0,10,1.20773303,4.727468417e-14
Chicago,158,base,1,0,10,0.9754483208,3.478510882e-14
Chicago,159,base,1,0,10,0.6007195289,5.455705332e-16
Dallas,55,base,1,0,10,0.5223364031,0
Dallas,56,base,1,0,10,0.469474522,2.102484853e-15
Dallas,57,base,1,0,10,0.458733773,7.632783294e-17
Dallas,58,base,1,0,10,0.5281583299,5.910202883e-15
Dallas,59,base,1,0,10,0.5358569577,2.775557562e-17
Dallas,60,base,1,0,10,0.6024098126,2.775557562e-17
Dallas,61,base,1,0,10,0.538242858,0
Dallas,62,base,1,0,10,0.1973000234,1.712172071e-15
Dallas,63,base,1,0,10,0.3232815079,0
Dallas,64,base,1,0,10,0.4411401083,1.040834086e-15
Houston,52,base,1,0,10,0.1504974668,4.555383848e-15
Houston,60,base,1,0,10,0.6243465092,1.708702624e-15
Houston,61,base,1,0,10,0.6450370683,2.837140245e-15
Houston,62,base,1,0,10,0.7008516945,0
New York,98,base,1,0,10,0.3596110992,1.062518129e-16
New York,99,base,1,0,10,0.8431912331,5.438358097e-16
New York,100,base,1,0,10,0.9423734096,5.666040553e-16
New York,101,base,1,0,10,0.9423734096,2.389581588e-16
New York,102,base,1,0,10,1.811111689,4.163336342e-16
New York,103,base,1,0,10,2.559521297,1.824929097e-14
New York,104,base,1,0,10,4.171031263,0
New York,105,base,1,0,10,1.33353173,7.181755191e-16
New York,106,base,1,0,10,0.8609963856,1.331400268e-15
New York,107,base,1,0,10,2.686712664,1.665334537e-16
New York,108,base,1,0,10,2.370961504,5.624016877e-14
New York,109,base,1,0,10,5.820723774,3.109144886e-14
New York,110,base,1,0,10,4.02881086,1.471323063e-13
New York,111,base,1,0,10,1.859735783,8.17783341e-14
New York,112,base,1,0,10,0.32705583,0
New York,113,base,1,0,10,0.3199223672,3.040102892e-16
New York,115,base,1,0,10,0.1521707899,5.92408067e-16
New York,116,base,1,0,10,0.1521707899,0
New York,117,base,1,0,10,0.1521707899,0
New York,119,base,1,0,10,0.3846498066,0
New York,120,base,1,0,10,0.3846498066,0
New York,121,base,1,0,10,3.507910644,1.089232871e-14
New York,122,base,1,0,10,2.37154995,6.205105874e-14
New York,123,base,1,0,10,1.662784393,0
Philadelphia,640,base,1,0,10,0.04128202335,0
Philadelphia,641,base,1,0,10,0.02182709443,6.91720986e-17
Philadelphia,642,base,1,0,10,0.02104896005,2.493664997e-18
Philadelphia,643,base,1,0,10,0.1050453439,0
Philadelphia,644,base,1,0,10,0.5051169419,0
Philadelphia,645,base,1,0,10,0.3906858365,0
Philadelphia,646,base,1,0,10,0.095363987,6.4878658e-16
Philadelphia,647,base,1,0,10,0.05188237906,8.67361738e-19
Philadelphia,648,base,1,0,10,0.4075417135,1.184208981e-14
Philadelphia,649,base,1,0,10,0.3112940798,5.497121855e-15
Philadelphia,650,base,1,0,10,0.1140890303,1.214306433e-16
Philadelphia,651,base,1,0,10,0.4296730118,8.500145032e-17
Philadelphia,652,base,1,0,10,0.3671382131,2.340141969e-15
Philadelphia,653,base,1,0,10,0.1813802551,2.432515994e-15
Philadelphia,654,base,1,0,10,0.4265774354,4.98559527e-15
Philadelphia,655,base,1,0,10,0.2976763304,1.894968557e-15
Philadelphia,656,base,1,0,10,0.6858020583,3.087374106e-14
Philadelphia,657,base,1,0,10,0.23570468,1.324461374e-15
Philadelphia,658,base,1,0,10,0.1249107647,5.889386201e-16
Philadelphia,659,base,1,0,10,0.2079031254,4.120618777e-15
San Antonio,491,base,1,0,10,0.1105040355,3.920475056e-16
San Antonio,492,base,1,0,10,0.1797613118,1.007440659e-15
San Antonio,493,base,1,0,10,0.150392933,0
San Antonio,494,base,1,0,10,0.2060033306,5.898059818e-17
San Antonio,495,base,1,0,10,0.06324483959,0
San Antonio,496,base,1,0,10,0.2210856024,4.884113947e-15
San Antonio,497,base,1,0,10,0.1422791377,2.763306077e-15
San Antonio,498,base,1,0,10,0.111701441,5.681219384e-17
San Antonio,499,base,1,0,10,0.04079995755,6.071532166e-18
San Antonio,500,base,1,0,10,0.3816707883,5.545910953e-15
San Antonio,501,base,1,0,10,0.3495324897,2.647188024e-15
San Antonio,502,base,1,0,10,0.3295700482,0
San Antonio,503,base,1,0,10,0.1236696285,0
San Antonio,504,base,1,0,10,0.1220918146,7.14163971e-16
San Antonio,505,base,1,0,10,0.1507392202,4.445228907e-17
San Antonio,506,base,1,0,10,0.01141558958,0
San Antonio,507,base,1,0,10,0.3560331357,2.866196863e-15
San Antonio,508,base,1,0,10,0.3263491779,2.15105711e-16
San Antonio,509,base,1,0,10,0.1214792663,0
Austin,478,delay_2h,1,2,10,0.1459143153,2.818058287e-15
Austin,479,delay_2h,1,2,10,0.2026517436,1.123233451e-15
Austin,480,delay_2h,1,2,10,0.1452910912,0
Austin,481,delay_2h,1,2,10,0.06243899333,1.214306433e-17
Austin,482,delay_2h,1,2,10,0.2117400717,8.430756093e-16
Austin,483,delay_2h,1,2,10,0.1029055544,2.602085214e-17
Austin,484,delay_2h,1,2,10,0.1429619699,0
Austin,485,delay_2h,1,2,10,0.2127726012,2.168404345e-18
Austin,486,delay_2h,1,2,10,0.2883270223,1.856154119e-16
Austin,487,delay_2h,1,2,10,0.2479363013,5.117434254e-16
Austin,488,delay_2h,1,2,10,0.09527473834,2.18596842e-15
Austin,489,delay_2h,1,2,10,0.04440993661,0
Austin,490,delay_2h,1,2,10,0.1204869036,1.318389842e-16
Austin,491,delay_2h,1,2,10,0.02785626198,1.994931997e-17
Austin,492,delay_2h,1,2,10,0.1517016101,8.760353554e-16
Chicago,145,delay_2h,1,2,10,0.4923071805,0
Chicago,146,delay_2h,1,2,10,0.1604000064,4.998172015e-17
Chicago,147,delay_2h,1,2,10,0.1520669143,0
Chicago,149,delay_2h,1,2,10,0.06505468607,9.020562075e-17
Chicago,150,delay_2h,1,2,10,0.3463301657,0
Chicago,152,delay_2h,1,2,10,0.3013699282,3.645087704e-16
Chicago,153,delay_2h,1,2,10,1.698127064,4.132024584e-14
Chicago,154,delay_2h,1,2,10,0.1815836829,1.415968037e-15
Chicago,155,delay_2h,1,2,10,0.5686823028,0
Chicago,156,delay_2h,1,2,10,0.3129048538,1.82145965e-16
Chicago,157,delay_2h,1,2,10,1.20773303,2.224652754e-14
Chicago,158,delay_2h,1,2,10,0.9754483208,2.976785485e-14
Chicago,159,delay_2h,1,2,10,0.6007195289,6.071532166e-17
Dallas,55,delay_2h,1,2,10,0.5223364031,2.602085214e-17
Dallas,56,delay_2h,1,2,10,0.469474522,2.255140519e-17
Dallas,57,delay_2h,1,2,10,0.458733773,1.249000903e-16
Dallas,58,delay_2h,1,2,10,0.5281583299,6.84695356e-15
Dallas,59,delay_2h,1,2,10,0.5358569577,0
Dallas,60,delay_2h,1,2,10,0.6024098126,3.348016309e-15
Dallas,61,delay_2h,1,2,10,0.538242858,1.262878691e-15
Dallas,62,delay_2h,1,2,10,0.1973000234,3.337607968e-15
Dallas,63,delay_2h,1,2,10,0.3232815079,2.293304435e-15
Dallas,64,delay_2h,1,2,10,0.4411401083,1.318389842e-16
Houston,52,delay_2h,1,2,10,0.1504974668,4.362070601e-15
Houston,60,delay_2h,1,2,10,0.6243465092,2.775557562e-17
Houston,61,delay_2h,1,2,10,0.6450370683,5.648259638e-15
Houston,62,delay_2h,1,2,10,0.7008516945,2.525757381e-15
New York,98,delay_2h,1,2,10,0.3596110992,1.062518129e-16
New York,99,delay_2h,1,2,10,0.8431912331,6.75241113e-16
New York,100,delay_2h,1,2,10,0.9423734096,5.188991598e-16
New York,101,delay_2h,1,2,10,0.9423734096,5.117434254e-17
New York,102,delay_2h,1,2,10,1.811111689,0
New York,103,delay_2h,1,2,10,2.559521297,1.770111835e-14
New York,104,delay_2h,1,2,10,4.171031263,3.542999227e-14
New York,105,delay_2h,1,2,10,1.33353173,2.35055031e-16
New York,106,delay_2h,1,2,10,0.8609963856,3.875914346e-15
New York,107,delay_2h,1,2,10,2.686712664,0
New York,108,delay_2h,1,2,10,2.370961504,4.570562678e-14
New York,109,delay_2h,1,2,10,5.820723774,0
New York,110,delay_2h,1,2,10,4.02881086,2.57752153e-13
New York,111,delay_2h,1,2,10,1.859735783,7.695580284e-14
New York,112,delay_2h,1,2,10,0.32705583,0
New York,113,delay_2h,1,2,10,0.3199223672,0
New York,115,delay_2h,1,2,10,0.1521707899,5.833007688e-16
