city,event_id,n_tokens,positive_value_share,activated_law_top_5pct_value_capture,activated_law_spearman
Austin,478,1200,0.9566666667,0.1113434456,1
Austin,479,1200,0.9666666667,0.1106778637,1
Austin,480,1200,0.9508333333,0.1121488254,1
Austin,481,1200,0.9525,0.1124248827,1
Austin,482,1200,0.96,0.1120118048,1
Austin,483,1200,0.9725,0.1103540178,1
Austin,484,1200,0.9525,0.1124001826,1
Austin,485,1207,0.9569179785,0.1123334477,1
Austin,486,1200,0.9633333333,0.1113418822,1
Austin,487,1200,0.965,0.1104931779,1
Austin,488,1200,0.9625,0.1117039373,1
Austin,489,1200,0.9683333333,0.110343909,1
Austin,490,1200,0.9616666667,0.1120213246,1
Austin,491,1200,0.9616666667,0.1114008109,1
Austin,492,1200,0.9583333333,0.1120631261,1
Chicago,145,1896,0.9783755274,0.112657847,1
Chicago,146,1331,0.9549211119,0.1197852326,1
Chicago,147,1332,0.966966967,0.1191743216,1
Chicago,149,1200,0.9675,0.1222796563,1
Chicago,150,1593,0.9799121155,0.1147831877,1
Chicago,152,5711,0.9921204693,0.1172191392,1
Chicago,153,1793,0.9799219186,0.1127226318,1
Chicago,154,2226,0.9838274933,0.1121169727,1
Chicago,155,1900,0.9773684211,0.112789361,1
Chicago,156,1753,0.9777524244,0.1133416871,1
Chicago,157,1615,0.972755418,0.1151749077,1
Chicago,158,1723,0.9750435287,0.1145149897,1
Chicago,159,2008,0.9770916335,0.112578248,1
Dallas,55,1200,0.97,0.1032718055,1
Dallas,56,1200,0.9616666667,0.1037720806,1
Dallas,57,1200,0.97,0.1027598068,1
Dallas,58,1200,0.9625,0.1033204257,1
Dallas,59,1200,0.9616666667,0.1037165374,1
Dallas,60,1200,0.9716666667,0.1030234757,1
Dallas,61,1200,0.9633333333,0.1038120638,1
Dallas,62,1200,0.9666666667,0.1037320445,1
Dallas,63,1200,0.9475,0.1043561369,1
Dallas,64,1200,0.9583333333,0.1038052046,1
Houston,52,1200,0.97,0.1237459625,1
Houston,60,1200,0.96,0.1240066833,1
Houston,61,1200,0.9691666667,0.1234683916,1
Houston,62,1200,0.9625,0.1237623594,1
New York,98,2833,0.9837627956,0.1148499718,1
New York,99,3324,0.9876654633,0.1099639082,1
New York,100,3667,0.9890919007,0.1143127899,1
New York,101,2057,0.9786096257,0.1063452459,1
New York,102,1960,0.9734693878,0.1071952838,1
New York,103,2050,0.9780487805,0.1070398995,1
New York,104,2311,0.9835569018,0.1060871427,1
New York,105,2026,0.9817374136,0.1068101844,1
New York,106,3249,0.9886118806,0.1064571355,1
New York,107,2148,0.9776536313,0.106453541,1
New York,108,2346,0.9791133845,0.1062927483,1
New York,109,2181,0.9793672627,0.1067217358,1
New York,110,1947,0.978941962,0.1070727953,1
New York,111,2098,0.9790276454,0.1061201168,1
New York,112,1462,0.9740082079,0.1120168624,1
New York,113,1360,0.9705882353,0.1114861662,1
New York,115,1320,0.971969697,0.1160525698,1
New York,116,1230,0.9642276423,0.1175606549,1
New York,117,1284,0.972741433,0.114233486,1
New York,119,2182,0.9876260312,0.1357030671,1
New York,120,1439,0.9645587213,0.1142353038,1
New York,121,2076,0.9802504817,0.1065936668,1
New York,122,1959,0.9744767739,0.1069010624,1
New York,123,1945,0.9742930591,0.1074309631,1
Philadelphia,640,1286,0.9751166407,0.1178314554,1
Philadelphia,641,1200,0.9558333333,0.1194003969,1
Philadelphia,642,1200,0.965,0.1191079765,1
Philadelphia,643,1265,0.9660079051,0.1184241576,1
Philadelphia,644,1925,0.9781818182,0.1108193776,1
Philadelphia,645,2307,0.9748591244,0.1092526635,1
Philadelphia,646,1200,0.975,0.1180214009,1
Philadelphia,647,1200,0.9625,0.1190137915,1
Philadelphia,648,1764,0.9767573696,0.1121776531,1
Philadelphia,649,1768,0.9779411765,0.1114789013,1
Philadelphia,650,1368,0.9692982456,0.1162135274,1
Philadelphia,651,1705,0.9753665689,0.1119548973,1
Philadelphia,652,1898,0.9773445732,0.1104077751,1
Philadelphia,653,2136,0.9812734082,0.1092400094,1
Philadelphia,654,2425,0.978556701,0.1089152604,1
Philadelphia,655,2041,0.9789318961,0.1101196299,1
Philadelphia,656,1966,0.980671414,0.1104642612,1
Philadelphia,657,2060,0.977184466,0.1101113714,1
Philadelphia,658,1386,0.9617604618,0.1279415096,1
Philadelphia,659,1619,0.9728227301,0.1127825901,1
San Antonio,491,1205,0.9643153527,0.1134115552,1
San Antonio,492,1259,0.9626687847,0.1126106787,1
San Antonio,493,1258,0.9674085851,0.1118619507,1
San Antonio,494,1200,0.9616666667,0.112509192,1
San Antonio,495,1200,0.9725,0.1122904038,1
San Antonio,496,1200,0.9583333333,0.112620884,1
San Antonio,497,1200,0.9608333333,0.1128114848,1
San Antonio,498,1205,0.9692946058,0.1125639476,1
San Antonio,499,1200,0.9633333333,0.112745277,1
San Antonio,500,2715,0.9801104972,0.1066977455,1
San Antonio,501,1792,0.9732142857,0.1067889828,1
San Antonio,502,1242,0.9573268921,0.1139018814,1
San Antonio,503,1200,0.965,0.1115772508,1
San Antonio,504,1200,0.9741666667,0.112415123,1
San Antonio,505,1200,0.9733333333,0.1125974316,1
San Antonio,506,1200,0.9583333333,0.1126110015,1
San Antonio,507,1200,0.9633333333,0.112367279,1
San Antonio,508,1200,0.9666666667,0.1114845289,1
San Antonio,509,1200,0.9675,0.1122954356,1
