ablation_id,mode,removed_group,included_groups,n_features,n_tokens,mean_spearman,global_spearman,mean_top_1pct_value_capture,mean_top_5pct_value_capture,mean_top_10pct_value_capture,positive_score_share,top5_capture_drop_vs_full,spearman_drop_vs_full
full_interpretable,all_groups,,"state_horizon,od_exposure_structure,intervention_feasibility,event_context,interaction_terms",30,170137,0.9627528671,0.8894052497,0.02655496301,0.1100313181,0.1958317696,0.9693893744,0,0
only_state_horizon,single_group_only,,state_horizon,8,170137,0.5607726975,0.1020831008,0.01112937283,0.06213803523,0.1231482976,0.9990713366,0.04789328291,0.4019801696
without_state_horizon,leave_one_group_out,state_horizon,"od_exposure_structure,intervention_feasibility,event_context,interaction_terms",22,170137,0.8967742268,0.8697517907,0.02362307807,0.101634458,0.1841121344,0.9708529009,0.008396860159,0.06597864034
only_od_exposure_structure,single_group_only,,od_exposure_structure,6,170137,0.8734265353,0.4041614323,0.02157171138,0.09889936199,0.1819380891,1,0.01113195615,0.08932633182
without_od_exposure_structure,leave_one_group_out,od_exposure_structure,"state_horizon,intervention_feasibility,event_context,interaction_terms",24,170137,0.7532230802,0.7787949395,0.01663649495,0.08245003577,0.1619868591,0.9758253643,0.02758128237,0.2095297869
only_intervention_feasibility,single_group_only,,intervention_feasibility,7,170137,0.5988027651,0.07099646137,0.01442546272,0.06622143674,0.1283737644,0.9866343006,0.0438098814,0.363950102
without_intervention_feasibility,leave_one_group_out,intervention_feasibility,"state_horizon,od_exposure_structure,event_context,interaction_terms",23,170137,0.8959475468,0.8446120604,0.02337570374,0.1002635549,0.1849099854,0.9789992771,0.009767763288,0.06680532034
only_event_context,single_group_only,,event_context,6,170137,,0.5253091216,0.01000179618,0.05402035249,0.1093159668,0.9871809189,0.05601096565,
without_event_context,leave_one_group_out,event_context,"state_horizon,od_exposure_structure,intervention_feasibility,interaction_terms",24,170137,0.8249408087,0.4862287625,0.02214374149,0.09491878171,0.1753539142,0.9867283425,0.01511253643,0.1378120584
only_interaction_terms,single_group_only,,interaction_terms,3,170137,0.7254246519,0.0147663764,0.01808296418,0.0860422168,0.1599359848,1,0.02398910133,0.2373282152
without_interaction_terms,leave_one_group_out,interaction_terms,"state_horizon,od_exposure_structure,intervention_feasibility,event_context",27,170137,0.9656285474,0.8875355474,0.02661287518,0.1101337887,0.196148126,0.969242434,-0.0001024705689,-0.002875680323
