formula_id,model_type,family,formula,complexity,n_tokens,mean_spearman,global_spearman,mean_top_1pct_value_capture,mean_top_5pct_value_capture,mean_top_10pct_value_capture,positive_score_share
F7_activated_recovery_law,direct_symbolic,symbolic_law,delay_feasible * active_weighted_horizon * law_exposure_term * eta_per_cost,4,170137,1,0.6245882053,0.02745175822,0.1120621975,0.1992409972,0.9731216608
R8_minimal_plus_intervention,leave_city_log_linear,formula_extractor,minimal log law + intervention type,7,170137,0.8829185888,0.5574511303,0.02558764266,0.105162779,0.1876454392,0.9857115148
R7_minimal_log_law,leave_city_log_linear,formula_extractor,linear(log horizon + log exposure + log eta/cost + delay),4,170137,0.8728210781,0.5627599776,0.02433029315,0.1026197954,0.1843354646,0.9855586968
R9_augmented_structure,leave_city_log_linear,formula_extractor,minimal log law + ranks + scarcity,10,170137,0.8614648696,0.4946056602,0.02430972617,0.1008885478,0.1814351368,0.9861640913
R6_log_exposure_efficiency,leave_city_log_linear,formula_extractor,linear(log exposure + log eta/cost),3,170137,0.8462138656,0.5728504678,0.02366108673,0.1007562802,0.1818750282,0.9856057177
F2_exposure,direct_symbolic,single_factor,delay_feasible * law_exposure_term,2,170137,0.9229204025,0.6123211865,0.02207517851,0.0995441831,0.1857340155,0.9731216608
R2_log_exposure,leave_city_log_linear,formula_extractor,linear(log exposure),2,170137,0.9228997141,0.5065335749,0.02203116837,0.09953519248,0.1857470275,0.9859818852
F6_exposure_x_efficiency,direct_symbolic,interaction,delay_feasible * law_exposure_term * eta_per_cost,3,170137,0.7806101344,0.648382098,0.02158893294,0.09704444425,0.1738440146,0.9731216608
R4_log_horizon_exposure,leave_city_log_linear,formula_extractor,linear(log active horizon + log exposure),3,170137,0.8679125104,0.549432345,0.0209336717,0.09689977115,0.178614229,0.9861699689
F4_horizon_x_exposure,direct_symbolic,interaction,delay_feasible * active_weighted_horizon * law_exposure_term,3,170137,0.8399517642,0.498105978,0.02082336012,0.09348658022,0.1756955363,0.9731216608
F0_delay_feasible,direct_symbolic,single_factor,delay_feasible,1,170137,0.2895705881,0.2797141265,0.01099119729,0.05275109292,0.1092565223,0.9731980698
F1_future_horizon,direct_symbolic,single_factor,delay_feasible * active_weighted_horizon,2,170137,0.2609138143,0.01021408305,0.0167339387,0.05272648005,0.09891346116,0.9731980698
F8_rank_interaction,direct_symbolic,rank_proxy,delay_feasible * active_future_loss_share * exposure_rank * eta_per_cost_rank,4,170137,-0.3861024823,0.07169141727,0.01125779291,0.05263621138,0.09543313978,0.9731980698
F5_horizon_x_efficiency,direct_symbolic,interaction,delay_feasible * active_weighted_horizon * eta_per_cost,3,170137,0.2666192365,0.1976320315,0.009923904891,0.05026708931,0.1029573804,0.9731980698
R5_log_horizon_efficiency,leave_city_log_linear,formula_extractor,linear(log active horizon + log eta/cost),3,170137,0.1662292723,-0.1499413068,0.004162956555,0.03667720309,0.08782821191,0.986122948
R3_log_efficiency,leave_city_log_linear,formula_extractor,linear(log eta/cost),2,170137,-0.101666867,-0.1545726009,0.002850563743,0.02682435216,0.07110011253,0.9821731898
F3_efficiency,direct_symbolic,single_factor,delay_feasible * eta_per_cost,2,170137,-0.1016671199,0.1847597727,0.002850563743,0.02682435216,0.07110011253,0.9731980698
R1_log_horizon,leave_city_log_linear,formula_extractor,linear(log active horizon),2,170137,-0.08875580175,-0.3402117989,0.0017188332,0.02253452964,0.06271005279,0.9888677948
