split_family,heldout_period,split_role,model_id,family,description,n_features,n_train_events,n_test_events,n_train_cities,n_test_cities,city,event_id,event_start,n_tokens,spearman,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Chicago,145,2019-07-02 20:00:00,1896,0.7404354482,0.8732495014,0.8654107773,0.5368421053
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Chicago,146,2019-07-02 23:00:00,1331,0.8216470195,0.8506320781,0.8499787688,0.4776119403
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Chicago,147,2019-07-03 02:00:00,1332,0.8204251719,0.8290397978,0.8323261648,0.4626865672
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Chicago,149,2019-07-13 20:00:00,1200,0.8430932463,0.8263112685,0.8309413155,0.4166666667
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Chicago,150,2019-07-16 04:00:00,1593,0.7882091575,0.869171855,0.8629625037,0.5125
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Chicago,152,2019-07-17 19:00:00,5711,0.4682250603,0.8618921296,0.8314624161,0.5839160839
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Chicago,153,2019-07-18 08:00:00,1793,0.7533398521,0.8573742478,0.8525640851,0.5222222222
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Chicago,154,2019-07-20 05:00:00,2226,0.700107962,0.8666834867,0.8586672512,0.5446428571
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Chicago,155,2019-07-21 12:00:00,1900,0.7417300083,0.8730121552,0.8630687744,0.5368421053
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Chicago,156,2019-07-21 15:00:00,1753,0.7566641734,0.8748950895,0.8666483769,0.5454545455
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Chicago,157,2019-07-29 10:00:00,1615,0.7787687144,0.8602754477,0.8320328915,0.5061728395
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Chicago,158,2019-07-29 13:00:00,1723,0.7655716134,0.8648899153,0.8553643449,0.5287356322
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Chicago,159,2019-07-29 17:00:00,2008,0.7197964601,0.8635610929,0.8537622216,0.5247524752
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Dallas,55,2019-04-17 11:00:00,1200,0.7797888113,0.8207337216,0.7905789757,0.3333333333
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Dallas,56,2019-04-18 02:00:00,1200,0.7936522223,0.8370719132,0.8024048471,0.35
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Dallas,57,2019-04-18 12:00:00,1200,0.7753688988,0.8279958338,0.7962222219,0.35
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Dallas,58,2019-04-18 22:00:00,1200,0.7764442765,0.8370719133,0.8024048472,0.35
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Dallas,59,2019-04-23 19:00:00,1200,0.7564226032,0.822755687,0.7907849446,0.35
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Dallas,60,2019-04-24 11:00:00,1200,0.7871189623,0.8370719133,0.8024048472,0.35
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Dallas,61,2019-04-24 15:00:00,1200,0.7860422672,0.8313916169,0.7977728817,0.35
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Dallas,62,2019-04-28 01:00:00,1200,0.781502706,0.8370719133,0.8024048472,0.35
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Dallas,63,2019-04-28 09:00:00,1200,0.7829621675,0.8370719133,0.8024048472,0.35
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Dallas,64,2019-04-30 18:00:00,1200,0.7857881651,0.8370719133,0.8024048472,0.35
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Houston,52,2019-04-04 01:00:00,1200,0.8032184496,0.8148888428,0.8153903619,0.5666666667
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Houston,60,2019-04-18 05:00:00,1200,0.7968362237,0.8132537897,0.8151099219,0.5666666667
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Houston,61,2019-04-24 21:00:00,1200,0.8080653487,0.8225818229,0.8230787965,0.5833333333
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,Houston,62,2019-04-30 03:00:00,1200,0.7986646735,0.8077939337,0.8129650031,0.5666666667
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,98,2019-06-02 18:00:00,2833,0.5767369084,0.8309896018,0.7933910779,0.4788732394
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,99,2019-06-02 22:00:00,3324,0.6213920166,0.8875581631,0.8761677945,0.6167664671
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,100,2019-06-05 21:00:00,3667,0.5891433076,0.8557436089,0.843301271,0.5760869565
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,101,2019-06-06 02:00:00,2057,0.7530615135,0.9393685649,0.9277151078,0.7378640777
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,102,2019-06-10 12:00:00,1960,0.7697384607,0.93745317,0.9237666847,0.7346938776
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,103,2019-06-11 01:00:00,2050,0.758984603,0.9269367295,0.9154672346,0.7184466019
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,104,2019-06-11 05:00:00,2311,0.7402450378,0.929729231,0.9181927523,0.7327586207
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,105,2019-06-13 08:00:00,2026,0.7672779458,0.9367880421,0.9249518634,0.7352941176
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,106,2019-06-13 22:00:00,3249,0.6790458219,0.9109498236,0.9005364122,0.6993865031
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,107,2019-06-16 03:00:00,2148,0.7406209398,0.9221611338,0.910881525,0.7222222222
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,108,2019-06-16 19:00:00,2346,0.7276035955,0.9227621463,0.9126092284,0.7203389831
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,109,2019-06-18 07:00:00,2181,0.7378311024,0.9266546082,0.9157196671,0.7272727273
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,110,2019-06-18 13:00:00,1947,0.7648845712,0.9439099463,0.9305057968,0.7448979592
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,111,2019-06-18 23:00:00,2098,0.7632269271,0.9443988984,0.9313877175,0.7333333333
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,112,2019-06-19 07:00:00,1462,0.8161902192,0.9064246248,0.9024968357,0.6486486486
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,113,2019-06-19 10:00:00,1360,0.8278609268,0.9216196702,0.9129652892,0.6470588235
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,115,2019-06-20 01:00:00,1320,0.7582189391,0.8931153458,0.8773592954,0.6363636364
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,New York,116,2019-06-20 04:00:00,1230,0.8212089882,0.9050250826,0.8801282917,0.6290322581
