comparison,split_family,heldout_period,split_role,left_model,right_model,left_top5_capture,right_top5_capture,delta_top5_capture,left_spearman,right_spearman,delta_spearman
factorized_vs_full_additive,calendar_year_group,year_2019,confounded_year_audit,R1_factorized_low_dim,R2_full_additive,0.9582043121,0.975165705,-0.01696139296,0.4138922628,0.9009181648,-0.4870259021
factorized_vs_full_additive,calendar_year_group,year_2023,confounded_year_audit,R1_factorized_low_dim,R2_full_additive,0.9653020332,0.9800898907,-0.01478785759,0.5970497399,0.8838677508,-0.2868180109
factorized_vs_full_additive,calendar_year_group,year_2024,confounded_year_audit,R1_factorized_low_dim,R2_full_additive,0.9539565586,0.9420073306,0.01194922801,0.6965125056,0.9261187921,-0.2296062865
factorized_vs_full_additive,within_city_forward_cut,after_50pct,forward_chronological_audit,R1_factorized_low_dim,R2_full_additive,0.9073554907,0.9593894592,-0.05203396842,0.6605682366,0.9518029939,-0.2912347573
factorized_vs_full_additive,within_city_forward_cut,after_67pct,forward_chronological_audit,R1_factorized_low_dim,R2_full_additive,0.9222989135,0.9544721132,-0.03217319963,0.6916330176,0.9511329938,-0.2594999762
factorized_vs_full_additive,within_city_order_half,early_half,main_within_city_chronological,R1_factorized_low_dim,R2_full_additive,0.9396540966,0.9816569918,-0.04200289522,0.6437662119,0.9290535587,-0.2852873468
factorized_vs_full_additive,within_city_order_half,late_half,main_within_city_chronological,R1_factorized_low_dim,R2_full_additive,0.9073554907,0.9593894592,-0.05203396842,0.6605682366,0.9518029939,-0.2912347573
factorized_vs_full_additive,within_city_order_tertile,early_tertile,main_within_city_chronological,R1_factorized_low_dim,R2_full_additive,0.9187614366,0.9760425656,-0.05728112905,0.6512295158,0.9186282093,-0.2673986934
factorized_vs_full_additive,within_city_order_tertile,late_tertile,main_within_city_chronological,R1_factorized_low_dim,R2_full_additive,0.9222989135,0.9544721132,-0.03217319963,0.6916330176,0.9511329938,-0.2594999762
factorized_vs_full_additive,within_city_order_tertile,middle_tertile,main_within_city_chronological,R1_factorized_low_dim,R2_full_additive,0.9361481455,0.9811365186,-0.04498837313,0.6247529515,0.9381090622,-0.3133561107
factorized_vs_full_additive,calendar_day_phase,early_month,supporting_calendar_phase,R1_factorized_low_dim,R2_full_additive,0.9303193795,0.9768105018,-0.0464911223,0.6923331026,0.8813350635,-0.1890019609
factorized_vs_full_additive,calendar_day_phase,late_month,supporting_calendar_phase,R1_factorized_low_dim,R2_full_additive,0.9335386522,0.9409523953,-0.007413743082,0.7595543585,0.9525337108,-0.1929793523
factorized_vs_full_additive,calendar_day_phase,middle_month,supporting_calendar_phase,R1_factorized_low_dim,R2_full_additive,0.9277443726,0.9818056428,-0.05406127026,0.6274876162,0.9622524443,-0.3347648281
full_interaction_vs_full_additive,calendar_year_group,year_2019,confounded_year_audit,R3_full_interaction,R2_full_additive,0.9727794719,0.975165705,-0.002386233139,0.8918104722,0.9009181648,-0.009107692595
