split_family,heldout_period,split_role,model_id,family,description,n_features,n_train_events,n_test_events,n_train_cities,n_test_cities,n_tokens,n_events,pearson,spearman,mae,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret
calendar_year_group,year_2019,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,3,4,93335,51,0.166635158,0.2939742475,0.7429366436,0.871743589,0.8560448963,0.5565811808,0.128256411
calendar_year_group,year_2019,confounded_year_audit,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,54,51,3,4,93335,51,0.2621031224,0.3573766496,0.8052313236,0.8838671434,0.8730671929,0.5119322207,0.1161328566
calendar_year_group,year_2019,confounded_year_audit,H3_structure_only,heuristic,static structure-only one-factor score,0,54,51,3,4,93335,51,-0.06827085301,-0.05731084806,0.1989683054,0.5116195069,0.4900245095,0.005228802191,0.4883804931
calendar_year_group,year_2019,confounded_year_audit,H4_activated_law,direct_law,hand-built activated bottleneck score,0,54,51,3,4,93335,51,0.2020939498,0.4560251135,0.02234840191,1,1,1,0
calendar_year_group,year_2019,confounded_year_audit,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,54,51,3,4,93335,51,0.2102565385,0.4138922628,0.03452610433,0.9582043121,0.9596326508,0.7768179532,0.04179568795
calendar_year_group,year_2019,confounded_year_audit,R2_full_additive,trained_surrogate,full additive action-value surrogate,30,54,51,3,4,93335,51,0.8223230592,0.9009181648,0.03134484866,0.975165705,0.9769791994,0.8075159257,0.02483429499
calendar_year_group,year_2019,confounded_year_audit,R3_full_interaction,trained_surrogate,full additive surrogate plus explicit interaction terms,39,54,51,3,4,93335,51,0.7488793945,0.8918104722,0.03780516742,0.9727794719,0.9744264742,0.8007939847,0.02722052813
calendar_year_group,year_2019,confounded_year_audit,R4_factorized_interaction,trained_surrogate,factorized law plus compact interaction terms,12,54,51,3,4,93335,51,0.2199314608,0.4155740977,0.03399014408,0.9377092624,0.9272414925,0.6959679843,0.06229073757
calendar_year_group,year_2023,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,85,20,6,1,33719,20,0.2203676451,0.4314906119,0.6265542014,0.8274342582,0.822435627,0.504437896,0.1725657418
calendar_year_group,year_2023,confounded_year_audit,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,85,20,6,1,33719,20,0.2403280494,0.5808176551,0.712924783,0.8085829157,0.8022856364,0.3613917794,0.1914170843
calendar_year_group,year_2023,confounded_year_audit,H3_structure_only,heuristic,static structure-only one-factor score,0,85,20,6,1,33719,20,-0.1035533453,-0.1753386803,0.1771633897,0.4117391294,0.3939176689,0.0007142857143,0.5882608706
calendar_year_group,year_2023,confounded_year_audit,H4_activated_law,direct_law,hand-built activated bottleneck score,0,85,20,6,1,33719,20,0.3736043452,0.6216167382,0.09389769709,1,1,1,0
calendar_year_group,year_2023,confounded_year_audit,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,85,20,6,1,33719,20,0.3542310966,0.5970497399,0.0757860334,0.9653020332,0.9693936739,0.7900779874,0.03469796684
calendar_year_group,year_2023,confounded_year_audit,R2_full_additive,trained_surrogate,full additive action-value surrogate,30,85,20,6,1,33719,20,0.6985661945,0.8838677508,0.05591311083,0.9800898907,0.9807623023,0.8726690537,0.01991010926
calendar_year_group,year_2023,confounded_year_audit,R3_full_interaction,trained_surrogate,full additive surrogate plus explicit interaction terms,39,85,20,6,1,33719,20,0.7048780484,0.8829342113,0.05589077005,0.984631049,0.9837127849,0.8986429492,0.015368951
calendar_year_group,year_2023,confounded_year_audit,R4_factorized_interaction,trained_surrogate,factorized law plus compact interaction terms,12,85,20,6,1,33719,20,0.3590591389,0.5964104421,0.07553388285,0.9711273969,0.975707849,0.8183948227,0.02887260307
calendar_year_group,year_2024,confounded_year_audit,H1_deficit_only,heuristic,deficit-only one-factor score,0,71,34,5,2,43083,34,0.2096707103,0.4680813173,0.5863045018,0.8352082467,0.8377054707,0.4941423853,0.1647917533
calendar_year_group,year_2024,confounded_year_audit,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,71,34,5,2,43083,34,0.2842274515,0.6569437552,0.6560744313,0.8973067797,0.8867069552,0.6143894958,0.1026932203
calendar_year_group,year_2024,confounded_year_audit,H3_structure_only,heuristic,static structure-only one-factor score,0,71,34,5,2,43083,34,0.01325893154,0.01939078921,0.1863500258,0.5467245975,0.5391333615,0.0256980629,0.4532754025
calendar_year_group,year_2024,confounded_year_audit,H4_activated_law,direct_law,hand-built activated bottleneck score,0,71,34,5,2,43083,34,0.3131319037,0.725348927,0.08411114002,1,1,1,0
calendar_year_group,year_2024,confounded_year_audit,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,71,34,5,2,43083,34,0.2704769073,0.6965125056,0.05540938908,0.9539565586,0.9604153486,0.7558534053,0.0460434414
calendar_year_group,year_2024,confounded_year_audit,R2_full_additive,trained_surrogate,full additive action-value surrogate,30,71,34,5,2,43083,34,0.6764971629,0.9261187921,0.03726700903,0.9420073306,0.948538128,0.6997222177,0.05799266941
calendar_year_group,year_2024,confounded_year_audit,R3_full_interaction,trained_surrogate,full additive surrogate plus explicit interaction terms,39,71,34,5,2,43083,34,0.6680029903,0.9249867531,0.04073574915,0.9397522035,0.9302572031,0.697289324,0.06024779653
calendar_year_group,year_2024,confounded_year_audit,R4_factorized_interaction,trained_surrogate,factorized law plus compact interaction terms,12,71,34,5,2,43083,34,0.255155647,0.6820445763,0.05768213095,0.9096416955,0.8479058809,0.6687117727,0.09035830448
